#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc parallax_mas  NSt   IDst StreamName  
  187.4771    -2.0047   291.9884    60.4088     20.000   239.1510    58.8912     20.495     0.050000    1 VOD/VSS VODVSS      
  116.4696   -20.9801   237.7071     1.8498     10.500   214.8465     3.8822     16.257     0.095238    2    Mon Monoceros   
  134.5030     6.4232   222.2071    30.9973     10.000   205.1337    16.4244     16.449     0.100000    3    EBS EBS         
  286.2532     5.9800    50.0000     0.0000     19.567    69.3357   -40.2521     15.483     0.051107    4  HerAq HerAq       
   10.9143    44.0532   121.4554   -18.7963     17.000   136.8449   -15.9042     21.848     0.058824    5 PAndAS PAndAS      
    5.0000    24.0000   102.0000   -36.0000     20.000   135.6064   -16.5077     24.841     0.050000    6 TriAnd TriAnd      
   13.0000    34.0000   123.0000   -28.0000     28.000   131.9227   -21.1066     32.498     0.035714    7 TriAnd2 TriAnd2     
  350.0000     1.0000    81.0000   -55.0000     90.827    92.6099   -55.9615     90.645     0.011010    8  PisOv PiscesOv    
   19.0000   -57.0000   299.0000   -56.0000     16.000   236.8167   -58.8697     16.172     0.062500    9 EriPhe EriPhe      
   24.9000   -49.0000   278.0000   -68.0000     17.500   239.2857   -58.3391     17.745     0.057143   10    Phe Phoenix     
   96.0000   -55.0000   264.0000   -26.0000     -1.000    -1.0000    -1.0000     -1.000    -1.000000   11    WG1 WG1         
   71.0000   -52.0000   259.0000   -40.0000     -1.000    -1.0000    -1.0000     -1.000    -1.000000   12    WG2 WG2         
  308.0000   -49.0000   351.0000   -38.0000     -1.000    -1.0000    -1.0000     -1.000    -1.000000   13    WG3 WG3         
  312.7541   -58.7379   337.9197   -38.3140     -1.000    -1.0000    -1.0000     -1.000    -1.000000   14    WG4 WG4         
  244.0198     9.7930    23.2884    38.8715      3.647   180.1189    22.0161      6.424     0.285450   15    Ach Acheron     
  221.2248    10.5057    21.0000    50.0000     11.000   219.1545    48.0591     12.661     0.090909   16    Coc Cocytos     
  189.0000    23.0000    20.0000    82.0000     13.000   198.9363    44.9225     17.058     0.076923   17    Let Lethe       
  226.3795    23.9343    37.0000    53.0000     45.000    54.8655    34.2206     40.330     0.022222   18   Styx Styx        
  130.0000    50.0000   162.0000    38.0000      8.900   202.6851    12.5539     15.752     0.112360   19    ACS ACS         
  255.0507    -0.7971    18.6533    24.1304     38.400    23.7526    29.4229     31.279     0.026042   20  Pal15 Pal15       
   66.1952   -21.1848   218.0000   -42.0000     95.000   214.4236   -38.9591    100.228     0.010526   21    Eri Eridanus    
  358.4841   -59.6507   315.8979   -56.0065     26.775   287.6022   -64.2711     24.536     0.037037   22   Tuc3 TucanaIII   
  349.0000   -64.0000   332.2247   -49.0968     16.600   315.4416   -72.0279     12.512     0.060241   23    Ind Indus       
  351.0000   -52.0000   321.0000   -64.0000     13.200   225.0522   -65.5155     12.890     0.075758   24    Jhe Jhelum      
  341.0000   -56.0000   353.0000   -56.0000     22.900   342.3399   -75.4572     19.327     0.043668   25   Ravi Ravi        
  323.0000   -55.0000   338.0000   -44.0000     39.800   325.8429   -49.6899     34.597     0.025126   26    Che Chenab      
   15.4254   -39.7647   294.0063   -77.1851     50.100   249.5896   -82.1038     49.783     0.019960   27    Elq Elqui       
   35.9610   -34.9847   240.3347   -68.7712     28.800   206.1557   -61.2453     31.431     0.034722   28    Ali Aliqa_Uma   
   27.9833   -53.5097   286.0000   -59.0000     16.600   240.0539   -52.4052     17.080     0.060241   29    Trb Turbio      
   36.0000   -65.0000   284.1875   -51.9380     34.700   265.4927   -50.8996     34.067     0.028818   30   WYak Willka_Yaku 
   75.0000   -27.0000   223.0000   -39.0000     27.500   201.6760   -37.0044     33.211     0.036364   31    Trn Turranburra 
   84.4651   -40.0736   245.4462   -30.5609     15.100   225.6209   -21.0342     19.207     0.066225   32    Wam Wambelong   
   18.0000   -14.0000   182.0000   -82.0000     36.300   254.5219   -60.1272     36.439     0.027548   33  Palca Palca       
  138.0498   -22.8076   250.8683    17.2197     28.600   237.4720     9.9143     32.179     0.034965   34    Jet Jet         
  190.6878   -10.0715   299.3988    52.7406      5.510   205.0862    23.7338      8.656     0.199298   35  Gaia1 Gaia1       
   80.0000   -85.0000    81.7808   -86.6390     11.486   170.6630   -50.5743     12.834     0.099882   36  Gaia2 Gaia2       
  174.7393   -23.5502   282.1907    36.3851     11.391   219.2282    30.4028     12.098     0.110967   37  Gaia3 Gaia3       
  165.0203    -6.9981   260.5896    46.5158     11.103   219.1559    30.0000     14.361     0.093441   38  Gaia4 Gaia4       
  144.5883    32.7854   193.0609    48.1531     19.428   195.4082    27.9479     25.196     0.054048   39  Gaia5 Gaia5       
   29.2747    -4.2403   160.1985   -62.2626      7.900   174.8577   -31.2507     13.760     0.126582   40  PS1-A PS1A        
  148.3867   -11.1720   248.5100    32.3233     14.500   223.2012    20.7883     18.891     0.068966   41  PS1-B PS1B        
  332.5711    14.9655    75.1022   -32.5547     17.400   104.9176   -34.0858     17.103     0.057471   42  PS1-C PS1C        
  139.6842     0.8239   210.0000    42.0000     22.900   232.5066    15.9177     26.814     0.043668   43  PS1-D PS1D        
  173.0120    55.5641   144.2692    58.1525     12.600   174.7720    35.4319     18.476     0.079365   44  PS1-E PS1E        
   25.0540   -29.9012   230.3071   -78.9381     20.000   185.5631   -62.6069     22.410     0.050000   45  ATLAS ATLAS       
  241.7987    -6.9461     4.5173    31.6791      9.500   136.3658    82.3275      5.143     0.105263   46   Ophi Ophiucus    
  133.0000    21.0000   199.0000    36.0000     21.000   226.5056    14.3130     25.691     0.047619   47   Sang Sangarius   
  147.0000    18.0000   235.0000    42.0000     21.000   236.3236    24.2262     23.976     0.047619   48    Sca Scamander   
  183.0000   -15.0000   288.9800    46.2100     12.809   104.5000   -57.5400     11.000     0.077124   49    Cor Corvus      
  295.0000   -32.0000     7.7500   -23.9400     21.048    56.3800   -43.0200     20.000     0.040493   50   20-1 20.01       
  279.5205   -29.8415     8.0000   -14.0000     34.177    22.5732   -57.5386     38.582     0.023027   51    Sgr SgrL10      
  178.0000   -45.0000   234.0000    52.5000     26.528    17.4552   -63.6352     62.653     0.014993   52    Orp Orphan      
