#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  134.5162     4.7677   223.9078    30.2235     10.000   202.1435    17.5694     16.676
  134.6005     8.2799   220.3264    31.9373     10.000   200.1462    18.3535     16.800
  133.4689    -0.3312   228.3480    26.7773     10.000   204.8051    15.8197     16.526
  134.5491     2.7129   225.9906    29.2476     10.000   203.3132    17.1254     16.592
  136.0321    12.4783   216.5241    35.0290     10.000   197.9093    19.9092     16.856
  135.7176     6.0838   223.2243    31.9028     10.000   201.5981    18.4995     16.656
  133.4735    11.5769   216.2501    32.3789     10.000   198.0645    18.3933     16.971
  132.5154    10.9660   216.4331    31.2690     10.000   198.2690    17.7729     17.005
  135.3130    -2.2899   231.3058    27.3214     10.000   206.2614    16.3237     16.330
  133.2197     1.7911   226.1481    27.6367     10.000   203.5789    16.1955     16.631
  133.9096     5.9427   222.3789    30.2509     10.000   201.3687    17.4984     16.755
  136.5346     3.5304   226.3105    31.3742     10.000   203.2097    18.3838     16.508
  135.9492    13.4636   215.3839    35.3594     10.000   197.3138    20.0368     16.890
  133.0677    14.1258   213.2933    33.0612     10.000   196.5257    18.6394     17.069
  134.7371    13.3656   214.9113    34.2417     10.000   197.2050    19.3816     16.956
  134.8351     4.6895   224.1646    30.4644     10.000   202.2445    17.7238     16.654
  133.2821     6.0525   221.9291    29.7512     10.000   201.1970    17.1860     16.794
  134.4865    12.9605   215.2380    33.8539     10.000   197.4074    19.1785     16.958
  135.4729     0.0264   229.1717    28.6779     10.000   205.0006    16.9884     16.424
  135.9014     4.4116   225.0486    31.2589     10.000   202.5916    18.2375     16.581
  132.2340    10.5510   216.7332    30.8417     10.000   198.4622    17.5448     17.007
  134.1570    14.5365   213.3413    34.1930     10.000   196.4369    19.2789     17.021
  136.4196    12.5597   216.6256    35.4069     10.000   197.9149    20.1288     16.836
  133.7383    14.0686   213.6657    33.6354     10.000   196.6534    18.9799     17.031
  132.9732    14.9481   212.3470    33.3005     10.000   196.0336    18.7317     17.096
  132.3734    14.2226   212.8700    32.4818     10.000   196.3708    18.2944     17.108
  132.1550     9.7105   217.5747    30.4081     10.000   198.9290    17.3388     16.984
  134.8852     4.9689   223.9081    30.6426     10.000   202.0940    17.8119     16.662
  136.0741    -1.7169   231.2176    28.2705     10.000   206.0963    16.8811     16.310
  134.0191     1.1607   227.2183    28.0111     10.000   204.0840    16.4766     16.559
  136.8962    12.1586   217.3123    35.6627     10.000   198.2194    20.3110     16.796
  134.2954     5.0834   223.4651    30.1818     10.000   201.9248    17.5198     16.701
  135.1145    -1.3409   230.2804    27.6569     10.000   205.6939    16.4567     16.385
  132.8902     2.3999   225.3670    27.6527     10.000   203.1771    16.1608     16.675
  135.1276     1.9845   227.0456    29.3835     10.000   203.8322    17.2688     16.528
  135.9176    14.2823   214.4474    35.6594     10.000   196.8230    20.1587     16.916
  135.6250    15.0051   213.4923    35.6828     10.000   196.3547    20.1248     16.953
  135.2422     6.6081   222.4181    31.7329     10.000   201.2157    18.3542     16.703
  133.8544    -2.0819   230.2427    26.1960     10.000   205.8484    15.5899     16.426
  136.2750     0.6764   229.0119    29.7008     10.000   204.7890    17.5799     16.404
  134.4890    14.1870   213.8836    34.3504     10.000   196.6877    19.3931     16.993
  136.8132     1.6709   228.3472    30.6747     10.000   204.3251    18.1078     16.414
  135.7514     3.6975   225.6889    30.7780     10.000   202.9738    17.9978     16.561
  135.2425    -0.7469   229.7849    28.0780     10.000   205.3883    16.6739     16.404
  136.5390     5.9744   223.7973    32.5693     10.000   201.7999    18.9190     16.603
