#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  292.6998   -56.6922   340.5944   -27.6847     16.000   315.9334   -47.6815     10.053
  273.5761   -64.8735   329.5274   -20.6019     16.000   300.1301   -32.6643     10.431
  293.6901   -55.2291   342.3203   -28.0302     16.000   319.1264   -48.9208      9.975
  293.5370   -56.4307   340.9578   -28.1066     16.000   316.4328   -48.4481     10.072
  278.6427   -56.9654   338.3541   -20.2792     16.000   314.5504   -35.5212      9.545
  277.7891   -59.2098   335.9318   -20.5759     16.000   310.2798   -35.0778      9.785
  270.9307   -55.7801   337.8255   -15.8783     16.000   314.7168   -28.1707      9.272
  296.8619   -64.1965   332.2125   -30.2819     16.000   300.0309   -47.3187     10.975
  271.7235   -62.2250   331.8255   -18.8654     16.000   304.1357   -30.9222     10.068
  285.0848   -62.9996   332.9575   -24.9591     16.000   303.8289   -40.3784     10.422
  291.5473   -60.2300   336.5468   -27.5521     16.000   308.6405   -45.6762     10.345
  297.5718   -55.6558   342.1134   -30.2653     16.000   317.6191   -52.0159     10.231
  299.6920   -62.1982   334.5319   -31.5708     16.000   303.0034   -50.1580     10.910
  298.4206   -61.8013   335.0004   -30.9763     16.000   304.1522   -49.6119     10.812
  273.9485   -61.3835   333.0670   -19.5273     16.000   305.8989   -32.3856      9.985
  272.1121   -62.2225   331.9012   -19.0318     16.000   304.2068   -31.2029     10.071
  286.3403   -55.5015   341.1562   -23.9788     16.000   318.4921   -42.3845      9.646
  287.9550   -55.9127   340.9374   -24.9571     16.000   317.7213   -43.7901      9.756
  279.0769   -62.7649   332.4939   -22.2446     16.000   304.1259   -36.2450     10.245
  293.9247   -55.0884   342.4993   -28.1435     16.000   319.4304   -49.1605      9.975
  288.9754   -62.3705   333.9799   -26.6128     16.000   304.7596   -43.1776     10.475
  292.4643   -62.6611   333.8640   -28.2455     16.000   303.7822   -45.3881     10.637
  278.9492   -58.3940   336.9625   -20.8880     16.000   311.9410   -35.9562      9.716
  298.1180   -62.0128   334.7527   -30.8353     16.000   303.8217   -49.3030     10.817
  296.9260   -56.7052   340.8703   -29.9921     16.000   315.3205   -51.0791     10.280
  280.1045   -64.5559   330.7565   -23.1648     16.000   301.1017   -36.8681     10.490
  282.7860   -56.7413   339.3072   -22.3751     16.000   315.6118   -39.1780      9.641
  283.9082   -59.7906   336.2643   -23.7192     16.000   309.7815   -39.9914     10.015
