#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  219.9165    58.5031    99.4376    53.4069      8.500   151.8223    32.8105     12.595
  219.8211    58.5065    99.5030    53.4382      8.500   151.8574    32.8154     12.598
  219.7256    58.5099    99.5686    53.4695      8.500   151.8925    32.8203     12.602
  219.6300    58.5132    99.6342    53.5007      8.500   151.9276    32.8251     12.605
  219.5345    58.5165    99.6999    53.5319      8.500   151.9627    32.8300     12.608
  219.4390    58.5197    99.7658    53.5630      8.500   151.9978    32.8347     12.612
  219.3434    58.5228    99.8317    53.5942      8.500   152.0329    32.8395     12.615
  219.2478    58.5258    99.8977    53.6252      8.500   152.0680    32.8442     12.619
  219.1522    58.5287    99.9638    53.6563      8.500   152.1031    32.8489     12.622
  219.0566    58.5316   100.0300    53.6873      8.500   152.1382    32.8536     12.626
  218.9610    58.5344   100.0964    53.7182      8.500   152.1733    32.8583     12.629
  218.8653    58.5372   100.1628    53.7492      8.500   152.2084    32.8629     12.632
  218.7697    58.5399   100.2293    53.7801      8.500   152.2435    32.8675     12.636
  218.6740    58.5425   100.2959    53.8109      8.500   152.2786    32.8721     12.639
  218.5783    58.5450   100.3626    53.8417      8.500   152.3137    32.8766     12.643
  218.4826    58.5475   100.4294    53.8725      8.500   152.3488    32.8811     12.646
  218.3869    58.5499   100.4963    53.9033      8.500   152.3839    32.8856     12.649
  218.2911    58.5522   100.5633    53.9340      8.500   152.4190    32.8901     12.653
  218.1954    58.5544   100.6304    53.9646      8.500   152.4542    32.8946     12.656
  218.0996    58.5566   100.6976    53.9953      8.500   152.4893    32.8990     12.660
  218.0039    58.5587   100.7649    54.0259      8.500   152.5244    32.9034     12.663
  217.9081    58.5607   100.8323    54.0564      8.500   152.5595    32.9077     12.667
  217.8123    58.5627   100.8998    54.0869      8.500   152.5946    32.9121     12.670
  217.7165    58.5646   100.9674    54.1174      8.500   152.6297    32.9164     12.673
  217.6207    58.5664   101.0351    54.1479      8.500   152.6649    32.9207     12.677
  217.5249    58.5682   101.1029    54.1783      8.500   152.7000    32.9249     12.680
  217.4291    58.5698   101.1708    54.2086      8.500   152.7351    32.9292     12.684
  217.3332    58.5715   101.2388    54.2390      8.500   152.7702    32.9334     12.687
  217.2374    58.5730   101.3069    54.2693      8.500   152.8053    32.9375     12.690
  217.1415    58.5745   101.3751    54.2995      8.500   152.8404    32.9417     12.694
  217.0457    58.5758   101.4434    54.3297      8.500   152.8756    32.9458     12.697
  216.9498    58.5772   101.5118    54.3599      8.500   152.9107    32.9499     12.701
  216.8539    58.5784   101.5802    54.3900      8.500   152.9458    32.9540     12.704
  216.7580    58.5796   101.6488    54.4201      8.500   152.9809    32.9580     12.707
