#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  282.6501   -13.5958    20.6936    -5.9711     19.528    35.3674    -9.7217     12.030
  323.6599    22.0336    73.9362   -21.5927     19.528   101.2653   -21.9951     19.188
  263.2901    13.6451    36.7767    23.4068     19.528    61.3812    32.4032     14.477
  286.3665   -22.0043    14.5459   -12.7867     19.528    25.7108   -21.4061     11.842
  317.9611    28.0616    74.9318   -13.7156     19.528   101.0217   -13.9332     19.229
  292.5206   -14.2150    24.3414   -14.8777     19.528    41.8155   -23.2551     12.699
  244.7469    13.0592    27.4870    39.6529     19.528    55.1170    55.8297     15.062
  292.0204    16.5904    51.8186    -0.3208     19.528    76.9030    -0.3975     15.760
  319.8367     7.9705    59.4653   -27.8349     19.528    88.9465   -31.5054     17.448
  304.7648   -23.7427    19.5134   -29.1778     19.528    36.9523   -45.1403     13.431
  290.7964   -15.9913    21.9559   -14.1083     19.528    37.9939   -22.4798     12.449
  281.4747    47.3700    76.6463    20.4906     19.528   103.5066    20.4786     19.539
  311.7754    14.1375    59.8616   -17.8138     19.528    87.0278   -20.3578     17.173
  239.1150    -1.4032     7.9181    37.1587     19.528    17.2261    58.4600     13.840
  277.4505    10.9547    40.3311     9.7307     19.528    63.6411    13.3556     14.289
  274.9147    26.6442    54.0995    18.3267     19.528    81.0306    21.9945     16.395
  247.8423     5.3601    20.6598    33.4396     19.528    40.4329    50.5186     13.942
  288.2648    31.3242    63.3535     9.5228     19.528    89.5427    10.6296     17.515
  262.7727    46.5567    72.7543    32.7690     19.528   103.0392    33.2894     19.257
  302.7841    34.9347    72.5068     0.7147     19.528    98.0394     0.7420     18.810
  330.6468     4.0873    63.7823   -38.6821     19.528    97.3554   -41.5123     18.415
  298.5243    14.0436    52.6839    -7.0349     19.528    78.0969    -8.6332     15.933
  298.6490    45.5323    79.9001     8.9614     19.528   105.0806     8.7917     19.902
  304.9187    36.9597    75.1509     0.4055     19.528   100.4917     0.4125     19.197
  316.6373   -15.2513    33.6802   -36.6791     19.528    62.4408   -49.9745     15.233
  279.1365    16.4425    46.0773    10.6317     19.528    70.8007    13.8270     15.075
  246.3348    -8.3483     6.3562    27.2501     19.528    12.3830    44.9323     12.660
  274.8291    11.3665    39.5687    12.2254     19.528    62.9341    16.8511     14.265
  304.5663     1.9380    45.0075   -18.2739     19.528    70.6299   -23.7735     15.190
  253.2666    19.3055    38.6183    34.4400     19.528    67.8914    45.5090     15.482
  344.1148     7.4910    79.9934   -45.5784     19.528   114.4671   -43.3230     20.328
  284.2620   -27.1424     8.9317   -13.1444     19.528    16.0155   -22.5375     11.586
  280.9448   -31.8547     3.3118   -12.4387     19.528     5.9682   -21.6527     11.400
  304.9930    31.5944    70.7584    -2.6781     19.528    96.4174    -2.8186     18.556
  320.6003   -17.5777    32.7266   -41.0733     19.528    63.9831   -55.3840     15.590
  295.6592    -4.1943    35.0317   -13.2967     19.528    57.0846   -19.0658     13.750
  275.1418    -4.0315    25.8017     5.0005     19.528    43.2079     7.8365     12.484
  312.5575    23.8787    68.4450   -12.6269     19.528    94.8345   -13.4961     18.292
  269.5048    14.0051    39.7693    18.0477     19.528    64.0846    24.6146     14.525
  294.4419   -36.1926     3.1936   -24.4229     19.528     6.1103   -40.9462     12.321
  257.7911    -9.0248    12.6605    17.5113     19.528    22.8838    29.2399     12.029
  316.0740   -12.1038    36.9603   -34.9099     19.528    65.9545   -46.6670     15.364
  315.5726     5.5108    54.4829   -25.7832     19.528    83.1655   -30.5092     16.731
  248.0660   -12.6206     3.7052    23.3249     19.528     7.0319    39.2430     12.222
  269.8354    32.5820    58.4948    24.4912     19.528    87.0275    28.0836     17.197
  286.9085   -27.7167     9.3518   -15.5280     19.528    16.8966   -26.4262     11.747
  273.8732    28.8166    55.8889    19.9736     19.528    83.2719    23.5548     16.692
  251.2515    37.0609    59.8901    40.3178     19.528    94.5742    44.3580     18.073
  284.3763     5.5547    38.5665     1.1855     19.528    60.9329     1.6619     13.931
  304.8262   -14.6196    29.1331   -25.9271     19.528    51.3374   -37.9452     13.885
  290.1062    41.3275    73.1937    12.5217     19.528    99.2986    12.8958     18.971
  248.0532    28.2518    47.7990    41.5544     19.528    83.0671    49.9070     16.933
  247.8410     3.8977    19.1407    32.7194     19.528    37.4972    50.0232     13.775
  308.9036    15.8898    59.7173   -14.5360     19.528    86.3819   -16.6813     17.075
  247.1286    29.0728    48.6545    42.5180     19.528    84.6689    50.5685     17.087
  311.4282   -26.8640    18.0884   -35.8539     19.528    36.8984   -54.4126     14.065
  298.0113    -1.8831    38.2543   -14.3285     19.528    61.5104   -19.9298     14.178
  243.2192    -6.8876     5.5764    30.5974     19.528    11.2261    49.8326     13.008
  246.8290   -15.7581     0.2231    22.3334     19.528     0.4214    37.8091     12.105
  278.5058     0.0587    30.9961     3.9008     19.528    50.7389     5.8535     13.026
  242.5945    38.5682    61.4689    47.2250     19.528   100.5292    50.4173     18.599
  318.2169   -10.9235    39.3753   -36.3055     19.528    69.8419   -47.3924     15.710
  243.2029    45.3667    71.3434    46.3465     19.528   108.1537    46.4300     19.501
  326.9231    18.9961    73.8799   -25.9009     19.528   102.1154   -26.2990     19.253
  241.3411    23.9410    40.0046    46.4038     19.528    78.1592    57.9780     16.681
  310.6404    33.7623    75.3179    -5.2468     19.528   100.7493    -5.3282     19.230
  239.1077    19.4503    32.8499    47.0688     19.528    69.6636    61.7126     16.237
  258.5653    29.2963    51.8154    32.8508     19.528    82.7443    39.1771     16.769
  277.8891    15.0065    44.2323    11.1014     19.528    68.6303    14.6788     14.839
  304.5348    18.2520    59.3627    -9.7508     19.528    85.4843   -11.2606     16.937
  287.5507     6.2282    40.6133    -1.3116     19.528    63.5574    -1.8038     14.200
  291.8642    15.9681    51.2001    -0.4859     19.528    76.2074    -0.6054     15.671
  265.6219   -14.1978    12.2639     8.2701     19.528    21.5694    14.1204     11.514
  298.1811   -11.0558    29.7625   -18.5568     19.528    50.5174   -27.5623     13.431
  242.4371    12.5538    25.6348    41.4829     19.528    53.4637    58.6598     15.145
  320.5599   -20.1428    29.4896   -41.9123     19.528    59.8841   -57.6260     15.445
  303.3598    39.3869    76.4811     2.7771     19.528   101.7374     2.7965     19.393
  299.0938    22.8717    60.5772    -2.9820     19.528    86.3612    -3.4157     17.051
  298.0164   -27.5017    13.3102   -24.6431     19.528    24.9761   -40.0760     12.648
  274.2156    50.5122    78.5890    25.9107     19.528   106.2692    25.4430     19.863
  279.9332     1.4249    32.8666     3.2538     19.528    53.3366     4.8035     13.237
  269.0926   -23.8602     5.5925     0.5296     19.528     9.8727     0.9317     11.100
