#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  257.9671    20.0089    41.2211    30.5320     13.000    90.6022    41.8281      9.903
  257.9160    20.0227    41.2167    30.5819     13.000    90.6318    41.8870      9.906
  257.8648    20.0365    41.2123    30.6317     13.000    90.6614    41.9459      9.909
  257.8136    20.0503    41.2078    30.6816     13.000    90.6911    42.0048      9.913
  257.7625    20.0641    41.2034    30.7315     13.000    90.7209    42.0636      9.916
  257.7113    20.0778    41.1990    30.7813     13.000    90.7508    42.1224      9.919
  257.6601    20.0916    41.1945    30.8312     13.000    90.7808    42.1811      9.922
  257.6089    20.1053    41.1901    30.8810     13.000    90.8109    42.2397      9.926
  257.5577    20.1190    41.1857    30.9309     13.000    90.8411    42.2983      9.929
  257.5065    20.1327    41.1812    30.9807     13.000    90.8713    42.3569      9.932
  257.4553    20.1464    41.1768    31.0306     13.000    90.9016    42.4154      9.935
  257.4040    20.1600    41.1723    31.0804     13.000    90.9321    42.4739      9.939
  257.3528    20.1737    41.1678    31.1303     13.000    90.9626    42.5324      9.942
  257.3015    20.1873    41.1634    31.1801     13.000    90.9932    42.5907      9.945
  257.2503    20.2009    41.1589    31.2300     13.000    91.0238    42.6491      9.949
  257.1990    20.2145    41.1544    31.2799     13.000    91.0546    42.7074      9.952
  257.1477    20.2281    41.1499    31.3297     13.000    91.0855    42.7656      9.955
  257.0964    20.2417    41.1454    31.3796     13.000    91.1164    42.8238      9.958
  257.0451    20.2553    41.1410    31.4294     13.000    91.1474    42.8819      9.962
  256.9938    20.2688    41.1365    31.4793     13.000    91.1786    42.9400      9.965
  256.9425    20.2823    41.1320    31.5291     13.000    91.2098    42.9981      9.968
  256.8912    20.2959    41.1275    31.5790     13.000    91.2411    43.0561      9.972
  256.8399    20.3094    41.1229    31.6288     13.000    91.2725    43.1141      9.975
  256.7885    20.3228    41.1184    31.6787     13.000    91.3040    43.1720      9.978
  256.7372    20.3363    41.1139    31.7285     13.000    91.3355    43.2298      9.982
  256.6858    20.3498    41.1094    31.7784     13.000    91.3672    43.2876      9.985
  256.6345    20.3632    41.1048    31.8282     13.000    91.3989    43.3454      9.988
  256.5831    20.3766    41.1003    31.8781     13.000    91.4308    43.4031      9.992
  256.5317    20.3901    41.0958    31.9279     13.000    91.4627    43.4608      9.995
  256.4803    20.4035    41.0912    31.9778     13.000    91.4947    43.5184      9.998
  256.4289    20.4168    41.0867    32.0276     13.000    91.5268    43.5760     10.002
  256.3775    20.4302    41.0821    32.0775     13.000    91.5591    43.6335     10.005
  256.3261    20.4436    41.0776    32.1273     13.000    91.5913    43.6910     10.008
  256.2746    20.4569    41.0730    32.1772     13.000    91.6237    43.7484     10.012
