#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  120.3484   -40.0097   255.7602    -5.0659     10.500   222.4757    -3.5341     15.041
  114.4809   -18.0955   234.2716     1.6495     10.500   210.2178     1.0228     16.932
  122.1596    -9.3461   230.4103    12.4859     10.500   207.7227     7.6137     17.134
  116.4853   -40.1127   254.3450    -7.6685     10.500   221.5442    -5.2982     15.174
  108.2666   -14.3104   228.1058    -1.8019     10.500   206.7366    -1.0893     17.368
  119.6459   -30.6849   247.5057    -0.6676     10.500   217.7753    -0.4426     15.836
  124.3814   -34.4400   252.8230     0.6527     10.500   220.8496     0.4468     15.337
  119.3446   -13.1823   232.3409     8.1582     10.500   208.9903     5.0157     17.043
  117.0374    -5.7043   224.6209     9.8801     10.500   204.6102     5.8955     17.540
  114.5377   -11.8267   228.8156     4.7535     10.500   207.0984     2.8813     17.310
  123.7700   -19.3115   239.8662     8.5677     10.500   213.2190     5.4515     16.465
  120.3577   -10.3332   230.3590    10.4552     10.500   207.7899     6.3749     17.161
  108.8664   -27.3741   240.0146    -7.2936     10.500   213.3536    -4.6447     16.462
  118.8497   -28.1175   244.9525     0.0766     10.500   216.3092     0.0501     16.065
  109.5928   -39.1473   251.0058   -11.9433     10.500   219.3567    -8.0741     15.471
  115.1001    -6.7079   224.5740     7.7088     10.500   204.6521     4.5994     17.564
  108.9572    -9.9946   224.5966     0.8002     10.500   204.7690     0.4775     17.595
  114.5919   -25.1710   240.4907    -1.7279     10.500   213.7500    -1.1033     16.443
  122.1635    -3.4585   225.1595    15.4365     10.500   204.6532     9.2265     17.431
  109.2177   -22.2239   235.5531    -4.6590     10.500   210.9008    -2.9053     16.827
  115.0670   -25.7728   241.2259    -1.6499     10.500   214.1701    -1.0574     16.383
  117.7855    -6.0267   225.2733    10.3752     10.500   204.9555     6.2052     17.495
  112.8615   -10.5732   226.9201     3.9154     10.500   206.0470     2.3562     17.439
  119.2300   -37.3260   253.0042    -4.4171     10.500   220.8943    -3.0269     15.314
  116.6035   -17.5712   234.8155     3.6651     10.500   210.5019     2.2781     16.886
  122.8885   -33.3233   251.2063     0.2407     10.500   219.9132     0.1631     15.492
  118.8109   -34.1557   250.1067    -3.0730     10.500   219.2486    -2.0687     15.593
  118.1972   -23.5714   240.7527     1.9154     10.500   213.8978     1.2246     16.421
