#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  123.3000   -65.0000   278.5544   -16.3740     20.000   253.4308   -15.8964     20.585
  122.5000   -64.9000   278.2905   -16.6204     20.000   253.1695   -16.1051     20.622
  121.8000   -64.8000   278.0498   -16.8333     20.000   252.9326   -16.2834     20.656
  121.0000   -64.8000   277.8821   -17.1338     20.000   252.7485   -16.5533     20.681
  120.3000   -64.7000   277.6450   -17.3527     20.000   252.5140   -16.7364     20.714
  119.6000   -64.6000   277.4094   -17.5747     20.000   252.2804   -16.9222     20.747
  118.8000   -64.5000   277.1554   -17.8386     20.000   252.0254   -17.1452     20.783
  118.1000   -64.4000   276.9231   -18.0673     20.000   251.7938   -17.3364     20.816
  117.4000   -64.4000   276.7879   -18.3411     20.000   251.6402   -17.5814     20.835
  116.6000   -64.3000   276.5405   -18.6148     20.000   251.3892   -17.8123     20.870
  115.9000   -64.2000   276.3139   -18.8523     20.000   251.1611   -18.0107     20.901
  115.2000   -64.1000   276.0889   -19.0928     20.000   250.9339   -18.2117     20.933
  114.5000   -64.0000   275.8656   -19.3365     20.000   250.7077   -18.4151     20.963
  113.8000   -63.9000   275.6441   -19.5832     20.000   250.4824   -18.6210     20.994
  113.1000   -63.9000   275.5233   -19.8694     20.000   250.3377   -18.8759     21.011
  112.4000   -63.8000   275.3059   -20.1213     20.000   250.1148   -19.0860     21.041
  111.7000   -63.7000   275.0903   -20.3761     20.000   249.8930   -19.2985     21.071
  111.0000   -63.6000   274.8766   -20.6339     20.000   249.6722   -19.5134     21.100
  110.3000   -63.5000   274.6648   -20.8947     20.000   249.4524   -19.7307     21.129
  109.6000   -63.5000   274.5566   -21.1902     20.000   249.3149   -19.9933     21.144
  108.9000   -63.4000   274.3492   -21.4559     20.000   249.0976   -20.2146     21.172
  108.3000   -63.3000   274.1584   -21.6816     20.000   248.9004   -20.4002     21.198
  107.6000   -63.2000   273.9547   -21.9528     20.000   248.6850   -20.6259     21.225
  106.9000   -63.1000   273.7532   -22.2267     20.000   248.4706   -20.8540     21.252
  106.2000   -63.1000   273.6578   -22.5309     20.000   248.3405   -21.1237     21.265
  105.6000   -63.0000   273.4741   -22.7658     20.000   248.1469   -21.3168     21.290
  104.9000   -62.9000   273.2791   -23.0470     20.000   247.9359   -21.5507     21.316
  104.3000   -62.8000   273.0986   -23.2867     20.000   247.7439   -21.7477     21.339
  103.6000   -62.7000   272.9077   -23.5731     20.000   247.5349   -21.9858     21.364
  103.0000   -62.6000   272.7307   -23.8175     20.000   247.3446   -22.1866     21.388
  102.3000   -62.6000   272.6509   -24.1313     20.000   247.2227   -22.4643     21.399
  101.7000   -62.5000   272.4778   -24.3795     20.000   247.0342   -22.6683     21.421
  101.0000   -62.4000   272.2960   -24.6752     20.000   246.8296   -22.9141     21.445
  100.4000   -62.3000   272.1266   -24.9280     20.000   246.6428   -23.1217     21.466
   99.8000   -62.2000   271.9589   -25.1828     20.000   246.4568   -23.3311     21.488
   99.2000   -62.2000   271.9019   -25.4579     20.000   246.3582   -23.5744     21.496
   98.5000   -62.1000   271.7291   -25.7623     20.000   246.1578   -23.8274     21.518
   97.9000   -62.0000   271.5675   -26.0230     20.000   245.9746   -24.0415     21.538
   97.3000   -61.9000   271.4076   -26.2857     20.000   245.7920   -24.2574     21.558
   96.7000   -61.8000   271.2496   -26.5504     20.000   245.6103   -24.4749     21.578
   96.1000   -61.8000   271.2044   -26.8311     20.000   245.5175   -24.7232     21.584
   95.5000   -61.7000   271.0505   -27.0991     20.000   245.3376   -24.9435     21.603
   94.9000   -61.6000   270.8985   -27.3691     20.000   245.1584   -25.1654     21.622
   94.3000   -61.5000   270.7485   -27.6411     20.000   244.9801   -25.3889     21.641
   93.7000   -61.4000   270.6004   -27.9151     20.000   244.8025   -25.6141     21.659
   93.1000   -61.4000   270.5673   -28.2008     20.000   244.7155   -25.8672     21.663
   92.5000   -61.3000   270.4236   -28.4779     20.000   244.5398   -26.0951     21.680
   91.9000   -61.2000   270.2820   -28.7569     20.000   244.3649   -26.3246     21.698
   91.3000   -61.1000   270.1425   -29.0378     20.000   244.1908   -26.5556     21.714
   90.7000   -61.0000   270.0052   -29.3206     20.000   244.0175   -26.7883     21.731
   90.2000   -60.9000   269.8732   -29.5567     20.000   243.8585   -26.9794     21.746
   89.6000   -60.9000   269.8549   -29.8480     20.000   243.7782   -27.2380     21.748
   89.0000   -60.8000   269.7240   -30.1354     20.000   243.6075   -27.4746     21.764
   88.5000   -60.7000   269.5974   -30.3756     20.000   243.4504   -27.6693     21.779
   87.9000   -60.6000   269.4706   -30.6664     20.000   243.2811   -27.9089     21.793
   87.4000   -60.5000   269.3473   -30.9097     20.000   243.1252   -28.1062     21.808
   86.8000   -60.5000   269.3416   -31.2051     20.000   243.0505   -28.3690     21.808
   86.2000   -60.4000   269.2217   -31.5002     20.000   242.8838   -28.6124     21.822
   85.7000   -60.3000   269.1041   -31.7475     20.000   242.7298   -28.8132     21.835
   85.2000   -60.2000   268.9880   -31.9962     20.000   242.5764   -29.0152     21.848
   84.6000   -60.1000   268.8745   -32.2961     20.000   242.4118   -29.2627     21.861
