#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  180.0000    42.0000   154.8865    71.7894     16.600   170.5285    49.6853     20.680
  180.1605    41.9310   154.7295    71.9183     16.600   170.5112    49.7865     20.664
  180.3211    41.8621   154.5691    72.0470     16.600   170.4935    49.8878     20.649
  180.4816    41.7931   154.4054    72.1756     16.600   170.4752    49.9892     20.633
  180.6421    41.7242   154.2383    72.3041     16.600   170.4565    50.0907     20.617
  180.8027    41.6552   154.0677    72.4324     16.600   170.4372    50.1922     20.601
  180.9632    41.5863   153.8936    72.5605     16.600   170.4175    50.2939     20.585
  181.1237    41.5173   153.7158    72.6884     16.600   170.3973    50.3957     20.569
  181.2843    41.4484   153.5343    72.8162     16.600   170.3766    50.4975     20.553
  181.4448    41.3794   153.3490    72.9437     16.600   170.3554    50.5995     20.537
  181.6054    41.3105   153.1598    73.0711     16.600   170.3336    50.7015     20.521
  181.7659    41.2415   152.9667    73.1983     16.600   170.3114    50.8037     20.505
  181.9264    41.1725   152.7696    73.3252     16.600   170.2886    50.9059     20.489
  182.0870    41.1036   152.5683    73.4520     16.600   170.2653    51.0082     20.473
  182.2475    41.0346   152.3629    73.5785     16.600   170.2415    51.1106     20.457
  182.4080    40.9657   152.1531    73.7047     16.600   170.2171    51.2131     20.441
  182.5686    40.8967   151.9389    73.8308     16.600   170.1922    51.3157     20.424
  182.7291    40.8278   151.7203    73.9565     16.600   170.1668    51.4184     20.408
  182.8896    40.7588   151.4971    74.0820     16.600   170.1408    51.5212     20.392
  183.0502    40.6899   151.2692    74.2072     16.600   170.1143    51.6240     20.375
  183.2107    40.6209   151.0365    74.3322     16.600   170.0872    51.7270     20.359
  183.3712    40.5520   150.7990    74.4568     16.600   170.0595    51.8300     20.343
  183.5318    40.4830   150.5564    74.5811     16.600   170.0313    51.9331     20.326
  183.6923    40.4141   150.3088    74.7051     16.600   170.0025    52.0363     20.310
  183.8528    40.3451   150.0559    74.8288     16.600   169.9732    52.1396     20.293
  184.0134    40.2761   149.7978    74.9522     16.600   169.9432    52.2429     20.276
  184.1739    40.2072   149.5342    75.0751     16.600   169.9127    52.3464     20.260
  184.3344    40.1382   149.2650    75.1978     16.600   169.8815    52.4499     20.243
  184.4950    40.0693   148.9901    75.3200     16.600   169.8498    52.5535     20.226
  184.6555    40.0003   148.7095    75.4418     16.600   169.8175    52.6572     20.210
  184.8161    39.9314   148.4229    75.5633     16.600   169.7845    52.7609     20.193
  184.9766    39.8624   148.1302    75.6843     16.600   169.7509    52.8648     20.176
  185.1371    39.7935   147.8314    75.8048     16.600   169.7168    52.9687     20.159
  185.2977    39.7245   147.5262    75.9250     16.600   169.6819    53.0727     20.142
  185.4582    39.6556   147.2145    76.0446     16.600   169.6465    53.1768     20.125
  185.6187    39.5866   146.8962    76.1638     16.600   169.6104    53.2809     20.108
  185.7793    39.5176   146.5712    76.2825     16.600   169.5737    53.3851     20.091
  185.9398    39.4487   146.2392    76.4006     16.600   169.5363    53.4894     20.074
  186.1003    39.3797   145.9002    76.5183     16.600   169.4983    53.5938     20.057
  186.2609    39.3108   145.5539    76.6353     16.600   169.4596    53.6982     20.040
  186.4214    39.2418   145.2003    76.7519     16.600   169.4202    53.8027     20.023
  186.5819    39.1729   144.8391    76.8678     16.600   169.3802    53.9073     20.006
  186.7425    39.1039   144.4703    76.9831     16.600   169.3395    54.0119     19.988
  186.9030    39.0350   144.0935    77.0978     16.600   169.2980    54.1166     19.971
  187.0635    38.9660   143.7088    77.2118     16.600   169.2559    54.2214     19.954
  187.2241    38.8971   143.3158    77.3251     16.600   169.2131    54.3263     19.937
