#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
   36.8000   -48.3000   268.0534   -61.8319     20.000   226.9295   -53.7738     21.856
   37.1000   -49.2000   269.2174   -61.0971     20.000   228.2331   -53.4932     21.783
   37.5000   -50.0000   270.1015   -60.3757     20.000   229.3700   -53.1571     21.724
   37.8000   -50.9000   271.1912   -59.6342     20.000   230.6445   -52.8538     21.649
   38.2000   -51.8000   272.1633   -58.8435     20.000   231.8943   -52.4833     21.578
   38.6000   -52.8000   273.2442   -57.9836     20.000   233.2680   -52.0840     21.495
   38.9000   -53.7000   274.2325   -57.2340     20.000   234.4952   -51.7455     21.417
   39.3000   -54.7000   275.2480   -56.3705     20.000   235.8323   -51.3218     21.331
   39.6000   -55.7000   276.3045   -55.5461     20.000   237.1653   -50.9368     21.240
   40.0000   -56.7000   277.2613   -54.6800     20.000   238.4650   -50.4888     21.152
   40.4000   -57.7000   278.1937   -53.8139     20.000   239.7461   -50.0298     21.063
   40.7000   -58.8000   279.2806   -52.9115     20.000   241.1588   -49.5779     20.957
   41.1000   -59.9000   280.2760   -51.9716     20.000   242.5335   -49.0649     20.854
   41.4000   -61.0000   281.3039   -51.0645     20.000   243.9062   -48.5825     20.745
   41.8000   -62.1000   282.2504   -50.1236     20.000   245.2406   -48.0428     20.640
   42.2000   -63.3000   283.2789   -49.1089     20.000   246.6810   -47.4552     20.521
   42.5000   -64.5000   284.3324   -48.1228     20.000   248.1185   -46.8914     20.398
