#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  142.9356    46.3850   173.0000    46.5000     46.800   174.4597    39.8556     52.972
  143.0199    46.1039   173.3923    46.5981     46.629   174.7763    39.9163     52.797
  143.1054    45.8235   173.7846    46.6962     46.458   175.0923    39.9770     52.622
  143.1921    45.5438   174.1769    46.7942     46.287   175.4075    40.0377     52.447
  143.2801    45.2649   174.5692    46.8923     46.116   175.7221    40.0984     52.271
  143.3692    44.9867   174.9615    46.9904     45.945   176.0359    40.1590     52.096
  143.4596    44.7092   175.3538    47.0885     45.774   176.3490    40.2197     51.919
  143.5511    44.4324   175.7462    47.1865     45.603   176.6613    40.2803     51.743
  143.6438    44.1564   176.1385    47.2846     45.433   176.9730    40.3409     51.567
  143.7376    43.8812   176.5308    47.3827     45.262   177.2838    40.4015     51.390
  143.8325    43.6067   176.9231    47.4808     45.091   177.5940    40.4620     51.213
  143.9285    43.3330   177.3154    47.5788     44.920   177.9034    40.5226     51.035
  144.0257    43.0600   177.7077    47.6769     44.749   178.2120    40.5831     50.858
  144.1239    42.7878   178.1000    47.7750     44.578   178.5199    40.6436     50.680
  144.2232    42.5164   178.4923    47.8731     44.407   178.8270    40.7041     50.502
  144.3236    42.2458   178.8846    47.9712     44.236   179.1333    40.7646     50.323
  144.4250    41.9760   179.2769    48.0692     44.065   179.4389    40.8250     50.145
  144.5275    41.7069   179.6692    48.1673     43.894   179.7437    40.8855     49.966
  144.6310    41.4387   180.0615    48.2654     43.723   180.0476    40.9459     49.787
  144.7355    41.1712   180.4538    48.3635     43.552   180.3508    41.0063     49.608
  144.8410    40.9046   180.8462    48.4615     43.381   180.6532    41.0666     49.429
  144.9475    40.6388   181.2385    48.5596     43.210   180.9547    41.1270     49.249
  145.0550    40.3738   181.6308    48.6577     43.039   181.2554    41.1873     49.069
  145.1635    40.1096   182.0231    48.7558     42.869   181.5553    41.2476     48.889
  145.2729    39.8463   182.4154    48.8538     42.698   181.8544    41.3079     48.708
  145.3833    39.5838   182.8077    48.9519     42.527   182.1526    41.3682     48.528
  145.4947    39.3221   183.2000    49.0500     42.356   182.4500    41.4285     48.347
  145.6070    39.0613   183.5923    49.1481     42.185   182.7465    41.4887     48.166
  145.7202    38.8013   183.9846    49.2462     42.014   183.0422    41.5489     47.985
  145.8343    38.5422   184.3769    49.3442     41.843   183.3370    41.6091     47.803
  145.9494    38.2840   184.7692    49.4423     41.672   183.6309    41.6692     47.622
  146.0654    38.0266   185.1615    49.5404     41.501   183.9239    41.7293     47.440
  146.1822    37.7701   185.5538    49.6385     41.330   184.2160    41.7894     47.258
  146.3000    37.5145   185.9462    49.7365     41.159   184.5073    41.8495     47.076
  146.4186    37.2598   186.3385    49.8346     40.988   184.7976    41.9096     46.893
  146.5382    37.0059   186.7308    49.9327     40.817   185.0870    41.9696     46.711
  146.6415    36.7530   187.1231    50.0171     40.643   185.3757    42.0172     46.526
  146.7086    36.5010   187.5154    50.0716     40.462   185.6642    42.0378     46.337
  146.7768    36.2494   187.9077    50.1261     40.281   185.9518    42.0583     46.149
  146.8463    35.9984   188.3000    50.1806     40.101   186.2386    42.0788     45.960
  146.9170    35.7479   188.6923    50.2350     39.920   186.5245    42.0993     45.770
  146.9888    35.4980   189.0846    50.2895     39.739   186.8096    42.1197     45.581
  147.0618    35.2487   189.4769    50.3440     39.558   187.0938    42.1401     45.391
  147.1359    34.9999   189.8692    50.3985     39.377   187.3772    42.1605     45.202
  147.2112    34.7516   190.2615    50.4530     39.196   187.6596    42.1809     45.012
  147.2876    34.5040   190.6538    50.5075     39.015   187.9412    42.2012     44.822
  147.3651    34.2569   191.0462    50.5620     38.834   188.2218    42.2215     44.631
  147.4437    34.0104   191.4385    50.6165     38.653   188.5016    42.2417     44.441
  147.5235    33.7644   191.8308    50.6709     38.472   188.7804    42.2619     44.250
  147.6043    33.5191   192.2231    50.7254     38.292   189.0583    42.2820     44.059
  147.6862    33.2744   192.6154    50.7799     38.111   189.3353    42.3021     43.868
  147.7691    33.0302   193.0077    50.8344     37.930   189.6113    42.3222     43.677
  147.8531    32.7867   193.4000    50.8889     37.749   189.8864    42.3422     43.486
  147.9382    32.5438   193.7923    50.9434     37.568   190.1605    42.3622     43.294
  148.0243    32.3014   194.1846    50.9979     37.387   190.4336    42.3821     43.103
  148.1114    32.0597   194.5769    51.0524     37.206   190.7058    42.4019     42.911
  148.1996    31.8187   194.9692    51.1068     37.025   190.9769    42.4217     42.719
  148.2888    31.5782   195.3615    51.1613     36.844   191.2471    42.4414     42.527
  148.3790    31.3384   195.7538    51.2158     36.664   191.5162    42.4611     42.335
  148.4702    31.0993   196.1462    51.2703     36.483   191.7844    42.4807     42.142
  148.5624    30.8607   196.5385    51.3248     36.302   192.0515    42.5003     41.949
  148.6556    30.6229   196.9308    51.3793     36.121   192.3175    42.5197     41.757
  148.7497    30.3856   197.3231    51.4338     35.940   192.5825    42.5391     41.564
  148.8449    30.1491   197.7154    51.4882     35.759   192.8465    42.5584     41.371
  148.9410    29.9132   198.1077    51.5427     35.578   193.1093    42.5777     41.177
  149.0381    29.6780   198.5000    51.5972     35.397   193.3711    42.5969     40.984
  149.1361    29.4434   198.8923    51.6517     35.216   193.6317    42.6159     40.791
  149.2350    29.2095   199.2846    51.7062     35.035   193.8913    42.6349     40.597
  149.3349    28.9763   199.6769    51.7607     34.855   194.1497    42.6539     40.403
  149.4358    28.7438   200.0692    51.8152     34.674   194.4070    42.6727     40.209
  149.5375    28.5120   200.4615    51.8697     34.493   194.6632    42.6914     40.015
  149.6402    28.2809   200.8538    51.9241     34.312   194.9181    42.7100     39.821
  149.7438    28.0505   201.2462    51.9786     34.131   195.1719    42.7285     39.627
  149.8483    27.8208   201.6385    52.0331     33.950   195.4246    42.7469     39.432
  149.9537    27.5918   202.0308    52.0876     33.769   195.6760    42.7652     39.238
  150.0600    27.3635   202.4231    52.1421     33.588   195.9262    42.7834     39.043
  150.1672    27.1359   202.8154    52.1966     33.407   196.1751    42.8015     38.848
  150.2753    26.9091   203.2077    52.2511     33.226   196.4228    42.8194     38.653
  150.3843    26.6830   203.6000    52.3056     33.046   196.6693    42.8373     38.458
  150.4941    26.4577   203.9923    52.3600     32.865   196.9145    42.8550     38.263
  150.6048    26.2330   204.3846    52.4145     32.684   197.1584    42.8725     38.068
  150.7164    26.0092   204.7769    52.4690     32.503   197.4009    42.8899     37.872
