#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  145.7315   -15.4284   250.1107    27.5413     14.500   223.2012    20.7883     18.891
  145.7604   -15.3869   250.0976    27.5899     14.500   223.1843    20.8233     18.891
  145.7893   -15.3454   250.0844    27.6385     14.500   223.1674    20.8583     18.891
  145.8182   -15.3039   250.0712    27.6871     14.500   223.1504    20.8932     18.892
  145.8471   -15.2623   250.0580    27.7357     14.500   223.1335    20.9281     18.892
  145.8759   -15.2208   250.0448    27.7843     14.500   223.1165    20.9630     18.893
  145.9048   -15.1793   250.0316    27.8330     14.500   223.0995    20.9980     18.893
  145.9336   -15.1377   250.0184    27.8816     14.500   223.0824    21.0329     18.893
  145.9624   -15.0962   250.0051    27.9302     14.500   223.0654    21.0678     18.894
  145.9912   -15.0547   249.9919    27.9788     14.500   223.0483    21.1027     18.894
  146.0200   -15.0131   249.9786    28.0274     14.500   223.0312    21.1375     18.894
  146.0488   -14.9716   249.9653    28.0760     14.500   223.0141    21.1724     18.895
  146.0776   -14.9300   249.9521    28.1246     14.500   222.9970    21.2073     18.895
  146.1064   -14.8884   249.9388    28.1732     14.500   222.9798    21.2421     18.895
  146.1351   -14.8469   249.9254    28.2218     14.500   222.9626    21.2770     18.896
  146.1639   -14.8053   249.9121    28.2704     14.500   222.9454    21.3118     18.896
  146.1926   -14.7637   249.8988    28.3190     14.500   222.9282    21.3467     18.897
  146.2213   -14.7222   249.8854    28.3676     14.500   222.9109    21.3815     18.897
  146.2500   -14.6806   249.8721    28.4162     14.500   222.8937    21.4163     18.897
  146.2787   -14.6390   249.8587    28.4648     14.500   222.8764    21.4511     18.898
  146.3074   -14.5974   249.8453    28.5134     14.500   222.8591    21.4859     18.898
  146.3361   -14.5558   249.8319    28.5620     14.500   222.8417    21.5207     18.898
  146.3648   -14.5143   249.8185    28.6106     14.500   222.8244    21.5555     18.899
  146.3935   -14.4727   249.8051    28.6592     14.500   222.8070    21.5903     18.899
  146.4221   -14.4311   249.7917    28.7078     14.500   222.7896    21.6250     18.899
  146.4507   -14.3895   249.7782    28.7564     14.500   222.7722    21.6598     18.900
  146.4794   -14.3479   249.7648    28.8050     14.500   222.7547    21.6946     18.900
  146.5080   -14.3063   249.7513    28.8536     14.500   222.7373    21.7293     18.900
  146.5366   -14.2646   249.7378    28.9021     14.500   222.7198    21.7640     18.901
  146.5652   -14.2230   249.7243    28.9507     14.500   222.7023    21.7988     18.901
  146.5938   -14.1814   249.7108    28.9993     14.500   222.6847    21.8335     18.901
  146.6224   -14.1398   249.6973    29.0479     14.500   222.6672    21.8682     18.902
  146.6509   -14.0982   249.6838    29.0965     14.500   222.6496    21.9029     18.902
