#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  226.3270    -2.8851   355.2961    45.9336     23.200   350.0993    65.2197     18.361
  226.3708    -2.8609   355.3652    45.9199     23.200   350.2463    65.2083     18.358
  226.4146    -2.8368   355.4343    45.9060     23.200   350.3932    65.1968     18.355
  226.4584    -2.8126   355.5033    45.8922     23.200   350.5400    65.1851     18.353
  226.5022    -2.7884   355.5723    45.8783     23.200   350.6866    65.1733     18.350
  226.5460    -2.7642   355.6413    45.8644     23.200   350.8332    65.1613     18.348
  226.5899    -2.7400   355.7102    45.8504     23.200   350.9797    65.1493     18.345
  226.6337    -2.7158   355.7791    45.8363     23.200   351.1261    65.1371     18.343
  226.6775    -2.6917   355.8480    45.8223     23.200   351.2724    65.1247     18.340
  226.7213    -2.6675   355.9168    45.8082     23.200   351.4186    65.1123     18.338
  226.7651    -2.6433   355.9856    45.7940     23.200   351.5647    65.0997     18.335
  226.8089    -2.6191   356.0543    45.7798     23.200   351.7106    65.0870     18.332
  226.8527    -2.5949   356.1231    45.7656     23.200   351.8565    65.0742     18.330
  226.8965    -2.5707   356.1917    45.7513     23.200   352.0023    65.0612     18.327
  226.9403    -2.5465   356.2604    45.7370     23.200   352.1479    65.0481     18.325
  226.9841    -2.5223   356.3290    45.7227     23.200   352.2935    65.0349     18.322
  227.0279    -2.4981   356.3976    45.7083     23.200   352.4389    65.0216     18.320
  227.0717    -2.4739   356.4661    45.6938     23.200   352.5842    65.0081     18.317
  227.1155    -2.4497   356.5346    45.6794     23.200   352.7294    64.9945     18.315
  227.1592    -2.4255   356.6031    45.6648     23.200   352.8745    64.9808     18.312
  227.2030    -2.4012   356.6715    45.6503     23.200   353.0195    64.9669     18.310
  227.2468    -2.3770   356.7399    45.6357     23.200   353.1643    64.9530     18.308
  227.2906    -2.3528   356.8083    45.6210     23.200   353.3091    64.9389     18.305
  227.3344    -2.3286   356.8766    45.6064     23.200   353.4537    64.9246     18.303
  227.3782    -2.3044   356.9449    45.5916     23.200   353.5982    64.9103     18.300
  227.4219    -2.2802   357.0132    45.5769     23.200   353.7426    64.8958     18.298
  227.4657    -2.2560   357.0814    45.5621     23.200   353.8868    64.8812     18.295
  227.5095    -2.2318   357.1496    45.5472     23.200   354.0309    64.8665     18.293
  227.5533    -2.2075   357.2177    45.5323     23.200   354.1749    64.8516     18.290
  227.5970    -2.1833   357.2859    45.5174     23.200   354.3188    64.8366     18.288
  227.6408    -2.1591   357.3539    45.5025     23.200   354.4626    64.8215     18.285
  227.6846    -2.1349   357.4220    45.4875     23.200   354.6062    64.8063     18.283
  227.7284    -2.1106   357.4900    45.4724     23.200   354.7497    64.7910     18.281
  227.7721    -2.0864   357.5580    45.4573     23.200   354.8930    64.7755     18.278
  227.8159    -2.0622   357.6259    45.4422     23.200   355.0363    64.7599     18.276
  227.8597    -2.0380   357.6938    45.4270     23.200   355.1794    64.7442     18.273
  227.9034    -2.0137   357.7616    45.4118     23.200   355.3223    64.7283     18.271
  227.9472    -1.9895   357.8295    45.3966     23.200   355.4652    64.7124     18.269
  227.9910    -1.9653   357.8973    45.3813     23.200   355.6078    64.6963     18.266
  228.0347    -1.9410   357.9650    45.3660     23.200   355.7504    64.6800     18.264
  228.0785    -1.9168   358.0327    45.3506     23.200   355.8928    64.6637     18.261
  228.1222    -1.8926   358.1004    45.3352     23.200   356.0351    64.6472     18.259
  228.1660    -1.8683   358.1680    45.3197     23.200   356.1772    64.6307     18.257
  228.2097    -1.8441   358.2356    45.3043     23.200   356.3192    64.6140     18.254
  228.2535    -1.8199   358.3032    45.2887     23.200   356.4611    64.5971     18.252
  228.2973    -1.7956   358.3707    45.2732     23.200   356.6028    64.5802     18.250
  228.3410    -1.7714   358.4382    45.2576     23.200   356.7444    64.5631     18.247
  228.3848    -1.7471   358.5057    45.2419     23.200   356.8858    64.5459     18.245
  228.4285    -1.7229   358.5731    45.2262     23.200   357.0271    64.5286     18.243
  228.4723    -1.6987   358.6405    45.2105     23.200   357.1682    64.5112     18.240
  228.5160    -1.6744   358.7078    45.1947     23.200   357.3092    64.4936     18.238
  228.5598    -1.6502   358.7751    45.1789     23.200   357.4501    64.4759     18.236
  228.6035    -1.6259   358.8424    45.1631     23.200   357.5908    64.4581     18.233
  228.6472    -1.6017   358.9096    45.1472     23.200   357.7313    64.4402     18.231
  228.6910    -1.5774   358.9768    45.1313     23.200   357.8717    64.4222     18.229
  228.7347    -1.5532   359.0440    45.1153     23.200   358.0119    64.4040     18.227
  228.7785    -1.5289   359.1111    45.0993     23.200   358.1520    64.3857     18.224
  228.8222    -1.5047   359.1782    45.0833     23.200   358.2920    64.3673     18.222
  228.8660    -1.4804   359.2452    45.0672     23.200   358.4318    64.3488     18.220
  228.9097    -1.4562   359.3122    45.0511     23.200   358.5714    64.3302     18.217
  228.9534    -1.4319   359.3792    45.0349     23.200   358.7108    64.3114     18.215
  228.9972    -1.4077   359.4461    45.0187     23.200   358.8502    64.2925     18.213
  229.0409    -1.3834   359.5130    45.0025     23.200   358.9893    64.2735     18.211
  229.0846    -1.3592   359.5798    44.9862     23.200   359.1283    64.2544     18.208
