#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  355.4850     0.1004    88.5701   -58.0576     90.756    98.6494   -57.7707     91.041
  352.3099     0.4035    83.9168   -56.1115     90.756    93.5678   -56.2098     90.652
  352.3950     0.5078    84.1479   -56.0726     90.756    93.7867   -56.1533     90.670
  351.9867     1.2761    84.3045   -55.2071     90.756    93.7313   -55.2830     90.673
  356.6936    -0.1871    90.3138   -58.9017     90.756   100.5813   -58.4657     91.177
  352.9280     0.9539    85.3837   -55.9933     90.756    94.9869   -55.9788     90.772
  357.4764    -0.1285    91.7110   -59.2184     90.756   102.0221   -58.6681     91.283
  359.8768     1.2769    97.1050   -58.9660     90.756   107.1041   -58.0080     91.691
  356.8880     0.4184    91.1953   -58.4606     90.756   101.3074   -57.9633     91.246
  351.6987    -0.3283    82.2626   -56.3643     90.756    91.9912   -56.5896     90.520
  354.9709     0.6179    88.2279   -57.3514     90.756    98.1241   -57.1009     91.012
  355.4031     0.9795    89.2554   -57.2545     90.756    99.0996   -56.9257     91.094
  350.6630     0.0323    81.1432   -55.4648     90.756    90.6518   -55.7833     90.412
  358.8579    -1.0532    93.3417   -60.6663     90.756   104.0306   -59.9617     91.395
  358.0861    -0.6079    92.3490   -59.9234     90.756   102.8471   -59.3106     91.327
  353.2439    -0.5549    84.3564   -57.4280     90.756    94.3459   -57.4794     90.704
  355.4222     0.3251    88.6800   -57.8317     90.756    98.6942   -57.5395     91.049
  356.2000    -1.2914    88.4098   -59.6201     90.756    98.9507   -59.3226     91.034
  358.1783    -0.1876    92.8873   -59.5893     90.756   103.2622   -58.9409     91.369
  357.2271    -1.1236    90.3513   -59.9792     90.756   100.9422   -59.5222     91.179
  353.9867    -0.2054    85.8692   -57.5405     90.756    95.8659   -57.4717     90.826
  355.0953    -0.6747    87.1789   -58.5246     90.756    97.4247   -58.3404     90.936
  359.2629    -0.4525    94.6088   -60.2987     90.756   105.1230   -59.5031     91.490
  358.7846    -0.6778    93.5418   -60.2968     90.756   104.1047   -59.5839     91.412
  352.5554    -0.7200    83.1308   -57.1773     90.756    93.0663   -57.3277     90.603
  352.1770     0.3527    83.6686   -56.0790     90.756    93.3140   -56.1968     90.631
  359.4285    -0.8999    94.5293   -60.7741     90.756   105.1970   -59.9748     91.479
  358.7706    -0.6600    93.5321   -60.2746     90.756   104.0885   -59.5630     91.411
  352.6714    -0.7258    83.3008   -57.2480     90.756    93.2537   -57.3844     90.618
  355.9183    -0.3387    88.8662   -58.6546     90.756    99.1063   -58.3358     91.066
  353.7405    -0.4450    85.2415   -57.6091     90.756    95.2675   -57.5889     90.776
  353.4656     0.2761    85.5373   -56.8542     90.756    95.3567   -56.8190     90.793
  357.2980     0.3132    91.7986   -58.7441     90.756   101.9693   -58.1953     91.291
