#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
   10.3930    40.7925   120.9177   -22.0407     28.000   134.4405   -18.6203     32.908
   17.4605    38.2124   126.9043   -24.5173     28.000   139.4358   -20.3504     33.411
   13.9320    35.5313   123.9145   -27.3323     28.000   137.3112   -22.8931     33.048
   18.2722    41.9239   127.2367   -20.7668     28.000   139.4273   -17.2125     33.549
   14.1490    33.6153   124.1627   -29.2441     28.000   137.7034   -24.4829     33.007
    8.1841    32.2568   118.3459   -30.4483     28.000   133.2160   -25.9550     32.420
    9.2851    39.6556   119.9401   -23.1331     28.000   133.7386   -19.6060     32.783
   17.1364    40.4161   126.4514   -22.3387     28.000   138.9088   -18.5605     33.434
    8.6808    37.6176   119.2766   -25.1355     28.000   133.3822   -21.3523     32.665
   10.5256    32.7787   120.6651   -30.0520     28.000   135.0191   -25.4289     32.656
    4.3345    40.3898   115.9365   -22.0183     28.000   130.3809   -18.9091     32.392
   20.8629    37.1929   129.9754   -25.2406     28.000   141.9213   -20.7774     33.658
    7.4505    33.3989   117.7568   -29.2554     28.000   132.5977   -24.9835     32.398
   19.0097    37.0133   128.3751   -25.5983     28.000   140.6884   -21.1643     33.507
   14.5998    32.7106   124.6252   -30.1382     28.000   138.1654   -25.2006     33.017
    5.7330    30.4865   115.6910   -31.9841     28.000   131.2909   -27.5056     32.114
   22.1652    36.0016   131.3200   -26.2632     28.000   143.0586   -21.5469     33.736
   13.9293    39.4332   123.8325   -23.4311     28.000   136.8984   -19.6208     33.157
    7.1256    34.3016   117.5519   -28.3305     28.000   132.3245   -24.2082     32.405
   19.8392    38.7386   128.8787   -23.8106     28.000   140.9460   -19.6537     33.609
    3.4464    32.3963   113.7745   -29.8050     28.000   129.4479   -25.7969     31.981
   10.6315    40.9039   121.1168   -21.9364     28.000   134.5934   -18.5204     32.931
   16.8464    41.7706   126.1162   -21.0026     28.000   138.5473   -17.4643     33.439
   11.9724    38.8271   122.1753   -24.0394     28.000   135.6190   -20.2333     32.981
   21.9071    39.9560   130.4229   -22.3888     28.000   142.0670   -18.3995     33.788
    9.2789    30.4787   119.2815   -32.2915     28.000   134.2003   -27.4487     32.451
   15.7269    33.7194   125.6612   -29.0916     28.000   138.8704   -24.2492     33.147
   10.5450    29.0787   120.4992   -33.7493     28.000   135.3631   -28.5835     32.513
   14.9210    38.7817   124.6918   -24.0618     28.000   137.6371   -20.0991     33.221
   11.4612    36.5651   121.6794   -26.2930     28.000   135.4266   -22.1694     32.869
   20.7710    36.1068   130.0593   -26.3266     28.000   142.0748   -21.6705     33.628
   10.7229    37.1660   121.0430   -25.6744     28.000   134.8567   -21.6892     32.825
    5.7913    32.6936   116.0781   -29.8016     28.000   131.3125   -25.5925     32.215
   11.0654    31.3469   121.1350   -31.4998     28.000   135.5680   -26.6197     32.651
   15.0607    30.3842   125.1822   -32.4491     28.000   138.8697   -27.0989     32.980
   18.8872    41.5515   127.7637   -21.0940     28.000   139.8693   -17.4584     33.589
    9.0665    36.2171   119.5115   -26.5539     28.000   133.7115   -22.5430     32.650
   19.4680    31.4925   129.5088   -31.0414     28.000   142.0843   -25.6110     33.402
    7.2181    33.5681   117.5548   -29.0680     28.000   132.4129   -24.8395     32.384
    9.4351    33.4817   119.6569   -29.3029     28.000   134.1271   -24.8717     32.583
   17.4720    33.5301   127.3356   -29.1839     28.000   140.1967   -24.2122     33.291
    5.8150    34.8842   116.4119   -27.6306     28.000   131.3234   -23.6985     32.308
   20.9325    39.4722   129.6941   -22.9751     28.000   141.5307   -18.9199     33.707
   20.4575    35.5848   129.8561   -26.8780     28.000   141.9616   -22.1385     33.591
   11.9948    34.7925   122.1272   -28.0738     28.000   135.9639   -23.6431     32.857
   17.6950    41.0579   126.8538   -21.6665     28.000   139.1823   -17.9798     33.490
   22.8423    38.0295   131.5400   -24.1739     28.000   143.0723   -19.8143     33.826
   19.7863    30.2043   130.0140   -32.2861     28.000   142.6090   -26.6093     33.391
    3.3341    34.7913   114.1246   -27.4280     28.000   129.4402   -23.7087     32.077
   15.3305    29.5419   125.5035   -33.2805     28.000   139.2228   -27.7716     32.975
   12.7059    39.3141   122.8024   -23.5575     28.000   136.0823   -19.7886     33.055
   11.1178    31.8294   121.2053   -31.0190     28.000   135.5644   -26.2062     32.674
   20.0511    36.4532   129.3678   -26.0588     28.000   141.5089   -21.4887     33.578
    9.6527    38.0926   120.1542   -24.7099     28.000   134.0510   -20.9311     32.764
   15.4390    35.0641   125.3178   -27.7599     28.000   138.4659   -23.1574     33.163
   10.5633    28.2538   120.4754   -34.5741     28.000   135.4618   -29.2868     32.481
    7.6216    41.6685   118.7421   -21.0328     28.000   132.5949   -17.8924     32.709
    3.5748    38.8741   115.0638   -23.4296     28.000   129.7911   -20.1831     32.269
    4.8463    33.2120   115.2553   -29.1815     28.000   130.5699   -25.1287     32.149
    8.2716    29.2965   118.1386   -33.4044     28.000   133.4468   -28.5007     32.306
   17.6547    34.7111   127.3954   -27.9944     28.000   140.1280   -23.2169     33.339
    7.3228    32.2330   117.5021   -30.4051     28.000   132.5344   -25.9892     32.339
   14.7027    33.3047   124.7027   -29.5417     28.000   138.1617   -24.6941     33.046
    3.4593    35.4623   114.3620   -26.7830     28.000   129.5605   -23.1315     32.118
   20.8222    31.9872   130.7614   -30.3999     28.000   142.9923   -24.9966     33.531
