#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  126.4001    -0.6986   224.8186    20.4796      8.900   202.1813    11.3123     15.875
  126.4032    -0.6487   224.7739    20.5068      8.900   202.1571    11.3255     15.876
  126.4063    -0.5988   224.7291    20.5341      8.900   202.1328    11.3387     15.878
  126.4095    -0.5489   224.6843    20.5613      8.900   202.1086    11.3519     15.880
  126.4126    -0.4990   224.6395    20.5885      8.900   202.0844    11.3651     15.882
  126.4157    -0.4491   224.5947    20.6157      8.900   202.0601    11.3783     15.884
  126.4189    -0.3992   224.5498    20.6429      8.900   202.0359    11.3914     15.886
  126.4220    -0.3493   224.5050    20.6700      8.900   202.0116    11.4046     15.888
  126.4251    -0.2994   224.4601    20.6972      8.900   201.9873    11.4177     15.890
  126.4283    -0.2495   224.4152    20.7244      8.900   201.9631    11.4309     15.891
  126.4314    -0.1996   224.3703    20.7515      8.900   201.9388    11.4440     15.893
  126.4345    -0.1497   224.3254    20.7786      8.900   201.9145    11.4572     15.895
  126.4377    -0.0998   224.2804    20.8057      8.900   201.8902    11.4703     15.897
  126.4408    -0.0499   224.2355    20.8328      8.900   201.8659    11.4834     15.899
  126.4439    -0.0000   224.1905    20.8599      8.900   201.8416    11.4965     15.901
  126.4470     0.0499   224.1455    20.8870      8.900   201.8173    11.5096     15.903
  126.4502     0.0998   224.1005    20.9141      8.900   201.7930    11.5226     15.905
  126.4533     0.1497   224.0555    20.9411      8.900   201.7687    11.5357     15.906
  126.4564     0.1996   224.0105    20.9682      8.900   201.7444    11.5488     15.908
  126.4596     0.2495   223.9654    20.9952      8.900   201.7201    11.5618     15.910
  126.4627     0.2994   223.9204    21.0222      8.900   201.6958    11.5749     15.912
  126.4658     0.3493   223.8753    21.0492      8.900   201.6714    11.5879     15.914
  126.4690     0.3992   223.8302    21.0762      8.900   201.6471    11.6009     15.916
  126.4721     0.4491   223.7851    21.1032      8.900   201.6227    11.6139     15.917
  126.4752     0.4990   223.7399    21.1302      8.900   201.5984    11.6269     15.919
  126.4783     0.5489   223.6948    21.1571      8.900   201.5740    11.6399     15.921
  126.4815     0.5988   223.6496    21.1841      8.900   201.5497    11.6529     15.923
  126.4846     0.6487   223.6044    21.2110      8.900   201.5253    11.6659     15.925
  126.4877     0.6986   223.5592    21.2379      8.900   201.5009    11.6789     15.927
  126.4909     0.7485   223.5140    21.2648      8.900   201.4766    11.6918     15.928
  126.4940     0.7984   223.4688    21.2917      8.900   201.4522    11.7048     15.930
  126.4971     0.8483   223.4235    21.3186      8.900   201.4278    11.7177     15.932
  126.5003     0.8982   223.3783    21.3455      8.900   201.4034    11.7306     15.934
  126.5034     0.9481   223.3330    21.3723      8.900   201.3790    11.7436     15.936
  126.5065     0.9980   223.2877    21.3992      8.900   201.3546    11.7565     15.937
  126.5097     1.0479   223.2424    21.4260      8.900   201.3302    11.7694     15.939
  126.5128     1.0978   223.1970    21.4529      8.900   201.3058    11.7823     15.941
  126.5159     1.1477   223.1517    21.4797      8.900   201.2814    11.7951     15.943
  126.5191     1.1976   223.1063    21.5065      8.900   201.2569    11.8080     15.945
  126.5222     1.2475   223.0609    21.5333      8.900   201.2325    11.8209     15.946
  126.5253     1.2974   223.0155    21.5600      8.900   201.2081    11.8337     15.948
  126.5285     1.3474   222.9701    21.5868      8.900   201.1836    11.8466     15.950
  126.5316     1.3973   222.9247    21.6136      8.900   201.1592    11.8594     15.952
  126.5347     1.4472   222.8793    21.6403      8.900   201.1347    11.8722     15.954
  126.5378     1.4971   222.8338    21.6670      8.900   201.1103    11.8850     15.955
  126.5410     1.5470   222.7883    21.6937      8.900   201.0858    11.8979     15.957
  126.5441     1.5969   222.7428    21.7204      8.900   201.0613    11.9106     15.959
  126.5472     1.6468   222.6973    21.7471      8.900   201.0369    11.9234     15.961
  126.5504     1.6967   222.6518    21.7738      8.900   201.0124    11.9362     15.962
  126.5535     1.7466   222.6062    21.8005      8.900   200.9879    11.9490     15.964
  126.5566     1.7965   222.5606    21.8271      8.900   200.9634    11.9617     15.966
  126.5598     1.8464   222.5151    21.8538      8.900   200.9389    11.9745     15.968
  126.5629     1.8963   222.4695    21.8804      8.900   200.9144    11.9872     15.970
  126.5660     1.9462   222.4238    21.9070      8.900   200.8899    12.0000     15.971
  126.5692     1.9961   222.3782    21.9336      8.900   200.8654    12.0127     15.973
  126.5723     2.0460   222.3325    21.9602      8.900   200.8409    12.0254     15.975
  126.5755     2.0959   222.2869    21.9868      8.900   200.8164    12.0381     15.977
  126.5786     2.1458   222.2412    22.0133      8.900   200.7918    12.0508     15.978
  126.5817     2.1957   222.1955    22.0399      8.900   200.7673    12.0635     15.980
  126.5849     2.2456   222.1498    22.0664      8.900   200.7428    12.0761     15.982
  126.5880     2.2955   222.1040    22.0930      8.900   200.7182    12.0888     15.983
  126.5911     2.3454   222.0583    22.1195      8.900   200.6937    12.1015     15.985
  126.5943     2.3953   222.0125    22.1460      8.900   200.6691    12.1141     15.987
  126.5974     2.4452   221.9667    22.1725      8.900   200.6445    12.1268     15.989
  126.6005     2.4951   221.9209    22.1989      8.900   200.6200    12.1394     15.990
  126.6037     2.5450   221.8751    22.2254      8.900   200.5954    12.1520     15.992
  126.6068     2.5949   221.8292    22.2518      8.900   200.5708    12.1646     15.994
  126.6099     2.6448   221.7834    22.2783      8.900   200.5462    12.1772     15.996
  126.6131     2.6947   221.7375    22.3047      8.900   200.5217    12.1898     15.997
  126.6162     2.7446   221.6916    22.3311      8.900   200.4971    12.2024     15.999
  126.6194     2.7945   221.6457    22.3575      8.900   200.4725    12.2149     16.001
  126.6225     2.8444   221.5998    22.3839      8.900   200.4479    12.2275     16.002
  126.6256     2.8943   221.5538    22.4103      8.900   200.4233    12.2401     16.004
  126.6288     2.9442   221.5079    22.4366      8.900   200.3986    12.2526     16.006
  126.6319     2.9941   221.4619    22.4630      8.900   200.3740    12.2651     16.008
  126.6350     3.0440   221.4159    22.4893      8.900   200.3494    12.2776     16.009
  126.6382     3.0939   221.3699    22.5156      8.900   200.3248    12.2902     16.011
  126.6413     3.1438   221.3238    22.5419      8.900   200.3001    12.3027     16.013
  126.6445     3.1937   221.2778    22.5682      8.900   200.2755    12.3152     16.014
  126.6476     3.2436   221.2317    22.5945      8.900   200.2508    12.3276     16.016
  126.6507     3.2935   221.1856    22.6208      8.900   200.2262    12.3401     16.018
  126.6539     3.3434   221.1395    22.6470      8.900   200.2015    12.3526     16.019
  126.6570     3.3933   221.0934    22.6733      8.900   200.1769    12.3650     16.021
  126.6602     3.4432   221.0473    22.6995      8.900   200.1522    12.3775     16.023
  126.6633     3.4931   221.0011    22.7257      8.900   200.1275    12.3899     16.024
  126.6665     3.5430   220.9550    22.7519      8.900   200.1029    12.4024     16.026
  126.6696     3.5929   220.9088    22.7781      8.900   200.0782    12.4148     16.028
  126.6727     3.6428   220.8626    22.8043      8.900   200.0535    12.4272     16.029
  126.6759     3.6927   220.8163    22.8305      8.900   200.0288    12.4396     16.031
  126.6790     3.7426   220.7701    22.8566      8.900   200.0041    12.4520     16.033
