#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
   31.5980   -31.5970   232.7304   -73.0932     28.800   206.1557   -61.2453     31.431
   31.6392   -31.6327   232.8287   -73.0522     28.800   206.2378   -61.2222     31.431
   31.6804   -31.6683   232.9265   -73.0111     28.800   206.3199   -61.1990     31.431
   31.7216   -31.7040   233.0239   -72.9700     28.800   206.4018   -61.1757     31.431
   31.7629   -31.7396   233.1208   -72.9289     28.800   206.4835   -61.1524     31.432
   31.8041   -31.7752   233.2173   -72.8877     28.800   206.5651   -61.1290     31.432
   31.8455   -31.8108   233.3133   -72.8465     28.800   206.6466   -61.1055     31.432
   31.8868   -31.8464   233.4089   -72.8052     28.800   206.7280   -61.0820     31.432
   31.9282   -31.8819   233.5040   -72.7639     28.800   206.8092   -61.0585     31.432
   31.9696   -31.9175   233.5987   -72.7225     28.800   206.8903   -61.0349     31.432
   32.0110   -31.9530   233.6929   -72.6811     28.800   206.9712   -61.0112     31.432
   32.0525   -31.9886   233.7868   -72.6397     28.800   207.0521   -60.9875     31.432
   32.0940   -32.0241   233.8801   -72.5982     28.800   207.1328   -60.9637     31.433
   32.1356   -32.0596   233.9731   -72.5566     28.800   207.2133   -60.9398     31.433
   32.1771   -32.0951   234.0656   -72.5150     28.800   207.2938   -60.9159     31.433
   32.2187   -32.1305   234.1577   -72.4734     28.800   207.3741   -60.8920     31.433
   32.2604   -32.1660   234.2494   -72.4318     28.800   207.4542   -60.8679     31.433
   32.3020   -32.2014   234.3406   -72.3901     28.800   207.5343   -60.8439     31.433
   32.3437   -32.2369   234.4315   -72.3483     28.800   207.6142   -60.8197     31.433
   32.3855   -32.2723   234.5219   -72.3065     28.800   207.6939   -60.7956     31.433
   32.4272   -32.3077   234.6119   -72.2647     28.800   207.7736   -60.7713     31.433
   32.4690   -32.3431   234.7015   -72.2228     28.800   207.8531   -60.7470     31.434
   32.5109   -32.3785   234.7907   -72.1809     28.800   207.9324   -60.7227     31.434
   32.5527   -32.4138   234.8795   -72.1389     28.800   208.0117   -60.6983     31.434
   32.5946   -32.4492   234.9679   -72.0969     28.800   208.0908   -60.6738     31.434
   32.6365   -32.4845   235.0559   -72.0549     28.800   208.1698   -60.6493     31.434
   32.6785   -32.5198   235.1435   -72.0128     28.800   208.2486   -60.6247     31.434
   32.7205   -32.5551   235.2306   -71.9707     28.800   208.3273   -60.6001     31.434
   32.7625   -32.5904   235.3174   -71.9286     28.800   208.4059   -60.5754     31.434
   32.8046   -32.6257   235.4039   -71.8864     28.800   208.4844   -60.5507     31.434
   32.8467   -32.6610   235.4899   -71.8442     28.800   208.5627   -60.5259     31.434
   32.8888   -32.6962   235.5755   -71.8019     28.800   208.6409   -60.5010     31.435
   32.9310   -32.7315   235.6608   -71.7596     28.800   208.7189   -60.4761     31.435
   32.9732   -32.7667   235.7456   -71.7173     28.800   208.7968   -60.4512     31.435
   33.0154   -32.8019   235.8301   -71.6749     28.800   208.8746   -60.4261     31.435
   33.0576   -32.8371   235.9142   -71.6325     28.800   208.9523   -60.4011     31.435
   33.0999   -32.8723   235.9980   -71.5900     28.800   209.0298   -60.3760     31.435
   33.1423   -32.9074   236.0813   -71.5475     28.800   209.1072   -60.3508     31.435
   33.1846   -32.9426   236.1643   -71.5050     28.800   209.1845   -60.3256     31.435
   33.2270   -32.9777   236.2470   -71.4624     28.800   209.2616   -60.3003     31.435
   33.2694   -33.0129   236.3292   -71.4198     28.800   209.3386   -60.2749     31.435
   33.3119   -33.0480   236.4112   -71.3772     28.800   209.4155   -60.2496     31.435
   33.3544   -33.0831   236.4927   -71.3345     28.800   209.4922   -60.2241     31.436
   33.3969   -33.1181   236.5739   -71.2918     28.800   209.5688   -60.1986     31.436
   33.4395   -33.1532   236.6547   -71.2491     28.800   209.6453   -60.1731     31.436
   33.4821   -33.1883   236.7352   -71.2063     28.800   209.7216   -60.1475     31.436
   33.5247   -33.2233   236.8153   -71.1635     28.800   209.7978   -60.1218     31.436
   33.5674   -33.2583   236.8951   -71.1207     28.800   209.8739   -60.0961     31.436
   33.6101   -33.2933   236.9745   -71.0778     28.800   209.9499   -60.0704     31.436
   33.6528   -33.3283   237.0536   -71.0349     28.800   210.0257   -60.0446     31.436
   33.6956   -33.3633   237.1323   -70.9920     28.800   210.1014   -60.0187     31.436
   33.7384   -33.3983   237.2107   -70.9490     28.800   210.1770   -59.9928     31.436
   33.7812   -33.4332   237.2888   -70.9060     28.800   210.2524   -59.9668     31.436
   33.8241   -33.4682   237.3665   -70.8630     28.800   210.3277   -59.9408     31.436
   33.8670   -33.5031   237.4439   -70.8199     28.800   210.4029   -59.9147     31.436
   33.9099   -33.5380   237.5209   -70.7768     28.800   210.4779   -59.8886     31.436
   33.9529   -33.5729   237.5976   -70.7337     28.800   210.5528   -59.8625     31.437
   33.9959   -33.6078   237.6740   -70.6905     28.800   210.6276   -59.8362     31.437
   34.0390   -33.6426   237.7501   -70.6473     28.800   210.7022   -59.8100     31.437
   34.0820   -33.6775   237.8258   -70.6041     28.800   210.7768   -59.7836     31.437
   34.1251   -33.7123   237.9012   -70.5608     28.800   210.8511   -59.7573     31.437
   34.1683   -33.7471   237.9763   -70.5175     28.800   210.9254   -59.7309     31.437
   34.2115   -33.7819   238.0511   -70.4742     28.800   210.9995   -59.7044     31.437
   34.2547   -33.8167   238.1255   -70.4308     28.800   211.0735   -59.6779     31.437
   34.2980   -33.8515   238.1996   -70.3874     28.800   211.1474   -59.6513     31.437
   34.3412   -33.8862   238.2735   -70.3440     28.800   211.2211   -59.6247     31.437
   34.3846   -33.9210   238.3470   -70.3006     28.800   211.2948   -59.5980     31.437
   34.4279   -33.9557   238.4202   -70.2571     28.800   211.3682   -59.5713     31.437
   34.4713   -33.9904   238.4930   -70.2136     28.800   211.4416   -59.5445     31.437
   34.5147   -34.0251   238.5656   -70.1701     28.800   211.5148   -59.5177     31.437
   34.5582   -34.0598   238.6379   -70.1265     28.800   211.5879   -59.4908     31.437
   34.6017   -34.0945   238.7099   -70.0829     28.800   211.6609   -59.4639     31.437
   34.6452   -34.1291   238.7815   -70.0393     28.800   211.7337   -59.4369     31.438
   34.6888   -34.1638   238.8529   -69.9957     28.800   211.8064   -59.4099     31.438
   34.7324   -34.1984   238.9240   -69.9520     28.800   211.8790   -59.3828     31.438
   34.7761   -34.2330   238.9948   -69.9083     28.800   211.9515   -59.3557     31.438
   34.8197   -34.2676   239.0652   -69.8645     28.800   212.0238   -59.3285     31.438
   34.8635   -34.3022   239.1354   -69.8208     28.800   212.0960   -59.3013     31.438
   34.9072   -34.3367   239.2053   -69.7770     28.800   212.1681   -59.2741     31.438
   34.9510   -34.3713   239.2749   -69.7332     28.800   212.2400   -59.2468     31.438
   34.9948   -34.4058   239.3442   -69.6893     28.800   212.3118   -59.2194     31.438
   35.0387   -34.4403   239.4133   -69.6455     28.800   212.3835   -59.1920     31.438
   35.0826   -34.4748   239.4820   -69.6016     28.800   212.4551   -59.1645     31.438
   35.1265   -34.5093   239.5505   -69.5576     28.800   212.5265   -59.1370     31.438
   35.1705   -34.5437   239.6187   -69.5137     28.800   212.5978   -59.1095     31.438
   35.2145   -34.5782   239.6866   -69.4697     28.800   212.6690   -59.0819     31.438
   35.2585   -34.6126   239.7542   -69.4257     28.800   212.7401   -59.0542     31.438
   35.3026   -34.6470   239.8216   -69.3817     28.800   212.8110   -59.0266     31.438
   35.3467   -34.6814   239.8887   -69.3376     28.800   212.8818   -58.9988     31.438
   35.3908   -34.7158   239.9555   -69.2936     28.800   212.9524   -58.9710     31.438
   35.4350   -34.7502   240.0220   -69.2494     28.800   213.0230   -58.9432     31.438
   35.4793   -34.7846   240.0883   -69.2053     28.800   213.0934   -58.9153     31.438
   35.5235   -34.8189   240.1543   -69.1612     28.800   213.1637   -58.8874     31.438
   35.5678   -34.8532   240.2200   -69.1170     28.800   213.2339   -58.8594     31.438
   35.6121   -34.8875   240.2855   -69.0728     28.800   213.3039   -58.8314     31.438
   35.6565   -34.9218   240.3507   -69.0285     28.800   213.3738   -58.8034     31.438
   35.7009   -34.9561   240.4156   -68.9843     28.800   213.4436   -58.7752     31.438
   35.7454   -34.9904   240.4803   -68.9400     28.800   213.5133   -58.7471     31.438
   35.7898   -35.0246   240.5447   -68.8957     28.800   213.5828   -58.7189     31.438
   35.8344   -35.0588   240.6089   -68.8514     28.800   213.6522   -58.6906     31.439
   35.8789   -35.0930   240.6728   -68.8070     28.800   213.7215   -58.6623     31.439
   35.9235   -35.1272   240.7364   -68.7626     28.800   213.7907   -58.6340     31.439
   35.9681   -35.1614   240.7998   -68.7182     28.800   213.8597   -58.6056     31.439
   36.0128   -35.1956   240.8630   -68.6738     28.800   213.9286   -58.5772     31.439
   36.0575   -35.2297   240.9259   -68.6294     28.800   213.9974   -58.5487     31.439
   36.1023   -35.2638   240.9885   -68.5849     28.800   214.0661   -58.5202     31.439
   36.1470   -35.2980   241.0510   -68.5404     28.800   214.1346   -58.4916     31.439
   36.1919   -35.3321   241.1131   -68.4959     28.800   214.2030   -58.4630     31.439
   36.2367   -35.3661   241.1750   -68.4513     28.800   214.2713   -58.4344     31.439
   36.2816   -35.4002   241.2367   -68.4068     28.800   214.3395   -58.4057     31.439
   36.3265   -35.4342   241.2981   -68.3622     28.800   214.4076   -58.3769     31.439
   36.3715   -35.4683   241.3593   -68.3176     28.800   214.4755   -58.3482     31.439
   36.4165   -35.5023   241.4203   -68.2729     28.800   214.5433   -58.3193     31.439
   36.4616   -35.5363   241.4810   -68.2283     28.800   214.6110   -58.2905     31.439
   36.5066   -35.5703   241.5414   -68.1836     28.800   214.6785   -58.2615     31.439
   36.5518   -35.6042   241.6017   -68.1389     28.800   214.7459   -58.2326     31.439
   36.5969   -35.6382   241.6617   -68.0942     28.800   214.8132   -58.2036     31.439
