#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
   28.6258    24.6863   140.7000   -36.0000     27.200   151.3670   -28.7968     33.190
   28.6011    24.5758   140.7144   -36.1122     27.222   151.3826   -28.8917     33.206
   28.5765    24.4653   140.7288   -36.2243     27.244   151.3982   -28.9867     33.223
   28.5518    24.3548   140.7431   -36.3365     27.266   151.4139   -29.0817     33.239
   28.5272    24.2443   140.7575   -36.4487     27.288   151.4297   -29.1768     33.255
   28.5025    24.1338   140.7719   -36.5608     27.311   151.4455   -29.2719     33.272
   28.4779    24.0233   140.7863   -36.6730     27.333   151.4614   -29.3670     33.288
   28.4533    23.9128   140.8007   -36.7852     27.355   151.4773   -29.4621     33.304
   28.4286    23.8024   140.8151   -36.8973     27.377   151.4932   -29.5573     33.320
   28.4040    23.6919   140.8294   -37.0094     27.399   151.5092   -29.6524     33.336
   28.3794    23.5815   140.8438   -37.1215     27.421   151.5253   -29.7476     33.353
   28.3548    23.4711   140.8582   -37.2337     27.443   151.5414   -29.8428     33.369
   28.3303    23.3607   140.8726   -37.3458     27.465   151.5575   -29.9381     33.385
   28.3057    23.2503   140.8870   -37.4578     27.488   151.5737   -30.0333     33.401
   28.2811    23.1399   140.9013   -37.5699     27.510   151.5900   -30.1286     33.417
   28.2566    23.0296   140.9157   -37.6820     27.532   151.6063   -30.2239     33.433
   28.2320    22.9193   140.9301   -37.7940     27.554   151.6226   -30.3192     33.449
   28.2075    22.8090   140.9445   -37.9060     27.576   151.6390   -30.4145     33.465
   28.1830    22.6987   140.9589   -38.0180     27.598   151.6555   -30.5099     33.481
   28.1585    22.5884   140.9732   -38.1300     27.620   151.6720   -30.6052     33.497
   28.1340    22.4782   140.9876   -38.2420     27.642   151.6885   -30.7006     33.513
   28.1095    22.3680   141.0020   -38.3539     27.664   151.7051   -30.7960     33.529
   28.0850    22.2578   141.0164   -38.4658     27.687   151.7218   -30.8914     33.545
   28.0605    22.1477   141.0308   -38.5777     27.709   151.7385   -30.9868     33.561
   28.0360    22.0376   141.0452   -38.6896     27.731   151.7552   -31.0822     33.577
   28.0116    21.9275   141.0595   -38.8014     27.753   151.7720   -31.1776     33.593
   27.9871    21.8174   141.0739   -38.9132     27.775   151.7889   -31.2730     33.608
   27.9627    21.7074   141.0883   -39.0250     27.797   151.8058   -31.3685     33.624
   27.9383    21.5974   141.1027   -39.1367     27.819   151.8227   -31.4639     33.640
   27.9139    21.4875   141.1171   -39.2484     27.841   151.8397   -31.5593     33.656
   27.8895    21.3776   141.1314   -39.3601     27.864   151.8568   -31.6548     33.672
   27.8651    21.2677   141.1458   -39.4717     27.886   151.8739   -31.7502     33.687
   27.8407    21.1579   141.1602   -39.5834     27.908   151.8910   -31.8457     33.703
   27.8163    21.0481   141.1746   -39.6949     27.930   151.9082   -31.9411     33.719
   27.7920    20.9383   141.1890   -39.8065     27.952   151.9254   -32.0366     33.734
