#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  319.9292   -60.0645   335.0585   -41.5186     39.800   325.8429   -49.6899     34.597
  319.9779   -60.0208   335.1035   -41.5555     39.800   325.8952   -49.7364     34.598
  320.0264   -59.9771   335.1487   -41.5924     39.800   325.9475   -49.7829     34.600
  320.0748   -59.9334   335.1938   -41.6292     39.800   326.0000   -49.8293     34.601
  320.1231   -59.8896   335.2391   -41.6661     39.800   326.0525   -49.8757     34.602
  320.1712   -59.8459   335.2843   -41.7029     39.800   326.1051   -49.9221     34.604
  320.2193   -59.8021   335.3297   -41.7397     39.800   326.1578   -49.9685     34.605
  320.2672   -59.7583   335.3750   -41.7765     39.800   326.2106   -50.0149     34.606
  320.3150   -59.7145   335.4205   -41.8133     39.800   326.2635   -50.0612     34.608
  320.3626   -59.6706   335.4659   -41.8501     39.800   326.3165   -50.1075     34.609
  320.4101   -59.6268   335.5115   -41.8868     39.800   326.3695   -50.1538     34.611
  320.4575   -59.5829   335.5571   -41.9235     39.800   326.4227   -50.2001     34.612
  320.5048   -59.5390   335.6027   -41.9603     39.800   326.4759   -50.2464     34.613
  320.5520   -59.4951   335.6484   -41.9969     39.800   326.5293   -50.2926     34.615
  320.5990   -59.4512   335.6941   -42.0336     39.800   326.5827   -50.3388     34.616
  320.6459   -59.4073   335.7399   -42.0703     39.800   326.6362   -50.3850     34.618
  320.6927   -59.3633   335.7858   -42.1069     39.800   326.6898   -50.4312     34.619
  320.7394   -59.3193   335.8317   -42.1435     39.800   326.7435   -50.4773     34.621
  320.7860   -59.2754   335.8776   -42.1801     39.800   326.7972   -50.5235     34.622
  320.8324   -59.2314   335.9236   -42.2167     39.800   326.8511   -50.5696     34.624
  320.8787   -59.1873   335.9697   -42.2533     39.800   326.9051   -50.6157     34.625
  320.9249   -59.1433   336.0158   -42.2898     39.800   326.9591   -50.6617     34.626
  320.9710   -59.0992   336.0620   -42.3264     39.800   327.0133   -50.7078     34.628
  321.0170   -59.0552   336.1082   -42.3629     39.800   327.0675   -50.7538     34.629
  321.0628   -59.0111   336.1545   -42.3994     39.800   327.1218   -50.7998     34.631
  321.1085   -58.9670   336.2008   -42.4358     39.800   327.1763   -50.8457     34.632
  321.1541   -58.9229   336.2472   -42.4723     39.800   327.2308   -50.8917     34.634
  321.1996   -58.8787   336.2936   -42.5087     39.800   327.2854   -50.9376     34.635
  321.2450   -58.8346   336.3401   -42.5451     39.800   327.3401   -50.9835     34.637
  321.2903   -58.7904   336.3866   -42.5815     39.800   327.3949   -51.0294     34.638
  321.3354   -58.7462   336.4332   -42.6179     39.800   327.4498   -51.0753     34.640
  321.3805   -58.7021   336.4799   -42.6543     39.800   327.5048   -51.1211     34.641
  321.4254   -58.6578   336.5266   -42.6906     39.800   327.5599   -51.1670     34.643
  321.4702   -58.6136   336.5733   -42.7269     39.800   327.6150   -51.2127     34.644
  321.5149   -58.5694   336.6201   -42.7632     39.800   327.6703   -51.2585     34.646
  321.5595   -58.5251   336.6670   -42.7995     39.800   327.7257   -51.3043     34.647
  321.6040   -58.4808   336.7139   -42.8358     39.800   327.7811   -51.3500     34.649
  321.6483   -58.4366   336.7609   -42.8720     39.800   327.8367   -51.3957     34.651
  321.6926   -58.3923   336.8079   -42.9083     39.800   327.8923   -51.4414     34.652
  321.7367   -58.3479   336.8550   -42.9445     39.800   327.9481   -51.4870     34.654
  321.7807   -58.3036   336.9022   -42.9807     39.800   328.0040   -51.5327     34.655
  321.8247   -58.2593   336.9494   -43.0168     39.800   328.0599   -51.5783     34.657
  321.8685   -58.2149   336.9966   -43.0530     39.800   328.1159   -51.6239     34.658
  321.9122   -58.1705   337.0439   -43.0891     39.800   328.1721   -51.6694     34.660
  321.9558   -58.1261   337.0913   -43.1252     39.800   328.2283   -51.7150     34.661
  321.9992   -58.0817   337.1387   -43.1613     39.800   328.2847   -51.7605     34.663
  322.0426   -58.0373   337.1862   -43.1974     39.800   328.3411   -51.8060     34.665
  322.0859   -57.9929   337.2337   -43.2335     39.800   328.3976   -51.8515     34.666
  322.1291   -57.9484   337.2813   -43.2695     39.800   328.4543   -51.8969     34.668
  322.1721   -57.9039   337.3290   -43.3055     39.800   328.5110   -51.9423     34.669
  322.2151   -57.8595   337.3767   -43.3415     39.800   328.5679   -51.9877     34.671
  322.2579   -57.8150   337.4244   -43.3775     39.800   328.6248   -52.0331     34.673
  322.3006   -57.7705   337.4722   -43.4135     39.800   328.6818   -52.0784     34.674
  322.3433   -57.7259   337.5201   -43.4494     39.800   328.7390   -52.1238     34.676
  322.3858   -57.6814   337.5680   -43.4853     39.800   328.7962   -52.1691     34.677
  322.4282   -57.6368   337.6160   -43.5212     39.800   328.8536   -52.2143     34.679
  322.4706   -57.5923   337.6640   -43.5571     39.800   328.9110   -52.2596     34.681
  322.5128   -57.5477   337.7121   -43.5929     39.800   328.9686   -52.3048     34.682
  322.5549   -57.5031   337.7603   -43.6288     39.800   329.0262   -52.3500     34.684
