#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  186.1755    -3.3071   289.9358    58.8884     11.000   219.1545    48.0591     12.661
  186.2220    -3.2886   290.0169    58.9158     11.000   219.1436    48.0978     12.657
  186.2686    -3.2702   290.0981    58.9430     11.000   219.1327    48.1366     12.653
  186.3151    -3.2518   290.1794    58.9703     11.000   219.1217    48.1753     12.649
  186.3617    -3.2334   290.2608    58.9975     11.000   219.1106    48.2141     12.645
  186.4082    -3.2149   290.3424    59.0246     11.000   219.0996    48.2528     12.641
  186.4548    -3.1965   290.4241    59.0517     11.000   219.0884    48.2916     12.637
  186.5013    -3.1781   290.5059    59.0787     11.000   219.0772    48.3304     12.633
  186.5479    -3.1596   290.5878    59.1057     11.000   219.0660    48.3691     12.629
  186.5944    -3.1412   290.6699    59.1326     11.000   219.0547    48.4079     12.625
  186.6410    -3.1228   290.7521    59.1595     11.000   219.0434    48.4467     12.621
  186.6875    -3.1043   290.8345    59.1863     11.000   219.0320    48.4855     12.617
  186.7341    -3.0859   290.9169    59.2131     11.000   219.0205    48.5243     12.613
  186.7806    -3.0674   290.9995    59.2398     11.000   219.0090    48.5631     12.609
  186.8271    -3.0490   291.0823    59.2665     11.000   218.9975    48.6020     12.605
  186.8737    -3.0306   291.1651    59.2931     11.000   218.9859    48.6408     12.600
  186.9202    -3.0121   291.2481    59.3196     11.000   218.9742    48.6796     12.596
  186.9667    -2.9937   291.3312    59.3461     11.000   218.9625    48.7185     12.592
  187.0133    -2.9752   291.4145    59.3726     11.000   218.9508    48.7573     12.588
  187.0598    -2.9568   291.4979    59.3990     11.000   218.9390    48.7962     12.584
  187.1063    -2.9383   291.5814    59.4253     11.000   218.9271    48.8350     12.580
  187.1529    -2.9198   291.6650    59.4516     11.000   218.9152    48.8739     12.576
  187.1994    -2.9014   291.7488    59.4779     11.000   218.9032    48.9128     12.572
  187.2459    -2.8829   291.8327    59.5041     11.000   218.8911    48.9516     12.568
  187.2924    -2.8645   291.9167    59.5302     11.000   218.8791    48.9905     12.564
  187.3390    -2.8460   292.0009    59.5563     11.000   218.8669    49.0294     12.560
  187.3855    -2.8275   292.0852    59.5823     11.000   218.8547    49.0683     12.556
  187.4320    -2.8091   292.1696    59.6083     11.000   218.8425    49.1072     12.552
  187.4785    -2.7906   292.2541    59.6342     11.000   218.8302    49.1461     12.548
  187.5250    -2.7721   292.3388    59.6600     11.000   218.8178    49.1851     12.544
  187.5716    -2.7537   292.4236    59.6858     11.000   218.8054    49.2240     12.540
  187.6181    -2.7352   292.5086    59.7116     11.000   218.7929    49.2629     12.536
  187.6646    -2.7167   292.5937    59.7373     11.000   218.7804    49.3018     12.532
  187.7111    -2.6982   292.6789    59.7629     11.000   218.7678    49.3408     12.528
  187.7576    -2.6798   292.7642    59.7885     11.000   218.7552    49.3797     12.524
  187.8041    -2.6613   292.8497    59.8140     11.000   218.7425    49.4187     12.520
  187.8506    -2.6428   292.9353    59.8395     11.000   218.7297    49.4577     12.515
  187.8971    -2.6243   293.0210    59.8649     11.000   218.7169    49.4966     12.511
  187.9436    -2.6058   293.1069    59.8903     11.000   218.7040    49.5356     12.507
  187.9902    -2.5873   293.1929    59.9156     11.000   218.6911    49.5746     12.503
  188.0367    -2.5689   293.2790    59.9408     11.000   218.6781    49.6136     12.499
  188.0832    -2.5504   293.3652    59.9660     11.000   218.6651    49.6526     12.495
  188.1297    -2.5319   293.4516    59.9912     11.000   218.6520    49.6916     12.491
  188.1762    -2.5134   293.5382    60.0162     11.000   218.6388    49.7306     12.487
  188.2227    -2.4949   293.6248    60.0413     11.000   218.6256    49.7696     12.483
  188.2692    -2.4764   293.7116    60.0662     11.000   218.6123    49.8086     12.479
  188.3156    -2.4579   293.7985    60.0911     11.000   218.5990    49.8476     12.475
  188.3621    -2.4394   293.8856    60.1160     11.000   218.5856    49.8866     12.471
  188.4086    -2.4209   293.9727    60.1408     11.000   218.5722    49.9257     12.467
  188.4551    -2.4024   294.0600    60.1655     11.000   218.5587    49.9647     12.463
  188.5016    -2.3839   294.1475    60.1902     11.000   218.5451    50.0038     12.459
  188.5481    -2.3654   294.2351    60.2148     11.000   218.5315    50.0428     12.455
  188.5946    -2.3469   294.3228    60.2394     11.000   218.5178    50.0819     12.451
  188.6411    -2.3284   294.4106    60.2639     11.000   218.5040    50.1209     12.447
  188.6876    -2.3099   294.4986    60.2883     11.000   218.4902    50.1600     12.443
  188.7341    -2.2914   294.5867    60.3127     11.000   218.4764    50.1991     12.438
  188.7805    -2.2729   294.6749    60.3370     11.000   218.4624    50.2382     12.434
  188.8270    -2.2544   294.7633    60.3613     11.000   218.4484    50.2773     12.430
  188.8735    -2.2359   294.8518    60.3855     11.000   218.4344    50.3163     12.426
  188.9200    -2.2174   294.9404    60.4097     11.000   218.4203    50.3554     12.422
  188.9665    -2.1988   295.0291    60.4337     11.000   218.4061    50.3946     12.418
  189.0129    -2.1803   295.1180    60.4578     11.000   218.3919    50.4337     12.414
  189.0594    -2.1618   295.2070    60.4817     11.000   218.3776    50.4728     12.410
  189.1059    -2.1433   295.2962    60.5057     11.000   218.3632    50.5119     12.406
  189.1524    -2.1248   295.3855    60.5295     11.000   218.3488    50.5510     12.402
  189.1988    -2.1063   295.4749    60.5533     11.000   218.3343    50.5902     12.398
  189.2453    -2.0877   295.5645    60.5770     11.000   218.3198    50.6293     12.394
  189.2918    -2.0692   295.6541    60.6007     11.000   218.3052    50.6685     12.390
  189.3383    -2.0507   295.7439    60.6243     11.000   218.2905    50.7076     12.386
  189.3847    -2.0322   295.8339    60.6479     11.000   218.2758    50.7468     12.382
  189.4312    -2.0136   295.9240    60.6714     11.000   218.2610    50.7859     12.378
  189.4777    -1.9951   296.0142    60.6948     11.000   218.2461    50.8251     12.374
  189.5241    -1.9766   296.1045    60.7182     11.000   218.2312    50.8643     12.370
  189.5706    -1.9581   296.1950    60.7415     11.000   218.2162    50.9034     12.365
  189.6171    -1.9395   296.2856    60.7647     11.000   218.2012    50.9426     12.361
  189.6635    -1.9210   296.3763    60.7879     11.000   218.1861    50.9818     12.357
  189.7100    -1.9025   296.4672    60.8110     11.000   218.1709    51.0210     12.353
  189.7565    -1.8839   296.5582    60.8341     11.000   218.1556    51.0602     12.349
  189.8029    -1.8654   296.6493    60.8571     11.000   218.1403    51.0994     12.345
