#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
   10.4957   -37.1153   313.6518   -79.8154     50.100   249.5896   -82.1038     49.783
   10.5444   -37.1467   313.4005   -79.7926     50.100   249.5942   -82.0536     49.785
   10.5932   -37.1782   313.1503   -79.7695     50.100   249.5988   -82.0034     49.788
   10.6420   -37.2096   312.9012   -79.7463     50.100   249.6032   -81.9531     49.790
   10.6908   -37.2410   312.6533   -79.7229     50.100   249.6075   -81.9029     49.793
   10.7397   -37.2724   312.4065   -79.6993     50.100   249.6117   -81.8527     49.795
   10.7887   -37.3038   312.1607   -79.6756     50.100   249.6159   -81.8025     49.798
   10.8376   -37.3352   311.9162   -79.6516     50.100   249.6199   -81.7523     49.800
   10.8866   -37.3665   311.6727   -79.6275     50.100   249.6238   -81.7020     49.803
   10.9357   -37.3978   311.4304   -79.6032     50.100   249.6277   -81.6518     49.805
   10.9848   -37.4291   311.1891   -79.5786     50.100   249.6314   -81.6016     49.808
   11.0339   -37.4604   310.9490   -79.5540     50.100   249.6351   -81.5514     49.810
   11.0831   -37.4916   310.7101   -79.5291     50.100   249.6387   -81.5012     49.813
   11.1323   -37.5229   310.4722   -79.5041     50.100   249.6421   -81.4510     49.815
   11.1816   -37.5541   310.2355   -79.4788     50.100   249.6455   -81.4008     49.818
   11.2309   -37.5853   309.9999   -79.4534     50.100   249.6488   -81.3506     49.820
   11.2802   -37.6164   309.7654   -79.4279     50.100   249.6521   -81.3004     49.823
   11.3296   -37.6476   309.5321   -79.4021     50.100   249.6552   -81.2502     49.825
   11.3791   -37.6787   309.2998   -79.3762     50.100   249.6583   -81.2000     49.828
   11.4285   -37.7098   309.0687   -79.3501     50.100   249.6613   -81.1499     49.830
   11.4780   -37.7409   308.8388   -79.3239     50.100   249.6642   -81.0997     49.833
   11.5276   -37.7720   308.6099   -79.2975     50.100   249.6670   -81.0495     49.835
   11.5772   -37.8030   308.3821   -79.2709     50.100   249.6698   -80.9993     49.838
   11.6268   -37.8340   308.1555   -79.2441     50.100   249.6725   -80.9491     49.840
   11.6765   -37.8651   307.9300   -79.2172     50.100   249.6751   -80.8990     49.843
   11.7262   -37.8960   307.7056   -79.1902     50.100   249.6776   -80.8488     49.845
   11.7760   -37.9270   307.4823   -79.1629     50.100   249.6801   -80.7986     49.848
   11.8258   -37.9579   307.2601   -79.1355     50.100   249.6825   -80.7485     49.850
   11.8756   -37.9889   307.0390   -79.1080     50.100   249.6848   -80.6983     49.853
   11.9255   -38.0198   306.8191   -79.0803     50.100   249.6871   -80.6481     49.855
   11.9754   -38.0507   306.6002   -79.0524     50.100   249.6893   -80.5980     49.858
   12.0254   -38.0815   306.3824   -79.0244     50.100   249.6914   -80.5478     49.861
   12.0754   -38.1124   306.1658   -78.9962     50.100   249.6935   -80.4977     49.863
   12.1254   -38.1432   305.9502   -78.9679     50.100   249.6955   -80.4475     49.866
   12.1755   -38.1740   305.7357   -78.9394     50.100   249.6975   -80.3974     49.868
   12.2257   -38.2047   305.5223   -78.9108     50.100   249.6994   -80.3472     49.871
   12.2758   -38.2355   305.3100   -78.8820     50.100   249.7012   -80.2971     49.873
   12.3261   -38.2662   305.0988   -78.8530     50.100   249.7030   -80.2469     49.876
   12.3763   -38.2969   304.8887   -78.8240     50.100   249.7047   -80.1968     49.878
   12.4266   -38.3276   304.6797   -78.7947     50.100   249.7063   -80.1467     49.881
   12.4770   -38.3583   304.4717   -78.7654     50.100   249.7079   -80.0965     49.883
   12.5274   -38.3890   304.2648   -78.7359     50.100   249.7095   -80.0464     49.886
   12.5778   -38.4196   304.0590   -78.7062     50.100   249.7110   -79.9963     49.888
   12.6283   -38.4502   303.8542   -78.6764     50.100   249.7124   -79.9462     49.891
   12.6788   -38.4808   303.6505   -78.6465     50.100   249.7138   -79.8960     49.893
   12.7293   -38.5113   303.4479   -78.6164     50.100   249.7151   -79.8459     49.896
   12.7800   -38.5419   303.2463   -78.5862     50.100   249.7164   -79.7958     49.898
   12.8306   -38.5724   303.0458   -78.5558     50.100   249.7176   -79.7457     49.901
   12.8813   -38.6029   302.8463   -78.5253     50.100   249.7188   -79.6956     49.904
   12.9320   -38.6334   302.6479   -78.4947     50.100   249.7199   -79.6455     49.906
   12.9828   -38.6638   302.4505   -78.4640     50.100   249.7210   -79.5953     49.909
   13.0336   -38.6943   302.2542   -78.4331     50.100   249.7221   -79.5452     49.911
   13.0845   -38.7247   302.0589   -78.4021     50.100   249.7230   -79.4951     49.914
   13.1354   -38.7551   301.8646   -78.3709     50.100   249.7240   -79.4450     49.916
   13.1863   -38.7854   301.6713   -78.3396     50.100   249.7249   -79.3949     49.919
   13.2373   -38.8158   301.4791   -78.3082     50.100   249.7257   -79.3448     49.921
   13.2883   -38.8461   301.2879   -78.2767     50.100   249.7265   -79.2948     49.924
   13.3394   -38.8764   301.0977   -78.2450     50.100   249.7273   -79.2447     49.926
   13.3905   -38.9067   300.9085   -78.2132     50.100   249.7280   -79.1946     49.929
   13.4417   -38.9369   300.7203   -78.1813     50.100   249.7287   -79.1445     49.931
   13.4929   -38.9672   300.5331   -78.1493     50.100   249.7293   -79.0944     49.934
   13.5442   -38.9974   300.3470   -78.1171     50.100   249.7299   -79.0443     49.937
   13.5955   -39.0276   300.1618   -78.0849     50.100   249.7305   -78.9943     49.939
   13.6468   -39.0577   299.9776   -78.0525     50.100   249.7310   -78.9442     49.942
   13.6982   -39.0879   299.7943   -78.0199     50.100   249.7315   -78.8941     49.944
   13.7496   -39.1180   299.6121   -77.9873     50.100   249.7319   -78.8440     49.947
   13.8011   -39.1481   299.4308   -77.9545     50.100   249.7323   -78.7940     49.949
   13.8526   -39.1782   299.2506   -77.9217     50.100   249.7327   -78.7439     49.952
   13.9042   -39.2082   299.0712   -77.8887     50.100   249.7330   -78.6938     49.954
