#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
   70.1378    -2.4311   199.0000   -30.0000      3.380   184.8344    -8.5001     11.434
   70.1882    -2.4922   199.0903   -29.9871      3.380   184.8576    -8.4974     11.433
   70.2387    -2.5535   199.1806   -29.9742      3.380   184.8807    -8.4947     11.432
   70.2891    -2.6147   199.2709   -29.9613      3.380   184.9038    -8.4920     11.431
   70.3394    -2.6760   199.3612   -29.9484      3.380   184.9270    -8.4893     11.430
   70.3898    -2.7373   199.4515   -29.9355      3.380   184.9501    -8.4866     11.429
   70.4401    -2.7987   199.5418   -29.9226      3.380   184.9732    -8.4839     11.428
   70.4904    -2.8601   199.6321   -29.9096      3.380   184.9964    -8.4812     11.427
   70.5407    -2.9215   199.7224   -29.8966      3.380   185.0195    -8.4785     11.427
   70.5909    -2.9830   199.8127   -29.8836      3.380   185.0426    -8.4758     11.426
   70.6412    -3.0445   199.9030   -29.8706      3.380   185.0658    -8.4731     11.425
   70.6914    -3.1061   199.9933   -29.8575      3.380   185.0889    -8.4704     11.424
   70.7416    -3.1676   200.0836   -29.8444      3.380   185.1121    -8.4677     11.423
   70.7918    -3.2292   200.1739   -29.8313      3.380   185.1352    -8.4650     11.422
   70.8421    -3.2908   200.2642   -29.8181      3.380   185.1583    -8.4622     11.421
   70.8923    -3.3525   200.3545   -29.8049      3.380   185.1815    -8.4595     11.420
   70.9425    -3.4141   200.4448   -29.7917      3.380   185.2046    -8.4567     11.419
   70.9927    -3.4758   200.5351   -29.7784      3.380   185.2278    -8.4540     11.418
   71.0430    -3.5375   200.6254   -29.7650      3.380   185.2509    -8.4512     11.417
   71.0932    -3.5993   200.7157   -29.7516      3.380   185.2741    -8.4484     11.416
   71.1435    -3.6610   200.8060   -29.7381      3.380   185.2972    -8.4456     11.415
   71.1938    -3.7228   200.8963   -29.7246      3.380   185.3204    -8.4428     11.415
   71.2441    -3.7845   200.9866   -29.7110      3.380   185.3435    -8.4400     11.414
   71.2944    -3.8463   201.0769   -29.6973      3.380   185.3667    -8.4372     11.413
   71.3447    -3.9081   201.1672   -29.6836      3.380   185.3899    -8.4343     11.412
   71.3951    -3.9699   201.2575   -29.6697      3.380   185.4130    -8.4314     11.411
   71.4455    -4.0317   201.3478   -29.6558      3.380   185.4362    -8.4285     11.410
   71.4960    -4.0936   201.4381   -29.6419      3.380   185.4594    -8.4256     11.409
   71.5465    -4.1554   201.5284   -29.6278      3.380   185.4825    -8.4227     11.408
   71.5970    -4.2172   201.6187   -29.6137      3.380   185.5057    -8.4197     11.407
   71.6476    -4.2791   201.7090   -29.5994      3.380   185.5289    -8.4168     11.406
   71.6982    -4.3409   201.7993   -29.5851      3.380   185.5521    -8.4138     11.405
   71.7489    -4.4027   201.8896   -29.5707      3.380   185.5752    -8.4107     11.404
   71.7996    -4.4645   201.9799   -29.5562      3.380   185.5984    -8.4077     11.403
   71.8503    -4.5264   202.0702   -29.5416      3.380   185.6216    -8.4046     11.402
   71.9012    -4.5882   202.1605   -29.5268      3.380   185.6448    -8.4015     11.401
   71.9521    -4.6500   202.2508   -29.5120      3.380   185.6680    -8.3984     11.400
   72.0030    -4.7118   202.3411   -29.4970      3.380   185.6912    -8.3953     11.399
   72.0541    -4.7736   202.4314   -29.4820      3.380   185.7144    -8.3921     11.398
   72.1052    -4.8354   202.5217   -29.4668      3.380   185.7376    -8.3889     11.397
   72.1563    -4.8972   202.6120   -29.4515      3.380   185.7608    -8.3857     11.396
   72.2076    -4.9590   202.7023   -29.4361      3.380   185.7841    -8.3824     11.395
   72.2589    -5.0207   202.7926   -29.4205      3.380   185.8073    -8.3791     11.394
   72.3103    -5.0824   202.8829   -29.4049      3.380   185.8305    -8.3758     11.393
   72.3618    -5.1442   202.9732   -29.3891      3.380   185.8538    -8.3724     11.392
   72.4134    -5.2059   203.0635   -29.3731      3.380   185.8770    -8.3690     11.391
   72.4650    -5.2675   203.1538   -29.3570      3.380   185.9002    -8.3656     11.390
   72.5168    -5.3292   203.2441   -29.3408      3.380   185.9235    -8.3621     11.388
   72.5687    -5.3908   203.3344   -29.3244      3.380   185.9468    -8.3586     11.387
   72.6206    -5.4525   203.4247   -29.3079      3.380   185.9700    -8.3550     11.386
   72.6727    -5.5141   203.5151   -29.2912      3.380   185.9933    -8.3515     11.385
   72.7249    -5.5756   203.6054   -29.2744      3.380   186.0166    -8.3478     11.384
   72.7771    -5.6372   203.6957   -29.2574      3.380   186.0399    -8.3442     11.383
   72.8295    -5.6987   203.7860   -29.2403      3.380   186.0631    -8.3405     11.382
   72.8820    -5.7601   203.8763   -29.2230      3.380   186.0864    -8.3367     11.381
   72.9347    -5.8216   203.9666   -29.2055      3.380   186.1098    -8.3329     11.380
   72.9874    -5.8830   204.0569   -29.1879      3.380   186.1331    -8.3291     11.379
   73.0403    -5.9444   204.1472   -29.1701      3.380   186.1564    -8.3252     11.378
   73.0933    -6.0057   204.2375   -29.1521      3.380   186.1797    -8.3213     11.377
   73.1464    -6.0671   204.3278   -29.1339      3.380   186.2030    -8.3173     11.376
   73.1996    -6.1283   204.4181   -29.1155      3.380   186.2264    -8.3133     11.375
   73.2530    -6.1896   204.5084   -29.0970      3.380   186.2497    -8.3092     11.374
   73.3066    -6.2508   204.5987   -29.0783      3.380   186.2731    -8.3051     11.373
   73.3603    -6.3119   204.6890   -29.0594      3.380   186.2965    -8.3009     11.371
   73.4141    -6.3730   204.7793   -29.0402      3.380   186.3199    -8.2967     11.370
   73.4681    -6.4341   204.8696   -29.0209      3.380   186.3432    -8.2924     11.369
   73.5222    -6.4952   204.9599   -29.0014      3.380   186.3666    -8.2881     11.368
   73.5765    -6.5561   205.0502   -28.9817      3.380   186.3900    -8.2837     11.367
   73.6309    -6.6171   205.1405   -28.9618      3.380   186.4135    -8.2793     11.366
   73.6855    -6.6780   205.2308   -28.9417      3.380   186.4369    -8.2748     11.365
   73.7403    -6.7388   205.3211   -28.9213      3.380   186.4603    -8.2702     11.364
   73.7952    -6.7996   205.4114   -28.9008      3.380   186.4838    -8.2656     11.363
   73.8503    -6.8603   205.5017   -28.8800      3.380   186.5072    -8.2610     11.362
   73.9056    -6.9210   205.5920   -28.8590      3.380   186.5307    -8.2562     11.361
   73.9610    -6.9817   205.6823   -28.8377      3.380   186.5542    -8.2515     11.359
   74.0167    -7.0422   205.7726   -28.8163      3.380   186.5777    -8.2466     11.358
   74.0725    -7.1028   205.8629   -28.7946      3.380   186.6012    -8.2417     11.357
   74.1285    -7.1632   205.9532   -28.7727      3.380   186.6247    -8.2367     11.356
   74.1847    -7.2236   206.0435   -28.7505      3.380   186.6482    -8.2317     11.355
   74.2411    -7.2840   206.1338   -28.7281      3.380   186.6717    -8.2266     11.354
   74.2977    -7.3443   206.2241   -28.7055      3.380   186.6953    -8.2214     11.353
   74.3544    -7.4045   206.3144   -28.6826      3.380   186.7189    -8.2162     11.352
   74.4114    -7.4647   206.4047   -28.6594      3.380   186.7424    -8.2109     11.351
   74.4686    -7.5248   206.4950   -28.6361      3.380   186.7660    -8.2056     11.349
   74.5260    -7.5848   206.5853   -28.6124      3.380   186.7896    -8.2001     11.348
   74.5836    -7.6448   206.6756   -28.5885      3.380   186.8132    -8.1946     11.347
   74.6414    -7.7047   206.7659   -28.5643      3.380   186.8368    -8.1890     11.346
   74.6995    -7.7645   206.8562   -28.5399      3.380   186.8605    -8.1834     11.345
   74.7577    -7.8243   206.9465   -28.5152      3.380   186.8841    -8.1777     11.344
   74.8162    -7.8840   207.0368   -28.4902      3.380   186.9078    -8.1719     11.343
   74.8750    -7.9436   207.1271   -28.4650      3.380   186.9315    -8.1660     11.342
   74.9339    -8.0032   207.2174   -28.4394      3.380   186.9552    -8.1601     11.340
   74.9931    -8.0627   207.3077   -28.4136      3.380   186.9789    -8.1541     11.339
   75.0525    -8.1221   207.3980   -28.3875      3.380   187.0026    -8.1480     11.338
   75.1122    -8.1814   207.4883   -28.3611      3.380   187.0264    -8.1418     11.337
   75.1721    -8.2407   207.5786   -28.3345      3.380   187.0501    -8.1355     11.336
   75.2322    -8.2999   207.6689   -28.3075      3.380   187.0739    -8.1292     11.335
   75.2926    -8.3590   207.7592   -28.2802      3.380   187.0977    -8.1228     11.334
   75.3533    -8.4180   207.8495   -28.2527      3.380   187.1215    -8.1163     11.333
   75.4142    -8.4769   207.9398   -28.2248      3.380   187.1453    -8.1097     11.331
   75.4754    -8.5358   208.0301   -28.1966      3.380   187.1691    -8.1030     11.330
   75.5368    -8.5946   208.1204   -28.1682      3.380   187.1930    -8.0963     11.329
   75.5985    -8.6533   208.2107   -28.1394      3.380   187.2169    -8.0895     11.328
   75.6605    -8.7119   208.3010   -28.1103      3.380   187.2408    -8.0825     11.327
   75.7228    -8.7704   208.3913   -28.0808      3.380   187.2647    -8.0755     11.326
   75.7853    -8.8289   208.4816   -28.0511      3.380   187.2886    -8.0684     11.325
   75.8481    -8.8872   208.5719   -28.0210      3.380   187.3125    -8.0612     11.323
   75.9112    -8.9455   208.6622   -27.9906      3.380   187.3365    -8.0540     11.322
   75.9746    -9.0037   208.7525   -27.9599      3.380   187.3605    -8.0466     11.321
   76.0382    -9.0617   208.8428   -27.9289      3.380   187.3844    -8.0391     11.320
   76.1022    -9.1197   208.9331   -27.8975      3.380   187.4085    -8.0316     11.319
   76.1665    -9.1776   209.0234   -27.8657      3.380   187.4325    -8.0239     11.318
   76.2310    -9.2355   209.1137   -27.8337      3.380   187.4565    -8.0162     11.317
   76.2959    -9.2932   209.2040   -27.8012      3.380   187.4806    -8.0084     11.316
   76.3611    -9.3508   209.2943   -27.7685      3.380   187.5047    -8.0004     11.314
   76.4266    -9.4083   209.3846   -27.7353      3.380   187.5288    -7.9924     11.313
   76.4924    -9.4657   209.4749   -27.7019      3.380   187.5529    -7.9843     11.312
   76.5585    -9.5231   209.5652   -27.6680      3.380   187.5771    -7.9760     11.311
   76.6249    -9.5803   209.6555   -27.6338      3.380   187.6013    -7.9677     11.310
   76.6917    -9.6374   209.7458   -27.5993      3.380   187.6255    -7.9593     11.309
   76.7588    -9.6945   209.8361   -27.5643      3.380   187.6497    -7.9507     11.308
   76.8262    -9.7514   209.9264   -27.5290      3.380   187.6739    -7.9421     11.306
   76.8939    -9.8082   210.0167   -27.4934      3.380   187.6982    -7.9333     11.305
   76.9620    -9.8649   210.1070   -27.4573      3.380   187.7224    -7.9245     11.304
   77.0304    -9.9216   210.1973   -27.4209      3.380   187.7467    -7.9155     11.303
   77.0992    -9.9781   210.2876   -27.3841      3.380   187.7711    -7.9065     11.302
   77.1682   -10.0345   210.3779   -27.3470      3.380   187.7954    -7.8973     11.301
   77.2376   -10.0909   210.4682   -27.3095      3.380   187.8198    -7.8881     11.300
   77.3073   -10.1471   210.5585   -27.2717      3.380   187.8441    -7.8787     11.298
   77.3773   -10.2033   210.6488   -27.2335      3.380   187.8685    -7.8693     11.297
   77.4476   -10.2593   210.7391   -27.1950      3.380   187.8930    -7.8597     11.296
   77.5182   -10.3153   210.8294   -27.1561      3.380   187.9174    -7.8501     11.295
   77.5892   -10.3713   210.9197   -27.1169      3.380   187.9419    -7.8404     11.294
   77.6603   -10.4271   211.0100   -27.0775      3.380   187.9663    -7.8306     11.293
   77.7318   -10.4829   211.1003   -27.0377      3.380   187.9908    -7.8207     11.292
   77.8036   -10.5386   211.1906   -26.9975      3.380   188.0154    -7.8107     11.290
   77.8756   -10.5942   211.2809   -26.9571      3.380   188.0399    -7.8006     11.289
   77.9479   -10.6498   211.3712   -26.9164      3.380   188.0644    -7.7904     11.288
   78.0205   -10.7053   211.4615   -26.8754      3.380   188.0890    -7.7802     11.287
   78.0933   -10.7607   211.5518   -26.8341      3.380   188.1136    -7.7699     11.286
   78.1664   -10.8161   211.6421   -26.7926      3.380   188.1382    -7.7595     11.285
   78.2398   -10.8714   211.7324   -26.7507      3.380   188.1628    -7.7490     11.283
   78.3134   -10.9267   211.8227   -26.7086      3.380   188.1875    -7.7384     11.282
   78.3872   -10.9819   211.9130   -26.6663      3.380   188.2121    -7.7278     11.281
   78.4613   -11.0371   212.0033   -26.6236      3.380   188.2368    -7.7171     11.280
   78.5356   -11.0922   212.0936   -26.5808      3.380   188.2615    -7.7063     11.279
   78.6101   -11.1473   212.1839   -26.5376      3.380   188.2862    -7.6954     11.277
   78.6849   -11.2023   212.2742   -26.4943      3.380   188.3109    -7.6845     11.276
   78.7599   -11.2573   212.3645   -26.4507      3.380   188.3356    -7.6735     11.275
   78.8351   -11.3123   212.4548   -26.4069      3.380   188.3603    -7.6625     11.274
   78.9105   -11.3673   212.5452   -26.3628      3.380   188.3851    -7.6513     11.273
   78.9861   -11.4222   212.6355   -26.3185      3.380   188.4099    -7.6402     11.272
   79.0619   -11.4770   212.7258   -26.2740      3.380   188.4346    -7.6289     11.270
   79.1379   -11.5319   212.8161   -26.2294      3.380   188.4594    -7.6176     11.269
   79.2141   -11.5867   212.9064   -26.1845      3.380   188.4842    -7.6063     11.268
   79.2905   -11.6415   212.9967   -26.1394      3.380   188.5091    -7.5948     11.267
   79.3670   -11.6963   213.0870   -26.0941      3.380   188.5339    -7.5834     11.265
   79.4438   -11.7511   213.1773   -26.0486      3.380   188.5587    -7.5718     11.264
   79.5207   -11.8059   213.2676   -26.0030      3.380   188.5836    -7.5603     11.263
   79.5978   -11.8606   213.3579   -25.9572      3.380   188.6085    -7.5486     11.262
   79.6750   -11.9154   213.4482   -25.9112      3.380   188.6333    -7.5369     11.260
   79.7524   -11.9701   213.5385   -25.8651      3.380   188.6582    -7.5252     11.259
   79.8299   -12.0248   213.6288   -25.8188      3.380   188.6831    -7.5134     11.258
   79.9076   -12.0795   213.7191   -25.7723      3.380   188.7080    -7.5016     11.257
   79.9855   -12.1343   213.8094   -25.7257      3.380   188.7329    -7.4897     11.255
   80.0634   -12.1890   213.8997   -25.6790      3.380   188.7578    -7.4778     11.254
   80.1415   -12.2437   213.9900   -25.6321      3.380   188.7828    -7.4659     11.253
   80.2198   -12.2984   214.0803   -25.5851      3.380   188.8077    -7.4539     11.252
   80.2981   -12.3532   214.1706   -25.5380      3.380   188.8327    -7.4419     11.250
   80.3766   -12.4079   214.2609   -25.4908      3.380   188.8576    -7.4298     11.249
   80.4552   -12.4627   214.3512   -25.4434      3.380   188.8826    -7.4177     11.248
   80.5339   -12.5175   214.4415   -25.3960      3.380   188.9075    -7.4056     11.246
   80.6127   -12.5723   214.5318   -25.3484      3.380   188.9325    -7.3935     11.245
   80.6916   -12.6271   214.6221   -25.3008      3.380   188.9575    -7.3813     11.244
   80.7705   -12.6819   214.7124   -25.2531      3.380   188.9825    -7.3691     11.242
   80.8496   -12.7368   214.8027   -25.2052      3.380   189.0075    -7.3568     11.241
   80.9288   -12.7917   214.8930   -25.1573      3.380   189.0325    -7.3446     11.240
   81.0080   -12.8466   214.9833   -25.1094      3.380   189.0575    -7.3323     11.238
   81.0873   -12.9015   215.0736   -25.0613      3.380   189.0825    -7.3200     11.237
   81.1667   -12.9565   215.1639   -25.0132      3.380   189.1075    -7.3076     11.236
   81.2461   -13.0115   215.2542   -24.9651      3.380   189.1325    -7.2953     11.234
   81.3256   -13.0666   215.3445   -24.9169      3.380   189.1575    -7.2829     11.233
   81.4052   -13.1217   215.4348   -24.8686      3.380   189.1825    -7.2706     11.232
   81.4848   -13.1768   215.5251   -24.8204      3.380   189.2075    -7.2582     11.230
   81.5644   -13.2319   215.6154   -24.7720      3.380   189.2325    -7.2458     11.229
   81.6441   -13.2872   215.7057   -24.7237      3.380   189.2575    -7.2334     11.227
   81.7238   -13.3424   215.7960   -24.6753      3.380   189.2826    -7.2209     11.226
   81.8035   -13.3977   215.8863   -24.6269      3.380   189.3076    -7.2085     11.225
   81.8833   -13.4531   215.9766   -24.5786      3.380   189.3326    -7.1961     11.223
   81.9630   -13.5085   216.0669   -24.5302      3.380   189.3576    -7.1836     11.222
