#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  245.4000     5.0000    18.8265    35.3783     18.500    40.1175    54.8054     13.107
  245.5000     5.2000    19.1001    35.3916     18.500    40.6320    54.7287     13.124
  245.5000     5.5000    19.4200    35.5403     18.500    41.3007    54.8083     13.159
  245.6000     5.7000    19.6942    35.5523     18.500    41.8108    54.7278     13.176
  245.6000     5.9000    19.9085    35.6505     18.500    42.2554    54.7775     13.199
  245.6000     6.1000    20.1233    35.7483     18.500    42.7001    54.8258     13.223
  245.7000     6.4000    20.5060    35.8074     18.500    43.4265    54.7637     13.252
  245.7000     6.6000    20.7219    35.9042     18.500    43.8698    54.8082     13.275
  245.7000     6.8000    20.9384    36.0006     18.500    44.3130    54.8512     13.299
  245.7000     7.0000    21.1554    36.0966     18.500    44.7560    54.8926     13.323
  245.7000     7.3000    21.4819    36.2398     18.500    45.4203    54.9521     13.359
  245.7000     7.5000    21.7002    36.3348     18.500    45.8630    54.9898     13.383
  245.7000     7.7000    21.9191    36.4295     18.500    46.3054    55.0261     13.407
  245.7000     7.9000    22.1385    36.5237     18.500    46.7475    55.0608     13.431
  245.7000     8.2000    22.4686    36.6643     18.500    47.4103    55.1102     13.468
  245.7000     8.4000    22.6893    36.7575     18.500    47.8517    55.1413     13.492
  245.6000     8.6000    22.8533    36.9379     18.500    48.2476    55.3012     13.522
  245.6000     8.8000    23.0753    37.0303     18.500    48.6896    55.3292     13.547
  245.6000     9.1000    23.4094    37.1682     18.500    49.3518    55.3685     13.584
  245.5000     9.3000    23.5762    37.3475     18.500    49.7522    55.5225     13.614
  245.5000     9.5000    23.8003    37.4385     18.500    50.1939    55.5453     13.639
  245.4000     9.7000    23.9688    37.6170     18.500    50.5972    55.6957     13.670
  245.4000    10.0000    24.3072    37.7522     18.500    51.2601    55.7248     13.707
  245.4000    10.2000    24.5334    37.8418     18.500    51.7013    55.7424     13.732
  245.3000    10.4000    24.7048    38.0191     18.500    52.1086    55.8869     13.763
  245.2000    10.7000    24.9912    38.2402     18.500    52.7390    56.0362     13.806
  245.2000    10.9000    25.2199    38.3284     18.500    53.1805    56.0485     13.831
  245.1000    11.1000    25.3943    38.5044     18.500    53.5928    56.1868     13.862
  245.1000    11.3000    25.6244    38.5917     18.500    54.0343    56.1960     13.887
  245.0000    11.6000    25.9162    38.8101     18.500    54.6698    56.3341     13.931
  244.9000    11.8000    26.0938    38.9847     18.500    55.0868    56.4662     13.963
  244.9000    12.0000    26.3264    39.0706     18.500    55.5281    56.4701     13.988
  244.8000    12.2000    26.5058    39.2443     18.500    55.9475    56.5986     14.019
  244.8000    12.5000    26.8570    39.3715     18.500    56.6083    56.5995     14.057
  244.7000    12.7000    27.0387    39.5443     18.500    57.0301    56.7236     14.089
  244.6000    12.9000    27.2214    39.7166     18.500    57.4537    56.8459     14.120
  244.5000    13.1000    27.4052    39.8886     18.500    57.8790    56.9662     14.152
  244.5000    13.4000    27.7614    40.0127     18.500    58.5390    56.9567     14.190
  244.4000    13.6000    27.9476    40.1835     18.500    58.9664    57.0726     14.221
  244.3000    13.8000    28.1348    40.3539     18.500    59.3955    57.1866     14.253
  244.3000    14.0000    28.3748    40.4352     18.500    59.8344    57.1754     14.279
  244.2000    14.3000    28.6846    40.6449     18.500    60.4843    57.2789     14.323
  244.1000    14.5000    28.8753    40.8137     18.500    60.9168    57.3865     14.355
  244.0000    14.7000    29.0671    40.9820     18.500    61.3507    57.4922     14.387
  244.0000    14.9000    29.3106    41.0610     18.500    61.7879    57.4742     14.413
  243.9000    15.2000    29.6269    41.2675     18.500    62.4414    57.5661     14.457
  243.8000    15.4000    29.8224    41.4342     18.500    62.8782    57.6654     14.489
  243.7000    15.6000    30.0190    41.6003     18.500    63.3163    57.7627     14.521
  243.7000    15.9000    30.3899    41.7153     18.500    63.9679    57.7253     14.560
  243.6000    16.1000    30.5891    41.8802     18.500    64.4071    57.8182     14.592
  243.5000    16.3000    30.7894    42.0446     18.500    64.8474    57.9092     14.624
  243.4000    16.5000    30.9910    42.2085     18.500    65.2890    57.9982     14.656
  243.4000    16.8000    31.3674    42.3199     18.500    65.9359    57.9510     14.695
  243.3000    17.0000    31.5715    42.4824     18.500    66.3780    58.0356     14.727
  243.2000    17.2000    31.7769    42.6445     18.500    66.8212    58.1182     14.759
  243.2000    17.4000    32.0305    42.7170     18.500    67.2495    58.0822     14.785
  243.1000    17.7000    32.3655    42.9136     18.500    67.9065    58.1420     14.831
  243.0000    17.9000    32.5749    43.0737     18.500    68.3509    58.2184     14.863
  243.0000    18.1000    32.8312    43.1442     18.500    68.7755    58.1775     14.889
  242.9000    18.3000    33.0428    43.3032     18.500    69.2201    58.2503     14.921
  242.8000    18.6000    33.3850    43.4960     18.500    69.8764    58.2988     14.967
  242.8000    18.8000    33.6441    43.5645     18.500    70.2968    58.2532     14.993
  242.7000    19.0000    33.8597    43.7214     18.500    70.7418    58.3198     15.025
  242.6000    19.2000    34.0766    43.8776     18.500    71.1875    58.3844     15.057
  242.6000    19.5000    34.4694    43.9775     18.500    71.8122    58.3096     15.097
  242.5000    19.7000    34.6891    44.1322     18.500    72.2571    58.3700     15.129
  242.5000    19.9000    34.9527    44.1974     18.500    72.6702    58.3173     15.156
  242.4000    20.2000    35.3072    44.3830     18.500    73.3199    58.3468     15.201
  242.4000    20.4000    35.5726    44.4466     18.500    73.7290    58.2911     15.228
  242.3000    20.6000    35.7974    44.5985     18.500    74.1723    58.3440     15.260
  242.3000    20.8000    36.0645    44.6609     18.500    74.5783    58.2858     15.286
  242.2000    21.1000    36.4259    44.8422     18.500    75.2225    58.3052     15.332
  242.2000    21.3000    36.6947    44.9030     18.500    75.6243    58.2442     15.358
  242.1000    21.5000    36.9248    45.0519     18.500    76.0652    58.2897     15.391
  242.1000    21.7000    37.1952    45.1114     18.500    76.4638    58.2263     15.417
  242.0000    22.0000    37.5636    45.2882     18.500    77.1014    58.2357     15.463
