#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  323.1889   -50.9622   346.4632   -45.8032     16.600   315.4416   -72.0279     12.512
  323.2346   -51.0031   346.3966   -45.8218     16.600   315.2412   -72.0174     12.517
  323.2803   -51.0440   346.3300   -45.8403     16.600   315.0411   -72.0066     12.521
  323.3262   -51.0848   346.2633   -45.8588     16.600   314.8413   -71.9957     12.526
  323.3721   -51.1257   346.1965   -45.8772     16.600   314.6418   -71.9846     12.531
  323.4181   -51.1665   346.1297   -45.8956     16.600   314.4427   -71.9733     12.535
  323.4642   -51.2073   346.0629   -45.9140     16.600   314.2439   -71.9619     12.540
  323.5104   -51.2481   345.9960   -45.9323     16.600   314.0454   -71.9503     12.545
  323.5566   -51.2889   345.9291   -45.9506     16.600   313.8472   -71.9385     12.549
  323.6030   -51.3296   345.8622   -45.9689     16.600   313.6494   -71.9265     12.554
  323.6494   -51.3704   345.7952   -45.9871     16.600   313.4519   -71.9144     12.559
  323.6959   -51.4111   345.7281   -46.0053     16.600   313.2547   -71.9020     12.564
  323.7425   -51.4518   345.6610   -46.0234     16.600   313.0579   -71.8895     12.568
  323.7892   -51.4925   345.5939   -46.0415     16.600   312.8614   -71.8769     12.573
  323.8359   -51.5331   345.5267   -46.0595     16.600   312.6653   -71.8641     12.578
  323.8827   -51.5738   345.4595   -46.0776     16.600   312.4695   -71.8511     12.583
  323.9297   -51.6144   345.3922   -46.0955     16.600   312.2741   -71.8379     12.587
  323.9767   -51.6550   345.3249   -46.1135     16.600   312.0790   -71.8245     12.592
  324.0237   -51.6956   345.2575   -46.1314     16.600   311.8843   -71.8110     12.597
  324.0709   -51.7362   345.1901   -46.1492     16.600   311.6899   -71.7974     12.602
  324.1182   -51.7767   345.1227   -46.1670     16.600   311.4959   -71.7835     12.606
  324.1655   -51.8172   345.0552   -46.1848     16.600   311.3022   -71.7695     12.611
  324.2129   -51.8577   344.9877   -46.2025     16.600   311.1090   -71.7553     12.616
  324.2604   -51.8982   344.9201   -46.2202     16.600   310.9161   -71.7410     12.621
  324.3080   -51.9387   344.8525   -46.2379     16.600   310.7235   -71.7265     12.626
  324.3557   -51.9792   344.7848   -46.2555     16.600   310.5313   -71.7118     12.630
  324.4035   -52.0196   344.7171   -46.2731     16.600   310.3395   -71.6970     12.635
  324.4513   -52.0600   344.6493   -46.2906     16.600   310.1481   -71.6820     12.640
  324.4992   -52.1004   344.5815   -46.3081     16.600   309.9571   -71.6669     12.645
  324.5473   -52.1408   344.5137   -46.3255     16.600   309.7664   -71.6516     12.649
  324.5954   -52.1812   344.4458   -46.3429     16.600   309.5761   -71.6361     12.654
  324.6436   -52.2215   344.3779   -46.3603     16.600   309.3862   -71.6205     12.659
  324.6919   -52.2618   344.3099   -46.3776     16.600   309.1967   -71.6047     12.664
  324.7402   -52.3021   344.2419   -46.3949     16.600   309.0076   -71.5887     12.669
  324.7887   -52.3424   344.1739   -46.4122     16.600   308.8188   -71.5726     12.674
  324.8372   -52.3827   344.1058   -46.4294     16.600   308.6305   -71.5564     12.678
  324.8859   -52.4229   344.0376   -46.4466     16.600   308.4425   -71.5399     12.683
  324.9346   -52.4631   343.9694   -46.4637     16.600   308.2550   -71.5234     12.688
  324.9834   -52.5033   343.9012   -46.4808     16.600   308.0678   -71.5066     12.693
  325.0323   -52.5435   343.8329   -46.4978     16.600   307.8811   -71.4897     12.698
  325.0813   -52.5837   343.7646   -46.5148     16.600   307.6947   -71.4727     12.703
  325.1304   -52.6238   343.6963   -46.5318     16.600   307.5087   -71.4555     12.707
  325.1795   -52.6639   343.6279   -46.5487     16.600   307.3232   -71.4382     12.712
  325.2288   -52.7040   343.5594   -46.5656     16.600   307.1380   -71.4207     12.717
  325.2781   -52.7441   343.4909   -46.5824     16.600   306.9533   -71.4030     12.722
  325.3276   -52.7842   343.4224   -46.5992     16.600   306.7689   -71.3853     12.727
  325.3771   -52.8242   343.3539   -46.6160     16.600   306.5850   -71.3673     12.732
  325.4267   -52.8643   343.2852   -46.6327     16.600   306.4015   -71.3492     12.737
  325.4765   -52.9043   343.2166   -46.6494     16.600   306.2183   -71.3310     12.741
  325.5263   -52.9442   343.1479   -46.6660     16.600   306.0356   -71.3126     12.746
  325.5761   -52.9842   343.0791   -46.6826     16.600   305.8534   -71.2941     12.751
  325.6261   -53.0241   343.0104   -46.6992     16.600   305.6715   -71.2754     12.756
  325.6762   -53.0640   342.9415   -46.7157     16.600   305.4900   -71.2566     12.761
  325.7264   -53.1039   342.8727   -46.7321     16.600   305.3090   -71.2376     12.766
  325.7767   -53.1438   342.8038   -46.7486     16.600   305.1284   -71.2185     12.771
  325.8270   -53.1837   342.7348   -46.7649     16.600   304.9482   -71.1992     12.776
  325.8775   -53.2235   342.6658   -46.7813     16.600   304.7684   -71.1798     12.780
  325.9280   -53.2633   342.5968   -46.7976     16.600   304.5890   -71.1603     12.785
  325.9786   -53.3031   342.5277   -46.8138     16.600   304.4101   -71.1406     12.790
  326.0294   -53.3429   342.4586   -46.8301     16.600   304.2316   -71.1208     12.795
  326.0802   -53.3826   342.3894   -46.8462     16.600   304.0535   -71.1009     12.800
  326.1311   -53.4224   342.3202   -46.8624     16.600   303.8759   -71.0808     12.805
  326.1821   -53.4621   342.2510   -46.8785     16.600   303.6986   -71.0605     12.810
  326.2332   -53.5017   342.1817   -46.8945     16.600   303.5218   -71.0402     12.815
  326.2845   -53.5414   342.1124   -46.9105     16.600   303.3455   -71.0196     12.820
