#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  359.1292   -52.4119   321.3390   -62.7093     13.200   225.0522   -65.5155     12.890
  359.2112   -52.4118   321.2421   -62.7323     13.200   225.0140   -65.4768     12.897
  359.2931   -52.4117   321.1451   -62.7552     13.200   224.9758   -65.4381     12.903
  359.3751   -52.4116   321.0480   -62.7781     13.200   224.9378   -65.3994     12.910
  359.4571   -52.4114   320.9507   -62.8009     13.200   224.8999   -65.3607     12.916
  359.5390   -52.4112   320.8532   -62.8236     13.200   224.8621   -65.3221     12.923
  359.6210   -52.4108   320.7556   -62.8463     13.200   224.8244   -65.2834     12.930
  359.7029   -52.4105   320.6578   -62.8689     13.200   224.7868   -65.2448     12.936
  359.7849   -52.4101   320.5599   -62.8914     13.200   224.7493   -65.2061     12.943
  359.8669   -52.4096   320.4618   -62.9138     13.200   224.7119   -65.1675     12.950
  359.9488   -52.4090   320.3636   -62.9362     13.200   224.6746   -65.1289     12.956
    0.0308   -52.4085   320.2653   -62.9586     13.200   224.6374   -65.0903     12.963
    0.1127   -52.4078   320.1667   -62.9808     13.200   224.6003   -65.0517     12.969
    0.1947   -52.4071   320.0681   -63.0030     13.200   224.5633   -65.0132     12.976
    0.2766   -52.4063   319.9692   -63.0251     13.200   224.5264   -64.9746     12.983
    0.3586   -52.4055   319.8703   -63.0472     13.200   224.4896   -64.9361     12.989
    0.4405   -52.4047   319.7712   -63.0691     13.200   224.4529   -64.8975     12.996
    0.5224   -52.4037   319.6719   -63.0910     13.200   224.4163   -64.8590     13.003
    0.6044   -52.4028   319.5725   -63.1129     13.200   224.3798   -64.8205     13.009
    0.6863   -52.4017   319.4729   -63.1346     13.200   224.3434   -64.7820     13.016
    0.7682   -52.4006   319.3732   -63.1563     13.200   224.3070   -64.7435     13.022
    0.8502   -52.3995   319.2733   -63.1780     13.200   224.2708   -64.7050     13.029
    0.9321   -52.3983   319.1733   -63.1995     13.200   224.2347   -64.6666     13.036
    1.0140   -52.3970   319.0731   -63.2210     13.200   224.1986   -64.6281     13.042
    1.0959   -52.3957   318.9728   -63.2424     13.200   224.1627   -64.5897     13.049
    1.1778   -52.3943   318.8724   -63.2638     13.200   224.1268   -64.5512     13.056
    1.2597   -52.3929   318.7718   -63.2850     13.200   224.0910   -64.5128     13.062
    1.3416   -52.3914   318.6710   -63.3062     13.200   224.0554   -64.4744     13.069
    1.4235   -52.3898   318.5701   -63.3273     13.200   224.0198   -64.4360     13.075
    1.5054   -52.3882   318.4690   -63.3484     13.200   223.9843   -64.3976     13.082
    1.5872   -52.3866   318.3678   -63.3694     13.200   223.9489   -64.3593     13.089
    1.6691   -52.3848   318.2665   -63.3903     13.200   223.9136   -64.3209     13.095
    1.7510   -52.3831   318.1650   -63.4111     13.200   223.8783   -64.2825     13.102
    1.8328   -52.3813   318.0633   -63.4319     13.200   223.8432   -64.2442     13.108
    1.9147   -52.3794   317.9615   -63.4526     13.200   223.8081   -64.2059     13.115
    1.9965   -52.3774   317.8596   -63.4732     13.200   223.7732   -64.1676     13.122
    2.0783   -52.3754   317.7575   -63.4938     13.200   223.7383   -64.1293     13.128
    2.1602   -52.3734   317.6552   -63.5142     13.200   223.7035   -64.0910     13.135
    2.2420   -52.3713   317.5528   -63.5346     13.200   223.6688   -64.0527     13.141
    2.3238   -52.3691   317.4503   -63.5550     13.200   223.6342   -64.0144     13.148
    2.4056   -52.3669   317.3476   -63.5752     13.200   223.5997   -63.9762     13.155
    2.4874   -52.3646   317.2448   -63.5954     13.200   223.5652   -63.9379     13.161
    2.5692   -52.3623   317.1418   -63.6155     13.200   223.5309   -63.8997     13.168
    2.6510   -52.3599   317.0387   -63.6355     13.200   223.4966   -63.8615     13.174
    2.7327   -52.3575   316.9355   -63.6555     13.200   223.4624   -63.8233     13.181
    2.8145   -52.3550   316.8320   -63.6754     13.200   223.4283   -63.7851     13.188
    2.8962   -52.3524   316.7285   -63.6952     13.200   223.3943   -63.7469     13.194
    2.9780   -52.3498   316.6248   -63.7149     13.200   223.3604   -63.7087     13.201
    3.0597   -52.3471   316.5209   -63.7346     13.200   223.3265   -63.6705     13.207
    3.1414   -52.3444   316.4170   -63.7542     13.200   223.2927   -63.6324     13.214
    3.2231   -52.3416   316.3128   -63.7737     13.200   223.2591   -63.5942     13.220
    3.3048   -52.3388   316.2085   -63.7931     13.200   223.2254   -63.5561     13.227
    3.3865   -52.3359   316.1041   -63.8125     13.200   223.1919   -63.5180     13.234
    3.4682   -52.3330   315.9996   -63.8318     13.200   223.1585   -63.4799     13.240
    3.5499   -52.3300   315.8948   -63.8510     13.200   223.1251   -63.4418     13.247
    3.6315   -52.3269   315.7900   -63.8701     13.200   223.0918   -63.4037     13.253
    3.7132   -52.3238   315.6850   -63.8891     13.200   223.0586   -63.3656     13.260
    3.7948   -52.3206   315.5799   -63.9081     13.200   223.0255   -63.3276     13.267
    3.8764   -52.3174   315.4746   -63.9270     13.200   222.9924   -63.2895     13.273
    3.9581   -52.3141   315.3692   -63.9458     13.200   222.9595   -63.2515     13.280
    4.0397   -52.3108   315.2636   -63.9646     13.200   222.9266   -63.2135     13.286
    4.1212   -52.3074   315.1579   -63.9832     13.200   222.8937   -63.1755     13.293
    4.2028   -52.3039   315.0520   -64.0018     13.200   222.8610   -63.1374     13.299
    4.2844   -52.3004   314.9461   -64.0204     13.200   222.8283   -63.0995     13.306
    4.3659   -52.2969   314.8399   -64.0388     13.200   222.7958   -63.0615     13.312
    4.4475   -52.2933   314.7337   -64.0571     13.200   222.7632   -63.0235     13.319
    4.5290   -52.2896   314.6273   -64.0754     13.200   222.7308   -62.9856     13.326
    4.6105   -52.2859   314.5207   -64.0936     13.200   222.6984   -62.9476     13.332
    4.6920   -52.2821   314.4140   -64.1118     13.200   222.6662   -62.9097     13.339
  320.8177   -45.6142   354.3591   -45.1357     13.200   309.9478   -82.7279      9.432
  320.8801   -45.6386   354.3184   -45.1766     13.200   309.4964   -82.7336      9.438
  320.9426   -45.6629   354.2776   -45.2175     13.200   309.0447   -82.7390      9.445
  321.0052   -45.6872   354.2367   -45.2584     13.200   308.5927   -82.7439      9.452
  321.0678   -45.7115   354.1958   -45.2993     13.200   308.1406   -82.7484      9.458
  321.1304   -45.7357   354.1549   -45.3402     13.200   307.6883   -82.7524      9.465
  321.1931   -45.7599   354.1138   -45.3810     13.200   307.2359   -82.7561      9.471
  321.2559   -45.7840   354.0727   -45.4218     13.200   306.7835   -82.7593      9.478
  321.3187   -45.8081   354.0316   -45.4627     13.200   306.3311   -82.7620      9.484
  321.3816   -45.8322   353.9904   -45.5035     13.200   305.8787   -82.7644      9.491
  321.4445   -45.8563   353.9491   -45.5443     13.200   305.4265   -82.7663      9.498
  321.5075   -45.8803   353.9078   -45.5850     13.200   304.9744   -82.7678      9.504
  321.5705   -45.9042   353.8664   -45.6258     13.200   304.5225   -82.7688      9.511
  321.6336   -45.9282   353.8249   -45.6665     13.200   304.0709   -82.7695      9.517
  321.6967   -45.9521   353.7834   -45.7073     13.200   303.6196   -82.7697      9.524
  321.7599   -45.9760   353.7418   -45.7480     13.200   303.1687   -82.7695      9.531
