#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
   19.0000   -23.9000   184.0607   -83.5881     20.000   180.8447   -61.6385     22.586
   19.1200   -23.9100   184.6430   -83.4995     20.000   180.9762   -61.5689     22.597
   19.2400   -23.9300   185.2853   -83.4154     20.000   181.1223   -61.5039     22.607
   19.3600   -23.9400   185.8374   -83.3255     20.000   181.2526   -61.4342     22.618
   19.4800   -23.9500   186.3754   -83.2352     20.000   181.3823   -61.3644     22.629
   19.6100   -23.9700   187.0102   -83.1411     20.000   181.5361   -61.2929     22.640
   19.7300   -23.9800   187.5200   -83.0497     20.000   181.6645   -61.2229     22.650
   19.8500   -24.0000   188.0892   -82.9624     20.000   181.8076   -61.1574     22.660
   19.9700   -24.0100   188.5736   -82.8699     20.000   181.9349   -61.0873     22.671
   20.0900   -24.0300   189.1170   -82.7816     20.000   182.0767   -61.0217     22.681
   20.2100   -24.0400   189.5775   -82.6882     20.000   182.2028   -60.9514     22.692
   20.3300   -24.0600   190.0968   -82.5988     20.000   182.3435   -60.8856     22.702
   20.4500   -24.0800   190.6042   -82.5089     20.000   182.4835   -60.8196     22.712
   20.5800   -24.0900   191.0610   -82.4060     20.000   182.6170   -60.7429     22.723
   20.7000   -24.1100   191.5455   -82.3152     20.000   182.7558   -60.6768     22.733
   20.8200   -24.1300   192.0193   -82.2239     20.000   182.8941   -60.6106     22.743
   20.9400   -24.1400   192.4160   -82.1281     20.000   183.0168   -60.5399     22.754
   21.0600   -24.1600   192.8698   -82.0360     20.000   183.1539   -60.4735     22.763
   21.1800   -24.1800   193.3138   -81.9435     20.000   183.2903   -60.4071     22.773
   21.3000   -24.2000   193.7483   -81.8506     20.000   183.4263   -60.3406     22.783
   21.4200   -24.2200   194.1735   -81.7573     20.000   183.5616   -60.2740     22.793
   21.5500   -24.2400   194.6134   -81.6552     20.000   183.7051   -60.2010     22.803
   21.6700   -24.2600   195.0204   -81.5611     20.000   183.8393   -60.1342     22.813
   21.7900   -24.2800   195.4189   -81.4668     20.000   183.9729   -60.0673     22.823
   21.9100   -24.3000   195.8093   -81.3720     20.000   184.1059   -60.0004     22.833
   22.0300   -24.3300   196.2534   -81.2805     20.000   184.2531   -59.9376     22.841
   22.1500   -24.3500   196.6276   -81.1851     20.000   184.3851   -59.8705     22.851
   22.2700   -24.3700   196.9943   -81.0894     20.000   184.5164   -59.8033     22.861
   22.3900   -24.4000   197.4140   -80.9968     20.000   184.6619   -59.7402     22.870
   22.5200   -24.4200   197.7850   -80.8919     20.000   184.8006   -59.6665     22.880
   22.6400   -24.4500   198.1887   -80.7986     20.000   184.9448   -59.6033     22.889
   22.7600   -24.4800   198.5848   -80.7049     20.000   185.0886   -59.5400     22.898
   22.8800   -24.5000   198.9153   -80.6077     20.000   185.2171   -59.4723     22.907
   23.0000   -24.5300   199.2973   -80.5134     20.000   185.3597   -59.4088     22.916
   23.1200   -24.5600   199.6723   -80.4187     20.000   185.5018   -59.3451     22.925
   23.2400   -24.5900   200.0404   -80.3238     20.000   185.6432   -59.2814     22.933
