#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
   10.3000   -24.5000    81.1277   -86.5050     20.000   171.7537   -67.1824     21.658
    9.6000   -24.1000    78.0713   -85.7804     20.000   170.0362   -67.3542     21.612
    9.0000   -23.6000    77.4226   -85.0398     20.000   168.2629   -67.3929     21.584
    8.4000   -23.2000    76.1860   -84.3688     20.000   166.6515   -67.4751     21.547
    7.8000   -22.8000    75.1765   -83.6950     20.000   165.0247   -67.5419     21.510
    7.2000   -22.3000    74.9179   -82.9492     20.000   163.2202   -67.5266     21.480
    6.6000   -21.9000    74.1447   -82.2716     20.000   161.5728   -67.5597     21.442
    6.0000   -21.5000    73.4701   -81.5920     20.000   159.9166   -67.5762     21.403
    5.4000   -21.1000    72.8726   -80.9107     20.000   158.2537   -67.5762     21.364
    4.8000   -20.6000    72.7668   -80.1596     20.000   156.4418   -67.4858     21.332
    4.2000   -20.2000    72.2549   -79.4754     20.000   154.7780   -67.4500     21.291
    3.7000   -19.8000    72.1164   -78.8589     20.000   153.3026   -67.3561     21.262
    3.1000   -19.3000    72.0231   -78.1044     20.000   151.5181   -67.2095     21.228
    2.6000   -18.9000    71.8843   -77.4860     20.000   150.0648   -67.0850     21.198
    2.0000   -18.5000    71.4639   -76.7974     20.000   148.4290   -66.9823     21.156
    1.5000   -18.0000    71.6460   -76.1091     20.000   146.8900   -66.7466     21.132
    0.9000   -17.6000    71.2513   -75.4185     20.000   145.2837   -66.6101     21.089
    0.4000   -17.2000    71.1270   -74.7967     20.000   143.8903   -66.4268     21.057
  359.9000   -16.7000    71.2711   -74.1059     20.000   142.4232   -66.1447     21.032
  359.4000   -16.3000    71.1392   -73.4826     20.000   141.0719   -65.9343     21.000
  358.9000   -15.9000    71.0091   -72.8586     20.000   139.7405   -65.7111     20.968
  358.4000   -15.4000    71.1187   -72.1653     20.000   138.3553   -65.3868     20.942
  357.9000   -15.0000    70.9844   -71.5399     20.000   137.0712   -65.1379     20.909
  357.4000   -14.6000    70.8524   -70.9139     20.000   135.8090   -64.8769     20.875
  356.9000   -14.2000    70.7226   -70.2873     20.000   134.5694   -64.6040     20.842
  356.5000   -13.7000    70.9961   -69.6612     20.000   133.4968   -64.2129     20.827
  356.0000   -13.3000    70.8593   -69.0335     20.000   132.3076   -63.9181     20.793
  355.5000   -12.9000    70.7252   -68.4052     20.000   131.1417   -63.6121     20.759
  355.1000   -12.4000    70.9633   -67.7771     20.000   130.1537   -63.1923     20.744
  354.6000   -12.0000    70.8249   -67.1478     20.000   129.0384   -62.8660     20.709
