#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  240.5949    -7.2216     3.3881    32.4455      9.500   136.3658    82.3275      5.143
  240.6444    -7.2125     3.4330    32.4129      9.500   135.8335    82.2914      5.139
  240.6940    -7.2033     3.4778    32.3802      9.500   135.3057    82.2546      5.134
  240.7435    -7.1941     3.5226    32.3476      9.500   134.7824    82.2170      5.130
  240.7930    -7.1849     3.5674    32.3149      9.500   134.2637    82.1786      5.126
  240.8426    -7.1757     3.6122    32.2822      9.500   133.7496    82.1396      5.122
  240.8921    -7.1665     3.6569    32.2495      9.500   133.2402    82.0997      5.118
  240.9416    -7.1573     3.7016    32.2168      9.500   132.7355    82.0592      5.114
  240.9912    -7.1481     3.7462    32.1840      9.500   132.2354    82.0179      5.110
  241.0407    -7.1388     3.7909    32.1513      9.500   131.7402    81.9760      5.105
  241.0902    -7.1296     3.8355    32.1185      9.500   131.2497    81.9333      5.101
  241.1397    -7.1204     3.8800    32.0857      9.500   130.7639    81.8899      5.097
  241.1893    -7.1111     3.9246    32.0529      9.500   130.2830    81.8459      5.093
  241.2388    -7.1019     3.9691    32.0201      9.500   129.8068    81.8011      5.089
  241.2883    -7.0926     4.0135    31.9872      9.500   129.3355    81.7557      5.085
  241.3378    -7.0834     4.0580    31.9544      9.500   128.8690    81.7096      5.081
  241.3873    -7.0741     4.1024    31.9215      9.500   128.4072    81.6629      5.077
  241.4368    -7.0649     4.1467    31.8886      9.500   127.9503    81.6155      5.073
  241.4863    -7.0556     4.1911    31.8558      9.500   127.4982    81.5675      5.069
  241.5358    -7.0463     4.2354    31.8228      9.500   127.0509    81.5189      5.065
  241.5853    -7.0370     4.2796    31.7899      9.500   126.6083    81.4696      5.061
  241.6349    -7.0278     4.3239    31.7570      9.500   126.1706    81.4197      5.057
  241.6844    -7.0185     4.3681    31.7240      9.500   125.7376    81.3692      5.053
  241.7339    -7.0092     4.4123    31.6910      9.500   125.3093    81.3181      5.049
  241.7833    -6.9999     4.4564    31.6581      9.500   124.8858    81.2664      5.045
  241.8328    -6.9906     4.5006    31.6250      9.500   124.4669    81.2141      5.041
  241.8823    -6.9813     4.5446    31.5920      9.500   124.0528    81.1612      5.037
  241.9318    -6.9719     4.5887    31.5590      9.500   123.6433    81.1078      5.033
  241.9813    -6.9626     4.6327    31.5259      9.500   123.2384    81.0538      5.029
  242.0308    -6.9533     4.6767    31.4929      9.500   122.8382    80.9992      5.025
  242.0803    -6.9440     4.7207    31.4598      9.500   122.4425    80.9441      5.021
  242.1298    -6.9346     4.7646    31.4267      9.500   122.0514    80.8884      5.017
  242.1793    -6.9253     4.8085    31.3936      9.500   121.6648    80.8322      5.013
  242.2287    -6.9159     4.8524    31.3605      9.500   121.2826    80.7754      5.009
  242.2782    -6.9066     4.8962    31.3273      9.500   120.9050    80.7182      5.005
  242.3277    -6.8972     4.9400    31.2942      9.500   120.5317    80.6604      5.001
  242.3772    -6.8879     4.9838    31.2610      9.500   120.1628    80.6021      4.997
  242.4266    -6.8785     5.0275    31.2278      9.500   119.7983    80.5432      4.993
  242.4761    -6.8691     5.0713    31.1946      9.500   119.4381    80.4839      4.989
  242.5256    -6.8598     5.1149    31.1614      9.500   119.0821    80.4241      4.985
  242.5750    -6.8504     5.1586    31.1282      9.500   118.7304    80.3638      4.981
  242.6245    -6.8410     5.2022    31.0949      9.500   118.3829    80.3030      4.977
  242.6740    -6.8316     5.2458    31.0617      9.500   118.0396    80.2418      4.974
  242.7234    -6.8222     5.2894    31.0284      9.500   117.7003    80.1801      4.970
  242.7729    -6.8128     5.3329    30.9951      9.500   117.3651    80.1179      4.966
  242.8223    -6.8034     5.3764    30.9618      9.500   117.0340    80.0552      4.962
  242.8718    -6.7940     5.4199    30.9285      9.500   116.7069    79.9921      4.958
  242.9212    -6.7846     5.4633    30.8952      9.500   116.3837    79.9286      4.954
  242.9707    -6.7751     5.5067    30.8618      9.500   116.0644    79.8646      4.950
  243.0201    -6.7657     5.5501    30.8285      9.500   115.7490    79.8002      4.947
  240.5856    -7.1725     3.4267    32.4834      9.500   136.2650    82.2664      5.149
