#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
    0.0000   -25.5100    38.0297   -78.3659     20.000   154.9774   -73.3069     20.451
    0.0400   -25.5100    38.0634   -78.4014     20.000   155.0722   -73.2885     20.456
    0.0700   -25.5000    38.1377   -78.4261     20.000   155.1225   -73.2672     20.460
    0.1100   -25.5000    38.1718   -78.4615     20.000   155.2170   -73.2487     20.464
    0.1400   -25.4900    38.2466   -78.4862     20.000   155.2669   -73.2273     20.468
    0.1800   -25.4800    38.3304   -78.5197     20.000   155.3403   -73.2013     20.474
    0.2200   -25.4800    38.3653   -78.5552     20.000   155.4342   -73.1828     20.478
    0.2500   -25.4700    38.4410   -78.5798     20.000   155.4837   -73.1614     20.482
    0.2900   -25.4700    38.4763   -78.6153     20.000   155.5773   -73.1428     20.487
    0.3200   -25.4600    38.5526   -78.6399     20.000   155.6265   -73.1214     20.491
    0.3600   -25.4500    38.6382   -78.6734     20.000   155.6990   -73.0953     20.496
    0.4000   -25.4500    38.6742   -78.7088     20.000   155.7919   -73.0767     20.501
    0.4300   -25.4400    38.7515   -78.7334     20.000   155.8408   -73.0552     20.505
    0.4700   -25.4400    38.7880   -78.7688     20.000   155.9333   -73.0365     20.509
    0.5000   -25.4300    38.8659   -78.7934     20.000   155.9819   -73.0150     20.513
    0.5400   -25.4300    38.9028   -78.8288     20.000   156.0741   -72.9963     20.518
    0.5800   -25.4200    38.9906   -78.8622     20.000   156.1454   -72.9701     20.523
    0.6100   -25.4100    39.0695   -78.8868     20.000   156.1936   -72.9486     20.527
    0.6500   -25.4100    39.1072   -78.9222     20.000   156.2852   -72.9298     20.532
    0.6800   -25.4000    39.1867   -78.9467     20.000   156.3332   -72.9082     20.536
    0.7200   -25.4000    39.2248   -78.9821     20.000   156.4244   -72.8894     20.541
    0.7600   -25.3900    39.3146   -79.0154     20.000   156.4948   -72.8631     20.546
    0.7900   -25.3800    39.3951   -79.0399     20.000   156.5423   -72.8415     20.550
    0.8300   -25.3800    39.4342   -79.0753     20.000   156.6331   -72.8226     20.554
    0.8600   -25.3700    39.5153   -79.0998     20.000   156.6803   -72.8010     20.558
    0.9000   -25.3700    39.5548   -79.1351     20.000   156.7707   -72.7820     20.563
    0.9400   -25.3600    39.6466   -79.1684     20.000   156.8402   -72.7557     20.568
    0.9700   -25.3600    39.6767   -79.1949     20.000   156.9077   -72.7414     20.572
    1.0100   -25.3500    39.7693   -79.2282     20.000   156.9768   -72.7150     20.577
    1.0400   -25.3400    39.8521   -79.2526     20.000   157.0234   -72.6934     20.581
    1.0800   -25.3400    39.8931   -79.2879     20.000   157.1129   -72.6743     20.585
    1.1200   -25.3300    39.9870   -79.3212     20.000   157.1815   -72.6479     20.591
    1.1500   -25.3300    40.0181   -79.3476     20.000   157.2483   -72.6335     20.594
    1.1900   -25.3200    40.1128   -79.3808     20.000   157.3167   -72.6070     20.599
    1.2200   -25.3200    40.1444   -79.4073     20.000   157.3832   -72.5926     20.603
    1.2600   -25.3100    40.2399   -79.4405     20.000   157.4512   -72.5662     20.608
    1.3000   -25.3000    40.3360   -79.4736     20.000   157.5190   -72.5397     20.613
    1.3300   -25.3000    40.3683   -79.5001     20.000   157.5851   -72.5252     20.617
    1.3700   -25.2900    40.4652   -79.5332     20.000   157.6526   -72.4987     20.622
    1.4000   -25.2900    40.4979   -79.5597     20.000   157.7185   -72.4842     20.625
    1.4400   -25.2800    40.5957   -79.5928     20.000   157.7856   -72.4576     20.630
    1.4800   -25.2800    40.6399   -79.6281     20.000   157.8731   -72.4383     20.635
    1.5100   -25.2700    40.7275   -79.6523     20.000   157.9180   -72.4165     20.639
    1.5500   -25.2700    40.7723   -79.6876     20.000   158.0052   -72.3971     20.644
    1.5800   -25.2600    40.8607   -79.7118     20.000   158.0499   -72.3754     20.648
    1.6200   -25.2500    40.9608   -79.7448     20.000   158.1162   -72.3487     20.653
    1.6600   -25.2500    41.0067   -79.7801     20.000   158.2028   -72.3293     20.657
    1.6900   -25.2400    41.0963   -79.8042     20.000   158.2471   -72.3075     20.661
    1.7300   -25.2400    41.1427   -79.8395     20.000   158.3334   -72.2880     20.666
    1.7600   -25.2300    41.2331   -79.8636     20.000   158.3775   -72.2662     20.670
    1.8000   -25.2300    41.2802   -79.8988     20.000   158.4634   -72.2466     20.675
    1.8400   -25.2200    41.3833   -79.9318     20.000   158.5287   -72.2199     20.680
    1.8700   -25.2200    41.4191   -79.9582     20.000   158.5929   -72.2052     20.683
    1.9100   -25.2100    41.5232   -79.9911     20.000   158.6579   -72.1785     20.688
    1.9400   -25.2100    41.5595   -80.0175     20.000   158.7218   -72.1637     20.692
    1.9800   -25.2000    41.6645   -80.0503     20.000   158.7865   -72.1370     20.697
    2.0200   -25.2000    41.7137   -80.0855     20.000   158.8714   -72.1173     20.701
    2.0500   -25.1900    41.8074   -80.1095     20.000   158.9146   -72.0954     20.706
    2.0900   -25.1800    41.9140   -80.1423     20.000   158.9787   -72.0686     20.711
    2.1200   -25.1800    41.9518   -80.1687     20.000   159.0421   -72.0538     20.714
    2.1600   -25.1700    42.0594   -80.2015     20.000   159.1059   -72.0270     20.719
    2.2000   -25.1700    42.1105   -80.2366     20.000   159.1900   -72.0072     20.724
    2.2300   -25.1600    42.2064   -80.2606     20.000   159.2326   -71.9853     20.728
    2.2700   -25.1600    42.2582   -80.2957     20.000   159.3163   -71.9654     20.732
    2.3000   -25.1500    42.3550   -80.3196     20.000   159.3587   -71.9435     20.736
    2.3400   -25.1500    42.4076   -80.3547     20.000   159.4421   -71.9236     20.741
    2.3800   -25.1400    42.5185   -80.3874     20.000   159.5050   -71.8967     20.746
    2.4100   -25.1400    42.5585   -80.4137     20.000   159.5673   -71.8818     20.750
    2.4500   -25.1300    42.6706   -80.4463     20.000   159.6299   -71.8548     20.755
    2.4800   -25.1300    42.7112   -80.4726     20.000   159.6920   -71.8399     20.758
    2.5200   -25.1200    42.8243   -80.5052     20.000   159.7543   -71.8129     20.763
    2.5600   -25.1200    42.8793   -80.5403     20.000   159.8368   -71.7929     20.768
    2.5900   -25.1100    42.9798   -80.5641     20.000   159.8782   -71.7709     20.772
    2.6300   -25.1100    43.0356   -80.5991     20.000   159.9603   -71.7509     20.776
    2.6600   -25.1000    43.1370   -80.6229     20.000   160.0015   -71.7289     20.780
    2.7000   -25.1000    43.1937   -80.6579     20.000   160.0833   -71.7088     20.785
    2.7400   -25.0900    43.3104   -80.6904     20.000   160.1447   -71.6818     20.790
    2.7700   -25.0900    43.3535   -80.7166     20.000   160.2058   -71.6667     20.793
    2.8100   -25.0800    43.4715   -80.7491     20.000   160.2669   -71.6396     20.799
    2.8400   -25.0800    43.5152   -80.7753     20.000   160.3278   -71.6245     20.802
    2.8800   -25.0700    43.6344   -80.8077     20.000   160.3886   -71.5974     20.807
    2.9200   -25.0700    43.6936   -80.8427     20.000   160.4695   -71.5772     20.812
    2.9500   -25.0600    43.7992   -80.8663     20.000   160.5098   -71.5552     20.816
    2.9900   -25.0600    43.8593   -80.9013     20.000   160.5903   -71.5349     20.820
    3.0200   -25.0500    43.9659   -80.9248     20.000   160.6304   -71.5129     20.824
    3.0600   -25.0500    44.0270   -80.9598     20.000   160.7107   -71.4926     20.829
    3.1000   -25.0400    44.1500   -80.9920     20.000   160.7706   -71.4654     20.834
    3.1300   -25.0400    44.1966   -81.0182     20.000   160.8305   -71.4502     20.837
    3.1700   -25.0300    44.3210   -81.0504     20.000   160.8901   -71.4230     20.842
    3.2000   -25.0300    44.3682   -81.0766     20.000   160.9499   -71.4078     20.846
    3.2400   -25.0200    44.4939   -81.1088     20.000   161.0092   -71.3805     20.851
    3.2800   -25.0200    44.5580   -81.1436     20.000   161.0885   -71.3602     20.855
    3.3100   -25.0100    44.6690   -81.1671     20.000   161.1278   -71.3380     20.860
    3.3500   -25.0100    44.7340   -81.2019     20.000   161.2068   -71.3176     20.864
    3.3800   -25.0000    44.8461   -81.2253     20.000   161.2458   -71.2955     20.868
    3.4200   -25.0000    44.9122   -81.2601     20.000   161.3245   -71.2750     20.873
    3.4600   -24.9900    45.0422   -81.2921     20.000   161.3830   -71.2477     20.878
    3.4900   -24.9900    45.0925   -81.3182     20.000   161.4418   -71.2324     20.881
    3.5300   -24.9900    45.1601   -81.3530     20.000   161.5201   -71.2119     20.886
    3.5600   -24.9800    45.2751   -81.3763     20.000   161.5586   -71.1897     20.890
    3.6000   -24.9800    45.3438   -81.4111     20.000   161.6365   -71.1691     20.894
    3.6400   -24.9700    45.4773   -81.4430     20.000   161.6943   -71.1418     20.899
    3.6700   -24.9700    45.5297   -81.4690     20.000   161.7525   -71.1264     20.903
    3.7100   -24.9600    45.6648   -81.5009     20.000   161.8100   -71.0990     20.908
    3.7400   -24.9600    45.7180   -81.5269     20.000   161.8681   -71.0835     20.911
    3.7800   -24.9500    45.8545   -81.5587     20.000   161.9253   -71.0561     20.916
    3.8200   -24.9500    45.9267   -81.5934     20.000   162.0023   -71.0355     20.921
    3.8500   -24.9400    46.0467   -81.6165     20.000   162.0400   -71.0132     20.925
    3.8900   -24.9400    46.1200   -81.6512     20.000   162.1168   -70.9926     20.929
    3.9200   -24.9400    46.1754   -81.6772     20.000   162.1743   -70.9770     20.933
    3.9600   -24.9300    46.3159   -81.7089     20.000   162.2308   -70.9496     20.938
    4.0000   -24.9300    46.3909   -81.7435     20.000   162.3072   -70.9289     20.942
    4.0300   -24.9200    46.5142   -81.7664     20.000   162.3444   -70.9066     20.946
    4.0700   -24.9200    46.5905   -81.8010     20.000   162.4204   -70.8858     20.951
    4.1000   -24.9100    46.7152   -81.8240     20.000   162.4574   -70.8635     20.955
    4.1400   -24.9100    46.7927   -81.8585     20.000   162.5332   -70.8427     20.959
    4.1800   -24.9100    46.8709   -81.8931     20.000   162.6088   -70.8219     20.964
    4.2100   -24.9000    46.9976   -81.9159     20.000   162.6455   -70.7996     20.968
    4.2500   -24.9000    47.0770   -81.9505     20.000   162.7209   -70.7787     20.972
    4.2800   -24.8900    47.2051   -81.9733     20.000   162.7574   -70.7564     20.976
    4.3200   -24.8900    47.2859   -82.0078     20.000   162.8325   -70.7355     20.981
    4.3600   -24.8800    47.4359   -82.0391     20.000   162.8875   -70.7079     20.986
    4.3900   -24.8800    47.4976   -82.0650     20.000   162.9436   -70.6923     20.989
    4.4300   -24.8800    47.5804   -82.0994     20.000   163.0182   -70.6713     20.993
    4.4600   -24.8700    47.7121   -82.1221     20.000   163.0542   -70.6490     20.997
    4.5000   -24.8700    47.7964   -82.1565     20.000   163.1286   -70.6280     21.002
    4.5400   -24.8600    47.9509   -82.1877     20.000   163.1830   -70.6004     21.007
    4.5700   -24.8600    48.0152   -82.2135     20.000   163.2385   -70.5846     21.010
    4.6100   -24.8600    48.1016   -82.2478     20.000   163.3125   -70.5636     21.015
    4.6400   -24.8500    48.2371   -82.2704     20.000   163.3480   -70.5412     21.019
    4.6800   -24.8500    48.3249   -82.3047     20.000   163.4217   -70.5201     21.023
    4.7200   -24.8400    48.4843   -82.3357     20.000   163.4755   -70.4925     21.028
    4.7500   -24.8400    48.5514   -82.3615     20.000   163.5305   -70.4766     21.032
    4.7900   -24.8400    48.6415   -82.3957     20.000   163.6037   -70.4555     21.036
    4.8200   -24.8300    48.7811   -82.4181     20.000   163.6388   -70.4331     21.040
    4.8600   -24.8300    48.8727   -82.4524     20.000   163.7118   -70.4120     21.045
    4.9000   -24.8200    49.0372   -82.4832     20.000   163.7649   -70.3843     21.050
    4.9300   -24.8200    49.1072   -82.5089     20.000   163.8194   -70.3684     21.053
    4.9700   -24.8200    49.2013   -82.5431     20.000   163.8920   -70.3472     21.057
    5.0000   -24.8100    49.3450   -82.5653     20.000   163.9266   -70.3247     21.062
    5.0400   -24.8100    49.4407   -82.5994     20.000   163.9989   -70.3035     21.066
    5.0800   -24.8100    49.5373   -82.6336     20.000   164.0711   -70.2823     21.070
    5.1100   -24.8000    49.6837   -82.6557     20.000   164.1055   -70.2598     21.074
    5.1500   -24.8000    49.7819   -82.6898     20.000   164.1773   -70.2385     21.079
    5.1800   -24.7900    49.9301   -82.7119     20.000   164.2115   -70.2161     21.083
    5.2200   -24.7900    50.0302   -82.7459     20.000   164.2832   -70.1948     21.087
    5.2600   -24.7900    50.1310   -82.7799     20.000   164.3547   -70.1735     21.092
    5.2900   -24.7800    50.2820   -82.8019     20.000   164.3886   -70.1510     21.096
    5.3300   -24.7800    50.3847   -82.8359     20.000   164.4598   -70.1296     21.100
    5.3600   -24.7800    50.4624   -82.8613     20.000   164.5131   -70.1136     21.103
    5.4000   -24.7700    50.6422   -82.8917     20.000   164.5645   -70.0857     21.108
    5.4400   -24.7700    50.7477   -82.9256     20.000   164.6353   -70.0643     21.113
    5.4700   -24.7700    50.8275   -82.9510     20.000   164.6884   -70.0483     21.116
    5.5100   -24.7600    51.0110   -82.9813     20.000   164.7394   -70.0204     21.121
    5.5400   -24.7600    51.0922   -83.0066     20.000   164.7922   -70.0043     21.125
    5.5800   -24.7600    51.2014   -83.0404     20.000   164.8625   -69.9828     21.129
    5.6200   -24.7500    51.3886   -83.0706     20.000   164.9132   -69.9549     21.134
