#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  139.1270   -21.6483   250.6244    18.7311     22.900   232.5066    15.9177     26.814
  139.1294   -21.5984   250.5859    18.7653     22.900   232.4728    15.9441     26.818
  139.1317   -21.5484   250.5474    18.7996     22.900   232.4390    15.9705     26.821
  139.1340   -21.4985   250.5089    18.8338     22.900   232.4052    15.9969     26.825
  139.1364   -21.4485   250.4704    18.8680     22.900   232.3713    16.0233     26.829
  139.1387   -21.3986   250.4319    18.9022     22.900   232.3375    16.0496     26.833
  139.1410   -21.3486   250.3933    18.9364     22.900   232.3036    16.0760     26.837
  139.1433   -21.2987   250.3547    18.9706     22.900   232.2698    16.1023     26.841
  139.1456   -21.2487   250.3161    19.0048     22.900   232.2359    16.1286     26.845
  139.1480   -21.1988   250.2775    19.0390     22.900   232.2020    16.1549     26.849
  139.1503   -21.1488   250.2389    19.0731     22.900   232.1682    16.1812     26.852
  139.1526   -21.0989   250.2003    19.1073     22.900   232.1343    16.2075     26.856
  139.1549   -21.0489   250.1616    19.1414     22.900   232.1003    16.2337     26.860
  139.1572   -20.9990   250.1230    19.1756     22.900   232.0664    16.2599     26.864
  139.1595   -20.9490   250.0843    19.2097     22.900   232.0325    16.2862     26.868
  139.1619   -20.8991   250.0456    19.2438     22.900   231.9986    16.3124     26.872
  139.1642   -20.8491   250.0069    19.2780     22.900   231.9646    16.3386     26.876
  139.1665   -20.7992   249.9681    19.3121     22.900   231.9306    16.3647     26.880
  139.1688   -20.7492   249.9294    19.3462     22.900   231.8967    16.3909     26.883
  139.1711   -20.6993   249.8906    19.3803     22.900   231.8627    16.4170     26.887
  139.1734   -20.6493   249.8518    19.4144     22.900   231.8287    16.4432     26.891
  139.1757   -20.5994   249.8131    19.4484     22.900   231.7947    16.4693     26.895
  139.1780   -20.5494   249.7742    19.4825     22.900   231.7607    16.4954     26.899
  139.1803   -20.4995   249.7354    19.5166     22.900   231.7267    16.5215     26.903
  139.1826   -20.4495   249.6966    19.5506     22.900   231.6926    16.5476     26.906
  139.1849   -20.3995   249.6577    19.5847     22.900   231.6586    16.5736     26.910
  139.1872   -20.3496   249.6188    19.6187     22.900   231.6245    16.5996     26.914
  139.1895   -20.2996   249.5799    19.6527     22.900   231.5904    16.6257     26.918
  139.1918   -20.2497   249.5410    19.6868     22.900   231.5564    16.6517     26.922
  139.1941   -20.1997   249.5021    19.7208     22.900   231.5223    16.6777     26.926
  139.1964   -20.1498   249.4632    19.7548     22.900   231.4882    16.7037     26.929
  139.1987   -20.0998   249.4242    19.7888     22.900   231.4541    16.7296     26.933
  139.2010   -20.0499   249.3852    19.8228     22.900   231.4199    16.7556     26.937
  139.2033   -19.9999   249.3463    19.8568     22.900   231.3858    16.7815     26.941
  139.2056   -19.9500   249.3073    19.8907     22.900   231.3517    16.8074     26.945
  139.2079   -19.9000   249.2682    19.9247     22.900   231.3175    16.8333     26.948
  139.2101   -19.8501   249.2292    19.9587     22.900   231.2834    16.8592     26.952
  139.2124   -19.8001   249.1901    19.9926     22.900   231.2492    16.8851     26.956
  139.2147   -19.7502   249.1511    20.0265     22.900   231.2150    16.9109     26.960
  139.2170   -19.7002   249.1120    20.0605     22.900   231.1808    16.9368     26.964
  139.2193   -19.6503   249.0729    20.0944     22.900   231.1466    16.9626     26.967
  139.2216   -19.6003   249.0337    20.1283     22.900   231.1124    16.9884     26.971
  139.2238   -19.5504   248.9946    20.1622     22.900   231.0781    17.0142     26.975
  139.2261   -19.5004   248.9555    20.1961     22.900   231.0439    17.0400     26.979
  139.2284   -19.4505   248.9163    20.2300     22.900   231.0097    17.0658     26.983
  139.2307   -19.4005   248.8771    20.2639     22.900   230.9754    17.0915     26.986
  139.2330   -19.3506   248.8379    20.2978     22.900   230.9411    17.1173     26.990
  139.2352   -19.3006   248.7987    20.3316     22.900   230.9068    17.1430     26.994
  139.2375   -19.2506   248.7594    20.3655     22.900   230.8725    17.1687     26.998
  139.2398   -19.2007   248.7202    20.3993     22.900   230.8382    17.1944     27.002
  139.2421   -19.1507   248.6809    20.4332     22.900   230.8039    17.2200     27.005
  139.2443   -19.1008   248.6416    20.4670     22.900   230.7696    17.2457     27.009
  139.2466   -19.0508   248.6023    20.5008     22.900   230.7353    17.2713     27.013
  139.2489   -19.0009   248.5630    20.5346     22.900   230.7009    17.2970     27.017
  139.2511   -18.9509   248.5236    20.5684     22.900   230.6666    17.3226     27.020
  139.2534   -18.9010   248.4843    20.6022     22.900   230.6322    17.3482     27.024
  139.2557   -18.8510   248.4449    20.6360     22.900   230.5978    17.3738     27.028
  139.2579   -18.8011   248.4055    20.6698     22.900   230.5634    17.3993     27.032
  139.2602   -18.7511   248.3661    20.7036     22.900   230.5290    17.4249     27.035
  139.2625   -18.7012   248.3267    20.7373     22.900   230.4946    17.4504     27.039
  139.2647   -18.6512   248.2872    20.7711     22.900   230.4602    17.4759     27.043
  139.2670   -18.6013   248.2477    20.8048     22.900   230.4257    17.5014     27.047
  139.2693   -18.5513   248.2083    20.8386     22.900   230.3913    17.5269     27.050
  139.2715   -18.5014   248.1688    20.8723     22.900   230.3568    17.5524     27.054
  139.2738   -18.4514   248.1292    20.9060     22.900   230.3224    17.5779     27.058
  139.2760   -18.4015   248.0897    20.9397     22.900   230.2879    17.6033     27.062
  139.2783   -18.3515   248.0502    20.9734     22.900   230.2534    17.6287     27.065
  139.2806   -18.3015   248.0106    21.0071     22.900   230.2189    17.6542     27.069
  139.2828   -18.2516   247.9710    21.0408     22.900   230.1844    17.6796     27.073
  139.2851   -18.2016   247.9314    21.0745     22.900   230.1498    17.7049     27.077
  139.2873   -18.1517   247.8918    21.1081     22.900   230.1153    17.7303     27.080
  139.2896   -18.1017   247.8521    21.1418     22.900   230.0808    17.7557     27.084
  139.2918   -18.0518   247.8125    21.1754     22.900   230.0462    17.7810     27.088
  139.2941   -18.0018   247.7728    21.2091     22.900   230.0116    17.8063     27.092
  139.2963   -17.9519   247.7331    21.2427     22.900   229.9771    17.8316     27.095
  139.2986   -17.9019   247.6934    21.2763     22.900   229.9425    17.8569     27.099
  139.3008   -17.8520   247.6537    21.3099     22.900   229.9079    17.8822     27.103
  139.3031   -17.8020   247.6139    21.3435     22.900   229.8732    17.9074     27.106
  139.3053   -17.7521   247.5742    21.3771     22.900   229.8386    17.9327     27.110
  139.3076   -17.7021   247.5344    21.4107     22.900   229.8040    17.9579     27.114
  139.3098   -17.6522   247.4946    21.4443     22.900   229.7693    17.9831     27.117
  139.3120   -17.6022   247.4548    21.4779     22.900   229.7347    18.0083     27.121
  139.3143   -17.5523   247.4149    21.5114     22.900   229.7000    18.0335     27.125
  139.3165   -17.5023   247.3751    21.5450     22.900   229.6653    18.0587     27.129
  139.3188   -17.4524   247.3352    21.5785     22.900   229.6306    18.0838     27.132
  139.3210   -17.4024   247.2953    21.6120     22.900   229.5959    18.1089     27.136
  139.3232   -17.3524   247.2554    21.6455     22.900   229.5612    18.1341     27.140
  139.3255   -17.3025   247.2155    21.6790     22.900   229.5265    18.1592     27.143
  139.3277   -17.2525   247.1755    21.7125     22.900   229.4917    18.1842     27.147
  139.3300   -17.2026   247.1356    21.7460     22.900   229.4570    18.2093     27.151
  139.3322   -17.1526   247.0956    21.7795     22.900   229.4222    18.2344     27.154
  139.3344   -17.1027   247.0556    21.8130     22.900   229.3875    18.2594     27.158
  139.3367   -17.0527   247.0156    21.8465     22.900   229.3527    18.2844     27.162
  139.3389   -17.0028   246.9755    21.8799     22.900   229.3179    18.3094     27.165
  139.3411   -16.9528   246.9355    21.9133     22.900   229.2831    18.3344     27.169
  139.3434   -16.9029   246.8954    21.9468     22.900   229.2483    18.3594     27.173
  139.3456   -16.8529   246.8553    21.9802     22.900   229.2134    18.3844     27.176
  139.3478   -16.8030   246.8152    22.0136     22.900   229.1786    18.4093     27.180
  139.3500   -16.7530   246.7751    22.0470     22.900   229.1437    18.4343     27.184
  139.3523   -16.7031   246.7349    22.0804     22.900   229.1089    18.4592     27.187
  139.3545   -16.6531   246.6947    22.1138     22.900   229.0740    18.4841     27.191
  139.3567   -16.6032   246.6546    22.1472     22.900   229.0391    18.5090     27.195
