#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  226.4965    -3.1915   355.1585    45.5971     23.200   349.8790    64.8089     18.317
  226.5403    -3.1673   355.2272    45.5834     23.200   350.0241    64.7976     18.314
  226.5841    -3.1431   355.2959    45.5696     23.200   350.1692    64.7861     18.312
  226.6279    -3.1189   355.3646    45.5559     23.200   350.3141    64.7746     18.309
  226.6718    -3.0947   355.4332    45.5420     23.200   350.4590    64.7629     18.307
  226.7156    -3.0705   355.5018    45.5282     23.200   350.6037    64.7511     18.304
  226.7594    -3.0463   355.5703    45.5143     23.200   350.7484    64.7392     18.302
  226.8032    -3.0221   355.6388    45.5003     23.200   350.8930    64.7271     18.299
  226.8470    -2.9979   355.7073    45.4864     23.200   351.0375    64.7149     18.296
  226.8908    -2.9737   355.7758    45.4723     23.200   351.1819    64.7026     18.294
  226.9347    -2.9495   355.8442    45.4583     23.200   351.3262    64.6902     18.291
  226.9785    -2.9253   355.9126    45.4442     23.200   351.4703    64.6776     18.289
  227.0223    -2.9011   355.9809    45.4300     23.200   351.6144    64.6650     18.286
  227.0661    -2.8769   356.0492    45.4158     23.200   351.7584    64.6521     18.284
  227.1099    -2.8527   356.1175    45.4016     23.200   351.9023    64.6392     18.281
  227.1537    -2.8285   356.1857    45.3874     23.200   352.0461    64.6261     18.279
  227.1975    -2.8043   356.2539    45.3730     23.200   352.1897    64.6130     18.276
  227.2413    -2.7801   356.3221    45.3587     23.200   352.3333    64.5996     18.274
  227.2851    -2.7559   356.3902    45.3443     23.200   352.4767    64.5862     18.271
  227.3289    -2.7317   356.4584    45.3299     23.200   352.6201    64.5726     18.269
  227.3727    -2.7075   356.5264    45.3154     23.200   352.7633    64.5589     18.266
  227.4165    -2.6833   356.5944    45.3009     23.200   352.9064    64.5451     18.264
  227.4603    -2.6590   356.6624    45.2863     23.200   353.0494    64.5312     18.261
  227.5041    -2.6348   356.7304    45.2717     23.200   353.1923    64.5171     18.259
  227.5478    -2.6106   356.7983    45.2571     23.200   353.3351    64.5030     18.256
