#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  334.3396   -44.2536   353.5993   -54.7803     22.900   342.3399   -75.4572     19.327
  334.3590   -44.3016   353.5126   -54.7803     22.900   342.1086   -75.4460     19.328
  334.3784   -44.3496   353.4259   -54.7803     22.900   341.8777   -75.4346     19.329
  334.3979   -44.3977   353.3392   -54.7802     22.900   341.6471   -75.4229     19.330
  334.4174   -44.4457   353.2525   -54.7800     22.900   341.4169   -75.4111     19.331
  334.4369   -44.4937   353.1658   -54.7798     22.900   341.1871   -75.3990     19.332
  334.4564   -44.5417   353.0791   -54.7796     22.900   340.9577   -75.3868     19.333
  334.4760   -44.5897   352.9925   -54.7792     22.900   340.7286   -75.3743     19.334
  334.4956   -44.6377   352.9058   -54.7788     22.900   340.4999   -75.3616     19.335
  334.5153   -44.6857   352.8191   -54.7784     22.900   340.2716   -75.3488     19.336
  334.5349   -44.7338   352.7324   -54.7779     22.900   340.0437   -75.3357     19.337
  334.5547   -44.7818   352.6457   -54.7773     22.900   339.8162   -75.3224     19.338
  334.5744   -44.8297   352.5590   -54.7766     22.900   339.5891   -75.3089     19.339
  334.5942   -44.8777   352.4723   -54.7759     22.900   339.3624   -75.2952     19.341
  334.6140   -44.9257   352.3857   -54.7752     22.900   339.1362   -75.2813     19.342
  334.6338   -44.9737   352.2990   -54.7743     22.900   338.9103   -75.2673     19.343
  334.6537   -45.0217   352.2123   -54.7734     22.900   338.6849   -75.2530     19.344
  334.6736   -45.0697   352.1257   -54.7725     22.900   338.4599   -75.2385     19.345
  334.6935   -45.1177   352.0390   -54.7715     22.900   338.2353   -75.2238     19.346
  334.7135   -45.1656   351.9523   -54.7704     22.900   338.0112   -75.2089     19.347
  334.7335   -45.2136   351.8657   -54.7692     22.900   337.7875   -75.1938     19.348
  334.7536   -45.2616   351.7790   -54.7680     22.900   337.5642   -75.1785     19.349
  334.7736   -45.3095   351.6924   -54.7668     22.900   337.3414   -75.1631     19.350
  334.7937   -45.3575   351.6058   -54.7654     22.900   337.1191   -75.1474     19.351
  334.8139   -45.4054   351.5191   -54.7640     22.900   336.8972   -75.1315     19.352
  334.8341   -45.4534   351.4325   -54.7626     22.900   336.6757   -75.1155     19.353
  334.8543   -45.5014   351.3459   -54.7611     22.900   336.4548   -75.0992     19.354
  334.8745   -45.5493   351.2593   -54.7595     22.900   336.2343   -75.0828     19.356
  334.8948   -45.5972   351.1727   -54.7579     22.900   336.0142   -75.0661     19.357
  334.9151   -45.6452   351.0861   -54.7562     22.900   335.7947   -75.0493     19.358
  334.9354   -45.6931   350.9995   -54.7544     22.900   335.5756   -75.0323     19.359
  334.9558   -45.7410   350.9129   -54.7526     22.900   335.3570   -75.0151     19.360
  334.9762   -45.7890   350.8263   -54.7507     22.900   335.1389   -74.9977     19.361
  334.9967   -45.8369   350.7398   -54.7488     22.900   334.9213   -74.9801     19.362
  335.0172   -45.8848   350.6532   -54.7467     22.900   334.7042   -74.9623     19.363
  335.0377   -45.9327   350.5667   -54.7447     22.900   334.4876   -74.9444     19.365
  335.0582   -45.9806   350.4801   -54.7425     22.900   334.2715   -74.9262     19.366
  335.0788   -46.0286   350.3936   -54.7403     22.900   334.0559   -74.9079     19.367
  335.0994   -46.0765   350.3071   -54.7381     22.900   333.8408   -74.8894     19.368
  335.1201   -46.1244   350.2206   -54.7358     22.900   333.6262   -74.8706     19.369
  335.1408   -46.1723   350.1341   -54.7334     22.900   333.4121   -74.8518     19.370
  335.1615   -46.2202   350.0476   -54.7310     22.900   333.1986   -74.8327     19.371
  335.1823   -46.2681   349.9611   -54.7284     22.900   332.9855   -74.8134     19.373
  335.2031   -46.3159   349.8746   -54.7259     22.900   332.7730   -74.7940     19.374
  335.2239   -46.3638   349.7882   -54.7233     22.900   332.5610   -74.7744     19.375
  335.2448   -46.4117   349.7017   -54.7206     22.900   332.3495   -74.7546     19.376
  335.2657   -46.4596   349.6153   -54.7178     22.900   332.1386   -74.7346     19.377
  335.2867   -46.5075   349.5289   -54.7150     22.900   331.9282   -74.7145     19.379
  335.3077   -46.5553   349.4425   -54.7121     22.900   331.7183   -74.6941     19.380
  335.3287   -46.6032   349.3561   -54.7092     22.900   331.5090   -74.6736     19.381
  335.3497   -46.6511   349.2697   -54.7062     22.900   331.3002   -74.6530     19.382
  335.3708   -46.6989   349.1833   -54.7031     22.900   331.0920   -74.6321     19.383
  335.3920   -46.7468   349.0969   -54.7000     22.900   330.8843   -74.6111     19.385
  335.4131   -46.7946   349.0106   -54.6968     22.900   330.6771   -74.5899     19.386
  335.4343   -46.8425   348.9243   -54.6936     22.900   330.4705   -74.5685     19.387
  335.4556   -46.8903   348.8379   -54.6903     22.900   330.2644   -74.5469     19.388
  335.4769   -46.9381   348.7516   -54.6869     22.900   330.0589   -74.5252     19.389
  335.4982   -46.9860   348.6654   -54.6835     22.900   329.8540   -74.5033     19.391
  335.5195   -47.0338   348.5791   -54.6800     22.900   329.6496   -74.4813     19.392
  335.5409   -47.0816   348.4928   -54.6764     22.900   329.4457   -74.4590     19.393
  335.5624   -47.1295   348.4066   -54.6728     22.900   329.2425   -74.4366     19.394
  335.5838   -47.1773   348.3203   -54.6692     22.900   329.0398   -74.4141     19.396
  335.6053   -47.2251   348.2341   -54.6654     22.900   328.8376   -74.3913     19.397
  335.6269   -47.2729   348.1479   -54.6616     22.900   328.6360   -74.3684     19.398
  335.6485   -47.3207   348.0618   -54.6578     22.900   328.4350   -74.3454     19.399
  335.6701   -47.3685   347.9756   -54.6538     22.900   328.2346   -74.3221     19.401
  335.6918   -47.4163   347.8894   -54.6499     22.900   328.0347   -74.2988     19.402
  335.7135   -47.4641   347.8033   -54.6458     22.900   327.8354   -74.2752     19.403
  335.7352   -47.5119   347.7172   -54.6417     22.900   327.6366   -74.2515     19.404
  335.7570   -47.5597   347.6311   -54.6375     22.900   327.4385   -74.2276     19.406
  335.7788   -47.6075   347.5450   -54.6333     22.900   327.2409   -74.2036     19.407
  335.8007   -47.6553   347.4590   -54.6290     22.900   327.0439   -74.1794     19.408
  335.8226   -47.7030   347.3729   -54.6247     22.900   326.8474   -74.1550     19.410
  335.8445   -47.7508   347.2869   -54.6203     22.900   326.6516   -74.1305     19.411
  335.8665   -47.7986   347.2009   -54.6158     22.900   326.4563   -74.1058     19.412
  335.8885   -47.8463   347.1149   -54.6112     22.900   326.2616   -74.0810     19.414
  335.9106   -47.8941   347.0289   -54.6067     22.900   326.0675   -74.0560     19.415
  335.9327   -47.9419   346.9430   -54.6020     22.900   325.8740   -74.0309     19.416
  335.9548   -47.9896   346.8571   -54.5973     22.900   325.6810   -74.0056     19.417
  335.9770   -48.0373   346.7712   -54.5925     22.900   325.4886   -73.9801     19.419
  335.9992   -48.0851   346.6853   -54.5877     22.900   325.2968   -73.9545     19.420
  336.0215   -48.1328   346.5994   -54.5828     22.900   325.1056   -73.9288     19.421
  336.0438   -48.1806   346.5136   -54.5778     22.900   324.9150   -73.9029     19.423
  336.0661   -48.2283   346.4277   -54.5728     22.900   324.7250   -73.8768     19.424
  336.0885   -48.2760   346.3419   -54.5677     22.900   324.5355   -73.8506     19.425
  336.1109   -48.3237   346.2562   -54.5625     22.900   324.3467   -73.8243     19.427
  336.1334   -48.3715   346.1704   -54.5573     22.900   324.1584   -73.7978     19.428
  336.1559   -48.4192   346.0847   -54.5521     22.900   323.9707   -73.7712     19.430
  336.1785   -48.4669   345.9990   -54.5467     22.900   323.7836   -73.7444     19.431
  336.2011   -48.5146   345.9133   -54.5414     22.900   323.5971   -73.7174     19.432
  336.2237   -48.5623   345.8276   -54.5359     22.900   323.4111   -73.6904     19.434
  336.2464   -48.6100   345.7419   -54.5304     22.900   323.2258   -73.6631     19.435
  336.2691   -48.6577   345.6563   -54.5248     22.900   323.0411   -73.6358     19.436
  336.2919   -48.7054   345.5707   -54.5192     22.900   322.8569   -73.6083     19.438
  336.3147   -48.7530   345.4852   -54.5135     22.900   322.6733   -73.5806     19.439
  336.3375   -48.8007   345.3996   -54.5077     22.900   322.4903   -73.5528     19.441
  336.3604   -48.8484   345.3141   -54.5019     22.900   322.3079   -73.5249     19.442
