#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  258.9730    21.0052    42.6804    29.9920     45.000    52.6666    34.0963     40.127
  258.9206    21.0154    42.6721    30.0415     45.000    52.6628    34.1522     40.129
  258.8681    21.0255    42.6638    30.0910     45.000    52.6590    34.2081     40.131
  258.8157    21.0357    42.6554    30.1405     45.000    52.6552    34.2640     40.134
  258.7632    21.0458    42.6471    30.1899     45.000    52.6514    34.3199     40.136
  258.7108    21.0559    42.6387    30.2394     45.000    52.6476    34.3757     40.138
  258.6583    21.0659    42.6303    30.2889     45.000    52.6438    34.4316     40.140
  258.6058    21.0760    42.6220    30.3384     45.000    52.6400    34.4875     40.143
  258.5533    21.0860    42.6136    30.3878     45.000    52.6362    34.5434     40.145
  258.5008    21.0961    42.6052    30.4373     45.000    52.6325    34.5992     40.147
  258.4483    21.1061    42.5968    30.4868     45.000    52.6287    34.6551     40.149
  258.3958    21.1161    42.5884    30.5362     45.000    52.6249    34.7110     40.152
  258.3432    21.1260    42.5799    30.5857     45.000    52.6212    34.7668     40.154
  258.2907    21.1360    42.5715    30.6352     45.000    52.6174    34.8227     40.156
  258.2382    21.1460    42.5631    30.6847     45.000    52.6137    34.8785     40.158
  258.1856    21.1559    42.5546    30.7341     45.000    52.6099    34.9344     40.161
  258.1331    21.1658    42.5462    30.7836     45.000    52.6062    34.9902     40.163
  258.0805    21.1757    42.5377    30.8331     45.000    52.6025    35.0460     40.165
  258.0280    21.1856    42.5292    30.8825     45.000    52.5987    35.1019     40.167
  257.9754    21.1955    42.5208    30.9320     45.000    52.5950    35.1577     40.170
  257.9228    21.2053    42.5123    30.9815     45.000    52.5913    35.2136     40.172
  257.8702    21.2151    42.5038    31.0309     45.000    52.5876    35.2694     40.174
  257.8176    21.2250    42.4953    31.0804     45.000    52.5838    35.3252     40.177
  257.7650    21.2348    42.4867    31.1299     45.000    52.5801    35.3810     40.179
  257.7124    21.2445    42.4782    31.1793     45.000    52.5764    35.4368     40.181
  257.6598    21.2543    42.4697    31.2288     45.000    52.5727    35.4927     40.184
  257.6072    21.2641    42.4611    31.2783     45.000    52.5690    35.5485     40.186
  257.5546    21.2738    42.4526    31.3277     45.000    52.5653    35.6043     40.188
  257.5019    21.2835    42.4440    31.3772     45.000    52.5616    35.6601     40.191
  257.4493    21.2932    42.4355    31.4266     45.000    52.5580    35.7159     40.193
  257.3966    21.3029    42.4269    31.4761     45.000    52.5543    35.7717     40.195
  257.3440    21.3126    42.4183    31.5256     45.000    52.5506    35.8275     40.198
  257.2913    21.3222    42.4097    31.5750     45.000    52.5469    35.8833     40.200
  257.2387    21.3319    42.4011    31.6245     45.000    52.5433    35.9391     40.202
  257.1860    21.3415    42.3925    31.6739     45.000    52.5396    35.9949     40.205
  257.1333    21.3511    42.3838    31.7234     45.000    52.5359    36.0506     40.207
  257.0806    21.3607    42.3752    31.7729     45.000    52.5323    36.1064     40.209
  257.0279    21.3703    42.3666    31.8223     45.000    52.5286    36.1622     40.212
  256.9752    21.3798    42.3579    31.8718     45.000    52.5250    36.2180     40.214
  256.9225    21.3893    42.3493    31.9212     45.000    52.5214    36.2737     40.217
  256.8698    21.3989    42.3406    31.9707     45.000    52.5177    36.3295     40.219
  256.8171    21.4084    42.3319    32.0201     45.000    52.5141    36.3853     40.221
  256.7643    21.4179    42.3232    32.0696     45.000    52.5105    36.4410     40.224
  256.7116    21.4273    42.3145    32.1191     45.000    52.5068    36.4968     40.226
  256.6588    21.4368    42.3058    32.1685     45.000    52.5032    36.5525     40.229
  256.6061    21.4462    42.2971    32.2180     45.000    52.4996    36.6083     40.231
  256.5533    21.4557    42.2884    32.2674     45.000    52.4960    36.6640     40.233
  256.5006    21.4651    42.2796    32.3169     45.000    52.4924    36.7198     40.236
  256.4478    21.4745    42.2709    32.3663     45.000    52.4888    36.7755     40.238
  256.3950    21.4838    42.2621    32.4158     45.000    52.4852    36.8312     40.241
  256.3422    21.4932    42.2533    32.4652     45.000    52.4816    36.8870     40.243
  256.2894    21.5025    42.2446    32.5147     45.000    52.4780    36.9427     40.246
  256.2366    21.5118    42.2358    32.5641     45.000    52.4744    36.9984     40.248
  256.1838    21.5212    42.2270    32.6136     45.000    52.4708    37.0541     40.250
  256.1310    21.5304    42.2182    32.6630     45.000    52.4672    37.1098     40.253
  256.0782    21.5397    42.2094    32.7125     45.000    52.4637    37.1656     40.255
  256.0254    21.5490    42.2005    32.7619     45.000    52.4601    37.2213     40.258
  255.9725    21.5582    42.1917    32.8113     45.000    52.4565    37.2770     40.260
  255.9197    21.5674    42.1829    32.8608     45.000    52.4530    37.3327     40.263
  255.8668    21.5767    42.1740    32.9102     45.000    52.4494    37.3884     40.265
  255.8140    21.5858    42.1652    32.9597     45.000    52.4459    37.4441     40.268
  255.7611    21.5950    42.1563    33.0091     45.000    52.4423    37.4998     40.270
  255.7083    21.6042    42.1474    33.0586     45.000    52.4388    37.5554     40.273
  255.6554    21.6133    42.1385    33.1080     45.000    52.4353    37.6111     40.275
  255.6025    21.6224    42.1296    33.1574     45.000    52.4317    37.6668     40.278
  255.5496    21.6315    42.1207    33.2069     45.000    52.4282    37.7225     40.280
  255.4967    21.6406    42.1118    33.2563     45.000    52.4247    37.7782     40.283
  255.4438    21.6497    42.1028    33.3058     45.000    52.4211    37.8338     40.285
  255.3909    21.6588    42.0939    33.3552     45.000    52.4176    37.8895     40.288
  255.3380    21.6678    42.0849    33.4046     45.000    52.4141    37.9452     40.290
  255.2851    21.6768    42.0760    33.4541     45.000    52.4106    38.0008     40.293
  255.2322    21.6858    42.0670    33.5035     45.000    52.4071    38.0565     40.295
  255.1792    21.6948    42.0580    33.5529     45.000    52.4036    38.1121     40.298
  255.1263    21.7038    42.0490    33.6024     45.000    52.4001    38.1678     40.300
  255.0734    21.7128    42.0400    33.6518     45.000    52.3966    38.2234     40.303
  255.0204    21.7217    42.0310    33.7013     45.000    52.3931    38.2791     40.305
  254.9674    21.7306    42.0220    33.7507     45.000    52.3897    38.3347     40.308
  254.9145    21.7395    42.0129    33.8001     45.000    52.3862    38.3903     40.310
  254.8615    21.7484    42.0039    33.8495     45.000    52.3827    38.4460     40.313
  254.8085    21.7573    41.9948    33.8990     45.000    52.3792    38.5016     40.315
  254.7555    21.7661    41.9858    33.9484     45.000    52.3758    38.5572     40.318
  254.7025    21.7750    41.9767    33.9978     45.000    52.3723    38.6128     40.321
  254.6495    21.7838    41.9676    34.0473     45.000    52.3689    38.6685     40.323
  254.5965    21.7926    41.9585    34.0967     45.000    52.3654    38.7241     40.326
  254.5435    21.8014    41.9494    34.1461     45.000    52.3620    38.7797     40.328
