#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
   64.1685   -23.2144   219.9922   -43.7126     -1.000    -1.0000    -1.0000     -1.000
   64.1944   -23.2584   220.0598   -43.7019     -1.000    -1.0000    -1.0000     -1.000
   64.2203   -23.3023   220.1273   -43.6911     -1.000    -1.0000    -1.0000     -1.000
   64.2463   -23.3463   220.1948   -43.6803     -1.000    -1.0000    -1.0000     -1.000
   64.2722   -23.3903   220.2623   -43.6694     -1.000    -1.0000    -1.0000     -1.000
   64.2982   -23.4342   220.3297   -43.6585     -1.000    -1.0000    -1.0000     -1.000
   64.3242   -23.4781   220.3972   -43.6475     -1.000    -1.0000    -1.0000     -1.000
   64.3502   -23.5221   220.4646   -43.6366     -1.000    -1.0000    -1.0000     -1.000
   64.3763   -23.5660   220.5320   -43.6255     -1.000    -1.0000    -1.0000     -1.000
   64.4023   -23.6100   220.5993   -43.6145     -1.000    -1.0000    -1.0000     -1.000
   64.4284   -23.6539   220.6666   -43.6034     -1.000    -1.0000    -1.0000     -1.000
   64.4545   -23.6978   220.7339   -43.5922     -1.000    -1.0000    -1.0000     -1.000
   64.4806   -23.7417   220.8012   -43.5810     -1.000    -1.0000    -1.0000     -1.000
   64.5067   -23.7856   220.8685   -43.5698     -1.000    -1.0000    -1.0000     -1.000
   64.5328   -23.8296   220.9357   -43.5585     -1.000    -1.0000    -1.0000     -1.000
   64.5590   -23.8735   221.0029   -43.5472     -1.000    -1.0000    -1.0000     -1.000
   64.5852   -23.9174   221.0701   -43.5359     -1.000    -1.0000    -1.0000     -1.000
   64.6114   -23.9613   221.1373   -43.5245     -1.000    -1.0000    -1.0000     -1.000
   64.6376   -24.0052   221.2044   -43.5131     -1.000    -1.0000    -1.0000     -1.000
   64.6638   -24.0490   221.2715   -43.5016     -1.000    -1.0000    -1.0000     -1.000
   64.6900   -24.0929   221.3386   -43.4901     -1.000    -1.0000    -1.0000     -1.000
   64.7163   -24.1368   221.4056   -43.4786     -1.000    -1.0000    -1.0000     -1.000
   64.7426   -24.1807   221.4726   -43.4670     -1.000    -1.0000    -1.0000     -1.000
   64.7689   -24.2245   221.5396   -43.4554     -1.000    -1.0000    -1.0000     -1.000
   64.7952   -24.2684   221.6066   -43.4438     -1.000    -1.0000    -1.0000     -1.000
   64.8215   -24.3123   221.6736   -43.4321     -1.000    -1.0000    -1.0000     -1.000
   64.8479   -24.3561   221.7405   -43.4203     -1.000    -1.0000    -1.0000     -1.000
   64.8743   -24.4000   221.8074   -43.4086     -1.000    -1.0000    -1.0000     -1.000
   64.9007   -24.4438   221.8743   -43.3968     -1.000    -1.0000    -1.0000     -1.000
   64.9271   -24.4877   221.9411   -43.3849     -1.000    -1.0000    -1.0000     -1.000
   64.9535   -24.5315   222.0079   -43.3730     -1.000    -1.0000    -1.0000     -1.000
   64.9799   -24.5753   222.0747   -43.3611     -1.000    -1.0000    -1.0000     -1.000
   65.0064   -24.6192   222.1415   -43.3491     -1.000    -1.0000    -1.0000     -1.000
   65.0329   -24.6630   222.2082   -43.3371     -1.000    -1.0000    -1.0000     -1.000
   65.0594   -24.7068   222.2749   -43.3251     -1.000    -1.0000    -1.0000     -1.000
   65.0859   -24.7506   222.3416   -43.3130     -1.000    -1.0000    -1.0000     -1.000
   65.1124   -24.7944   222.4083   -43.3009     -1.000    -1.0000    -1.0000     -1.000
   65.1390   -24.8382   222.4749   -43.2887     -1.000    -1.0000    -1.0000     -1.000
   65.1656   -24.8820   222.5415   -43.2765     -1.000    -1.0000    -1.0000     -1.000
   65.1922   -24.9258   222.6081   -43.2643     -1.000    -1.0000    -1.0000     -1.000
   65.2188   -24.9696   222.6747   -43.2520     -1.000    -1.0000    -1.0000     -1.000
   65.2454   -25.0134   222.7412   -43.2397     -1.000    -1.0000    -1.0000     -1.000
   65.2721   -25.0572   222.8077   -43.2273     -1.000    -1.0000    -1.0000     -1.000
   65.2987   -25.1010   222.8742   -43.2149     -1.000    -1.0000    -1.0000     -1.000
   65.3254   -25.1448   222.9406   -43.2025     -1.000    -1.0000    -1.0000     -1.000
   65.3521   -25.1885   223.0070   -43.1900     -1.000    -1.0000    -1.0000     -1.000
   65.3789   -25.2323   223.0734   -43.1775     -1.000    -1.0000    -1.0000     -1.000
