# RA           DEC          D_kpc    flag  
  143.949145   29.978413    8.056    0     
  140.650204   27.944349    8.168    0     
  123.919591   -5.181885    15.226   0     
  147.10635    33.393978    8.051    0     
  128.822522   4.835637     10.932   0     
  145.571898   31.77462     8.043    0     
  143.980634   31.044628    8.055    0     
  182.233312   53.934117    9.717    0     
  138.203329   24.225997    8.36     0     
  153.369028   41.83493     8.215    0     
  188.113688   55.194933    10.026   0     
  121.147434   -12.896798   18.573   0     
  228.393059   56.586385    12.031   0     
  132.921539   14.098312    9.309    0     
  159.970479   44.606276    8.514    0     
  183.613272   54.319091    9.79     0     
  140.703702   23.014112    8.165    0     
  137.415024   20.418872    8.448    0     
  130.949671   4.806773     9.958    0     
  131.746049   8.793135     9.67     0     
  182.279694   55.679674    9.72     0     
  171.140753   53.072455    9.115    0     
  134.704905   16.33188     8.881    0     
  139.753063   25.680523    8.226    0     
  142.032481   26.671546    8.104    0     
  146.539873   34.058433    8.046    0     
  144.486587   31.596727    8.049    0     
  150.252596   38.691404    8.112    0     
  126.245638   -6.737552    12.689   0     
  121.42024    -12.566185   18.244   0     
  124.902892   -3.252589    14.039   0     
  152.371236   38.493432    8.178    0     
  224.835971   55.860279    11.857   0     
  126.411457   -4.327298    12.548   0     
  172.036992   51.178177    9.165    0     
  137.623611   19.070487    8.423    0     
  156.606899   44.659092    8.352    0     
  181.131691   56.66381     9.659    0     
  123.789423   -5.262979    15.384   0     
  156.857243   43.199449    8.363    0     
  153.886372   40.057112    8.235    0     
  136.967327   20.643852    8.505    0     
  193.746823   57.04477     10.315   0     
  137.980463   19.819743    8.383    0     
  134.41751    15.093116    8.942    0     
  175.842502   54.030078    9.373    0     
  124.422647   -10.568351   14.619   0     
  124.146799   -6.770693    14.952   0     
  146.657886   35.817365    8.047    0     
  213.742472   58.585726    11.312   0     
  155.602549   44.558249    8.307    0     
  134.600001   12.885846    8.903    0     
  137.123951   20.03942     8.484    0     
  215.049149   59.559647    11.377   0     
  129.113452   0.736633     10.779   0     
  159.105963   46.372264    8.471    0     
  160.952496   45.610012    8.564    0     
  169.652954   49.44558     9.033    0     
  193.405937   56.734015    10.297   0     
  178.300986   53.822539    9.506    0     
  159.374186   44.326889    8.484    0     
  123.477187   -13.692475   15.761   0     
  137.807678   23.223206    8.402    0     
  139.955683   21.161833    8.212    0     
  230.641338   56.283511    12.142   0     
  140.488761   25.091501    8.178    0     
  130.241727   3.936276     10.246   0     
  125.898664   -1.806146    12.998   0     
  151.853032   37.953155    8.161    0     
  158.95406    43.868496    8.463    0     
  209.00883    58.092662    11.078   0     
  122.079327   -14.101071   17.448   0     
  206.506796   59.12618     10.954   0     
  131.222241   8.620315     9.855    0     
  131.003364   5.923952     9.937    0     
  120.820774   -15.886351   18.968   0     
  154.995778   42.021153    8.281    0     
  159.893247   46.570074    8.51     0     
  128.227128   -0.501051    11.271   0     
  159.685572   46.426031    8.5      0     
  168.132652   49.675361    8.95     0     
  166.718659   49.657183    8.872    0     
  227.006505   57.554817    11.963   0     
  127.448085   -2.088636    11.768   0     
  148.048701   36.068986    8.064    0     
  150.36254    35.869132    8.115    0     
  136.447235   20.842534    8.578    0     
  125.823804   -4.304719    13.068   0     
  138.635595   19.874162    8.317    0     
  171.293825   50.451348    9.124    0     
  135.097025   18.04779     8.804    0     
  137.081382   21.090762    8.49     0     
  150.961454   38.989459    8.132    0     
  159.402742   46.624302    8.486    0     
  175.969148   54.997965    9.38     0     
  207.101501   59.054384    10.984   0     
  156.469147   42.726087    8.345    0     
  234.438984   54.495441    12.328   0     
  213.473255   59.794546    11.299   0     
  141.391586   25.225298    8.131    0     
  128.563888   4.932645     11.075   0     
  151.467929   40.537684    8.148    0     
  129.917037   6.302357     10.39    0     
  145.54104    32.927522    8.043    0     
  154.588135   39.963521    8.264    0     
  120.910219   -13.140456   18.86    0     
  153.837333   39.333376    8.233    0     
