# degrees, kpc
# #RA   DEC  Rhel
19.00 -23.90 20.0
19.12 -23.91 20.0
19.24 -23.93 20.0
19.36 -23.94 20.0
19.48 -23.95 20.0
19.61 -23.97 20.0
19.73 -23.98 20.0
19.85 -24.00 20.0
19.97 -24.01 20.0
20.09 -24.03 20.0
20.21 -24.04 20.0
20.33 -24.06 20.0
20.45 -24.08 20.0
20.58 -24.09 20.0
20.70 -24.11 20.0
20.82 -24.13 20.0
20.94 -24.14 20.0
21.06 -24.16 20.0
21.18 -24.18 20.0
21.30 -24.20 20.0
21.42 -24.22 20.0
21.55 -24.24 20.0
21.67 -24.26 20.0
21.79 -24.28 20.0
21.91 -24.30 20.0
22.03 -24.33 20.0
22.15 -24.35 20.0
22.27 -24.37 20.0
22.39 -24.40 20.0
22.52 -24.42 20.0
22.64 -24.45 20.0
22.76 -24.48 20.0
22.88 -24.50 20.0
23.00 -24.53 20.0
23.12 -24.56 20.0
23.24 -24.59 20.0
23.36 -24.62 20.0
23.48 -24.65 20.0
23.61 -24.69 20.0
23.73 -24.72 20.0
23.85 -24.75 20.0
23.97 -24.79 20.0
24.09 -24.83 20.0
24.21 -24.86 20.0
24.33 -24.90 20.0
24.45 -24.94 20.0
24.58 -24.98 20.0
24.70 -25.03 20.0
24.82 -25.07 20.0
24.94 -25.11 20.0
25.06 -25.16 20.0
25.18 -25.21 20.0
25.30 -25.25 20.0
25.42 -25.30 20.0
25.55 -25.35 20.0
25.67 -25.40 20.0
25.79 -25.46 20.0
25.91 -25.51 20.0
26.03 -25.57 20.0
26.15 -25.63 20.0
26.27 -25.68 20.0
26.39 -25.74 20.0
26.52 -25.81 20.0
26.64 -25.87 20.0
26.76 -25.93 20.0
26.88 -26.00 20.0
27.00 -26.07 20.0
27.12 -26.14 20.0
27.24 -26.21 20.0
27.36 -26.28 20.0
27.48 -26.35 20.0
27.61 -26.43 20.0
27.73 -26.51 20.0
27.85 -26.59 20.0
27.97 -26.67 20.0
28.09 -26.75 20.0
28.21 -26.84 20.0
28.33 -26.92 20.0
28.45 -27.01 20.0
28.58 -27.10 20.0
28.70 -27.19 20.0
28.82 -27.29 20.0
28.94 -27.38 20.0
29.06 -27.48 20.0
29.18 -27.58 20.0
29.30 -27.68 20.0
29.42 -27.79 20.0
29.55 -27.89 20.0
29.67 -28.00 20.0
29.79 -28.11 20.0
29.91 -28.22 20.0
30.03 -28.34 20.0
30.15 -28.45 20.0
30.27 -28.57 20.0
30.39 -28.69 20.0
30.52 -28.81 20.0
30.64 -28.94 20.0
30.76 -29.07 20.0
30.88 -29.20 20.0
31.00 -29.33 20.0
