# degrees, kpc
# #RA   DEC  Rhel
10.26 -24.50 20.0
10.07 -24.37 20.0
9.89 -24.25 20.0
9.70 -24.12 20.0
9.52 -23.99 20.0
9.33 -23.87 20.0
9.15 -23.74 20.0
8.97 -23.62 20.0
8.78 -23.49 20.0
8.60 -23.36 20.0
8.42 -23.24 20.0
8.24 -23.11 20.0
8.06 -22.98 20.0
7.88 -22.86 20.0
7.70 -22.73 20.0
7.53 -22.61 20.0
7.35 -22.48 20.0
7.17 -22.35 20.0
7.00 -22.23 20.0
6.82 -22.10 20.0
6.65 -21.97 20.0
6.47 -21.85 20.0
6.30 -21.72 20.0
6.12 -21.60 20.0
5.95 -21.47 20.0
5.78 -21.34 20.0
5.61 -21.22 20.0
5.44 -21.09 20.0
5.27 -20.96 20.0
5.10 -20.84 20.0
4.93 -20.71 20.0
4.76 -20.59 20.0
4.59 -20.46 20.0
4.42 -20.33 20.0
4.26 -20.21 20.0
4.09 -20.08 20.0
3.92 -19.95 20.0
3.76 -19.83 20.0
3.59 -19.70 20.0
3.43 -19.58 20.0
3.27 -19.45 20.0
3.10 -19.32 20.0
2.94 -19.20 20.0
2.78 -19.07 20.0
2.62 -18.94 20.0
2.46 -18.82 20.0
2.30 -18.69 20.0
2.14 -18.57 20.0
1.98 -18.44 20.0
1.82 -18.31 20.0
1.66 -18.19 20.0
1.51 -18.06 20.0
1.35 -17.93 20.0
1.19 -17.81 20.0
1.04 -17.68 20.0
0.88 -17.56 20.0
0.73 -17.43 20.0
0.58 -17.30 20.0
0.42 -17.18 20.0
0.27 -17.05 20.0
0.12 -16.92 20.0
359.97 -16.80 20.0
359.82 -16.67 20.0
359.67 -16.55 20.0
359.52 -16.42 20.0
359.37 -16.29 20.0
359.22 -16.17 20.0
359.07 -16.04 20.0
358.92 -15.91 20.0
358.78 -15.79 20.0
358.63 -15.66 20.0
358.49 -15.54 20.0
358.34 -15.41 20.0
358.20 -15.28 20.0
358.05 -15.16 20.0
357.91 -15.03 20.0
357.77 -14.90 20.0
357.63 -14.78 20.0
357.48 -14.65 20.0
357.34 -14.53 20.0
357.20 -14.40 20.0
357.06 -14.27 20.0
356.93 -14.15 20.0
356.79 -14.02 20.0
356.65 -13.89 20.0
356.51 -13.77 20.0
356.37 -13.64 20.0
356.24 -13.52 20.0
356.10 -13.39 20.0
355.97 -13.26 20.0
355.83 -13.14 20.0
355.70 -13.01 20.0
355.57 -12.88 20.0
355.43 -12.76 20.0
355.30 -12.63 20.0
355.17 -12.51 20.0
355.04 -12.38 20.0
354.91 -12.25 20.0
354.78 -12.13 20.0
354.65 -12.00 20.0
