# degrees, kpc
# #RA   DEC  Rhel
0.00 -25.51 20.0
0.04 -25.51 20.0
0.07 -25.50 20.0
0.11 -25.50 20.0
0.14 -25.49 20.0
0.18 -25.48 20.0
0.22 -25.48 20.0
0.25 -25.47 20.0
0.29 -25.47 20.0
0.32 -25.46 20.0
0.36 -25.45 20.0
0.40 -25.45 20.0
0.43 -25.44 20.0
0.47 -25.44 20.0
0.50 -25.43 20.0
0.54 -25.43 20.0
0.58 -25.42 20.0
0.61 -25.41 20.0
0.65 -25.41 20.0
0.68 -25.40 20.0
0.72 -25.40 20.0
0.76 -25.39 20.0
0.79 -25.38 20.0
0.83 -25.38 20.0
0.86 -25.37 20.0
0.90 -25.37 20.0
0.94 -25.36 20.0
0.97 -25.36 20.0
1.01 -25.35 20.0
1.04 -25.34 20.0
1.08 -25.34 20.0
1.12 -25.33 20.0
1.15 -25.33 20.0
1.19 -25.32 20.0
1.22 -25.32 20.0
1.26 -25.31 20.0
1.30 -25.30 20.0
1.33 -25.30 20.0
1.37 -25.29 20.0
1.40 -25.29 20.0
1.44 -25.28 20.0
1.48 -25.28 20.0
1.51 -25.27 20.0
1.55 -25.27 20.0
1.58 -25.26 20.0
1.62 -25.25 20.0
1.66 -25.25 20.0
1.69 -25.24 20.0
1.73 -25.24 20.0
1.76 -25.23 20.0
1.80 -25.23 20.0
1.84 -25.22 20.0
1.87 -25.22 20.0
1.91 -25.21 20.0
1.94 -25.21 20.0
1.98 -25.20 20.0
2.02 -25.20 20.0
2.05 -25.19 20.0
2.09 -25.18 20.0
2.12 -25.18 20.0
2.16 -25.17 20.0
2.20 -25.17 20.0
2.23 -25.16 20.0
2.27 -25.16 20.0
2.30 -25.15 20.0
2.34 -25.15 20.0
2.38 -25.14 20.0
2.41 -25.14 20.0
2.45 -25.13 20.0
2.48 -25.13 20.0
2.52 -25.12 20.0
2.56 -25.12 20.0
2.59 -25.11 20.0
2.63 -25.11 20.0
2.66 -25.10 20.0
2.70 -25.10 20.0
2.74 -25.09 20.0
2.77 -25.09 20.0
2.81 -25.08 20.0
2.84 -25.08 20.0
2.88 -25.07 20.0
2.92 -25.07 20.0
2.95 -25.06 20.0
2.99 -25.06 20.0
3.02 -25.05 20.0
3.06 -25.05 20.0
3.10 -25.04 20.0
3.13 -25.04 20.0
3.17 -25.03 20.0
3.20 -25.03 20.0
3.24 -25.02 20.0
3.28 -25.02 20.0
3.31 -25.01 20.0
3.35 -25.01 20.0
3.38 -25.00 20.0
3.42 -25.00 20.0
3.46 -24.99 20.0
3.49 -24.99 20.0
3.53 -24.99 20.0
3.56 -24.98 20.0
3.60 -24.98 20.0
3.64 -24.97 20.0
3.67 -24.97 20.0
3.71 -24.96 20.0
3.74 -24.96 20.0
3.78 -24.95 20.0
3.82 -24.95 20.0
3.85 -24.94 20.0
3.89 -24.94 20.0
3.92 -24.94 20.0
3.96 -24.93 20.0
4.00 -24.93 20.0
4.03 -24.92 20.0
4.07 -24.92 20.0
4.10 -24.91 20.0
4.14 -24.91 20.0
4.18 -24.91 20.0
4.21 -24.90 20.0
4.25 -24.90 20.0
4.28 -24.89 20.0
4.32 -24.89 20.0
4.36 -24.88 20.0
4.39 -24.88 20.0
4.43 -24.88 20.0
4.46 -24.87 20.0
4.50 -24.87 20.0
4.54 -24.86 20.0
4.57 -24.86 20.0
4.61 -24.86 20.0
4.64 -24.85 20.0
4.68 -24.85 20.0
4.72 -24.84 20.0
4.75 -24.84 20.0
4.79 -24.84 20.0
4.82 -24.83 20.0
4.86 -24.83 20.0
4.90 -24.82 20.0
4.93 -24.82 20.0
4.97 -24.82 20.0
5.00 -24.81 20.0
5.04 -24.81 20.0
5.08 -24.81 20.0
5.11 -24.80 20.0
5.15 -24.80 20.0
5.18 -24.79 20.0
5.22 -24.79 20.0
5.26 -24.79 20.0
5.29 -24.78 20.0
5.33 -24.78 20.0
5.36 -24.78 20.0
5.40 -24.77 20.0
5.44 -24.77 20.0
5.47 -24.77 20.0
5.51 -24.76 20.0
5.54 -24.76 20.0
5.58 -24.76 20.0
5.62 -24.75 20.0
5.65 -24.75 20.0
5.69 -24.75 20.0
5.72 -24.74 20.0
5.76 -24.74 20.0
5.80 -24.74 20.0
5.83 -24.73 20.0
5.87 -24.73 20.0
5.90 -24.73 20.0
5.94 -24.72 20.0
5.98 -24.72 20.0
6.01 -24.72 20.0
6.05 -24.71 20.0
6.08 -24.71 20.0
6.12 -24.71 20.0
6.16 -24.70 20.0
6.19 -24.70 20.0
6.23 -24.70 20.0
6.26 -24.70 20.0
6.30 -24.69 20.0
6.34 -24.69 20.0
6.37 -24.69 20.0
6.41 -24.68 20.0
6.44 -24.68 20.0
6.48 -24.68 20.0
6.52 -24.68 20.0
6.55 -24.67 20.0
6.59 -24.67 20.0
6.62 -24.67 20.0
6.66 -24.66 20.0
6.70 -24.66 20.0
6.73 -24.66 20.0
6.77 -24.66 20.0
6.80 -24.65 20.0
6.84 -24.65 20.0
6.88 -24.65 20.0
6.91 -24.65 20.0
6.95 -24.65 20.0
6.98 -24.64 20.0
7.02 -24.64 20.0
7.06 -24.64 20.0
7.09 -24.64 20.0
7.13 -24.63 20.0
7.16 -24.63 20.0
7.20 -24.63 20.0
7.24 -24.63 20.0
7.27 -24.62 20.0
7.31 -24.62 20.0
7.34 -24.62 20.0
7.38 -24.62 20.0
7.42 -24.62 20.0
7.45 -24.61 20.0
7.49 -24.61 20.0
7.52 -24.61 20.0
7.56 -24.61 20.0
7.60 -24.61 20.0
7.63 -24.61 20.0
7.67 -24.60 20.0
7.70 -24.60 20.0
7.74 -24.60 20.0
7.78 -24.60 20.0
7.81 -24.60 20.0
7.85 -24.60 20.0
7.88 -24.59 20.0
7.92 -24.59 20.0
7.96 -24.59 20.0
7.99 -24.59 20.0
8.03 -24.59 20.0
8.06 -24.59 20.0
8.10 -24.58 20.0
8.14 -24.58 20.0
8.17 -24.58 20.0
8.21 -24.58 20.0
8.24 -24.58 20.0
8.28 -24.58 20.0
8.32 -24.58 20.0
8.35 -24.58 20.0
8.39 -24.57 20.0
8.42 -24.57 20.0
8.46 -24.57 20.0
8.50 -24.57 20.0
8.53 -24.57 20.0
8.57 -24.57 20.0
8.60 -24.57 20.0
8.64 -24.57 20.0
8.68 -24.57 20.0
8.71 -24.57 20.0
8.75 -24.57 20.0
8.78 -24.56 20.0
8.82 -24.56 20.0
8.86 -24.56 20.0
8.89 -24.56 20.0
8.93 -24.56 20.0
8.96 -24.56 20.0
9.00 -24.56 20.0
9.04 -24.56 20.0
9.07 -24.56 20.0
9.11 -24.56 20.0
9.14 -24.56 20.0
9.18 -24.56 20.0
9.22 -24.56 20.0
9.25 -24.56 20.0
9.29 -24.56 20.0
9.32 -24.56 20.0
9.36 -24.56 20.0
9.40 -24.56 20.0
9.43 -24.56 20.0
9.47 -24.56 20.0
9.50 -24.56 20.0
9.54 -24.56 20.0
9.58 -24.56 20.0
9.61 -24.56 20.0
9.65 -24.56 20.0
9.68 -24.56 20.0
9.72 -24.56 20.0
9.76 -24.56 20.0
9.79 -24.56 20.0
9.83 -24.56 20.0
9.86 -24.56 20.0
