#      RA     DEC  D_kpc
  335.50   -32.99   66.7
  335.36   -33.38   65.9
  335.23   -33.76   65.0
  335.09   -34.15   64.1
  334.95   -34.53   63.2
  334.81   -34.91   62.3
  334.67   -35.30   61.3
  334.53   -35.68   60.4
  334.38   -36.06   59.4
  334.23   -36.44   58.4
  334.09   -36.83   57.4
  333.94   -37.21   56.4
  333.78   -37.59   55.4
  333.63   -37.97   54.4
  333.47   -38.35   53.4
  333.32   -38.74   52.4
  333.16   -39.12   51.4
  332.99   -39.50   50.5
  332.83   -39.88   49.5
  332.66   -40.26   48.6
  332.50   -40.64   47.7
  332.33   -41.02   46.9
  332.15   -41.40   46.1
  331.98   -41.78   45.3
  331.80   -42.15   44.7
  331.62   -42.53   44.0
  331.44   -42.91   43.4
  331.26   -43.29   42.9
  331.07   -43.67   42.5
  330.88   -44.04   42.1
  330.69   -44.42   41.7
  330.49   -44.79   41.4
  330.29   -45.17   41.1
  330.09   -45.55   40.9
  329.89   -45.92   40.7
  329.69   -46.30   40.5
  329.48   -46.67   40.3
  329.26   -47.04   40.1
  329.05   -47.42   40.0
  328.83   -47.79   39.9
  328.61   -48.16   39.7
  328.38   -48.53   39.6
  328.16   -48.91   39.5
  327.92   -49.28   39.3
  327.69   -49.65   39.1
  327.45   -50.02   39.0
  327.21   -50.39   38.8
  326.96   -50.76   38.6
  326.71   -51.13   38.4
  326.45   -51.49   38.2
  326.19   -51.86   38.0
  325.93   -52.23   37.8
  325.66   -52.60   37.6
  325.39   -52.96   37.3
  325.11   -53.33   37.1
  324.83   -53.69   36.8
  324.55   -54.05   36.6
  324.26   -54.42   36.3
  323.96   -54.78   36.1
  323.66   -55.14   35.8
  323.35   -55.50   35.5
  323.04   -55.86   35.3
  322.72   -56.22   35.0
  322.40   -56.58   34.7
  322.06   -56.94   34.4
  321.73   -57.30   34.1
  321.39   -57.65   33.8
  321.04   -58.01   33.6
  320.68   -58.36   33.3
  320.32   -58.72   33.0
  319.95   -59.07   32.7
  319.57   -59.42   32.4
  319.18   -59.77   32.1
  318.79   -60.12   31.8
  318.38   -60.47   31.5
  317.97   -60.82   31.3
  317.55   -61.16   31.0
  317.12   -61.51   30.7
  316.69   -61.85   30.4
  316.24   -62.19   30.1
  315.78   -62.53   29.9
  315.31   -62.87   29.6
  314.83   -63.21   29.3
  314.34   -63.54   29.1
  313.84   -63.88   28.8
  313.33   -64.21   28.6
  312.80   -64.54   28.3
  312.26   -64.87   28.1
  311.71   -65.19   27.9
  311.14   -65.52   27.7
  310.56   -65.84   27.4
  309.97   -66.16   27.2
