# degrees, kpc
# l   b  Rhel
43.50 +40.00 7.8
43.52 +40.25 7.8
43.53 +40.51 7.8
43.55 +40.76 7.8
43.56 +41.01 7.8
43.58 +41.26 7.8
43.59 +41.52 7.8
43.61 +41.77 7.8
43.62 +42.02 7.8
43.64 +42.27 7.8
43.65 +42.53 7.8
43.67 +42.78 7.8
43.69 +43.03 7.8
43.70 +43.28 7.8
43.72 +43.54 7.8
43.73 +43.79 7.8
43.75 +44.04 7.8
43.76 +44.29 7.8
43.77 +44.55 7.8
43.79 +44.80 7.8
43.80 +45.05 7.8
43.82 +45.30 7.8
43.83 +45.56 7.8
43.84 +45.81 7.8
43.86 +46.06 7.8
43.87 +46.31 7.8
43.88 +46.57 7.8
43.89 +46.82 7.8
43.90 +47.07 7.8
43.91 +47.32 7.8
43.92 +47.58 7.8
43.94 +47.83 7.8
43.94 +48.08 7.8
43.95 +48.33 7.8
43.96 +48.59 7.8
43.97 +48.84 7.8
43.98 +49.09 7.8
43.98 +49.34 7.8
43.99 +49.60 7.8
44.00 +49.85 7.8
44.00 +50.10 7.8
44.01 +50.35 7.8
44.01 +50.61 7.8
44.01 +50.86 7.8
44.02 +51.11 7.8
44.02 +51.36 7.8
44.02 +51.62 7.8
44.02 +51.87 7.8
44.02 +52.12 7.8
44.02 +52.37 7.8
44.01 +52.63 7.8
44.01 +52.88 7.8
44.01 +53.13 7.8
44.00 +53.38 7.8
44.00 +53.64 7.8
43.99 +53.89 7.8
43.98 +54.14 7.8
43.97 +54.39 7.8
43.96 +54.65 7.8
43.95 +54.90 7.8
43.94 +55.15 7.8
43.93 +55.40 7.8
43.92 +55.66 7.8
43.90 +55.91 7.8
43.89 +56.16 7.8
43.87 +56.41 7.8
43.85 +56.67 7.8
43.83 +56.92 7.8
43.81 +57.17 7.8
43.79 +57.42 7.8
43.77 +57.68 7.8
43.74 +57.93 7.8
43.72 +58.18 7.8
43.69 +58.43 7.8
43.67 +58.69 7.8
43.64 +58.94 7.8
43.61 +59.19 7.8
43.57 +59.44 7.8
43.54 +59.70 7.8
43.51 +59.95 7.8
43.47 +60.20 7.8
43.43 +60.45 7.8
43.40 +60.71 7.8
43.36 +60.96 7.8
43.31 +61.21 7.8
43.27 +61.46 7.8
43.23 +61.72 7.8
43.18 +61.97 7.8
43.13 +62.22 7.8
43.08 +62.47 7.8
43.03 +62.73 7.8
42.98 +62.98 7.8
42.93 +63.23 7.8
42.87 +63.48 7.8
42.81 +63.74 7.8
42.75 +63.99 7.8
42.69 +64.24 7.8
42.63 +64.49 7.8
42.57 +64.75 7.8
42.50 +65.00 7.8
