ShortName,FullName,GLON,GLAT,D,Mv,rh_arcmin,rh_pc,Type,Reference,Comment
Sgr,Sagittarius dSph,5.6,-14.2,26.0,-13.5,342.0,2587.0,1,McConnachie2012,
LMC,LMC,280.5,-32.9,51.0,-18.1,,,1,McConnachie2012,
SMC,SMC,302.8,-44.3,64.0,-16.8,,,1,McConnachie2012,
Dra,Draco,86.4,34.7,76.0,-8.8,10.0,221.0,1,McConnachie2012,
UMi,Ursa Minor,105.0,44.8,76.0,-8.8,8.2,181.0,1,McConnachie2012,
Scl,Sculptor,287.5,-83.2,86.0,-11.1,11.3,283.0,1,McConnachie2012,
SexI,Sextans (I),243.5,42.3,86.0,-9.3,27.8,695.0,1,McConnachie2012,
UMaI,Ursa Major (I),159.4,54.4,97.0,-5.5,11.3,319.0,1,McConnachie2012,
Car,Carina,260.1,-22.2,105.0,-9.1,8.2,250.0,1,McConnachie2012,
Her,Hercules,28.7,36.9,132.0,-6.6,8.6,330.0,1,McConnachie2012,
For,Fornax,237.1,-65.7,147.0,-13.4,16.6,710.0,1,McConnachie2012,
SegueI,Segue (I),220.5,50.4,23.0,-1.5,4.4,29.0,2,McConnachie2012,possibly GC?
UMaII,Ursa Major II,152.5,37.4,32.0,-4.2,16.0,149.0,2,McConnachie2012,
BooII,Bootes II,353.7,68.9,42.0,-2.7,4.2,51.0,2,McConnachie2012,
SegueII,Segue II,149.4,-38.1,35.0,-2.5,3.4,35.0,2,McConnachie2012,
Wil1,Willman 1,158.6,56.8,38.0,-2.7,2.3,25.0,2,McConnachie2012,
CmB,Coma Berenices,241.9,83.6,44.0,-4.1,6.0,77.0,2,McConnachie2012,
BooI,Bootes (I),358.1,69.6,66.0,-6.3,12.6,242.0,2,McConnachie2012,
BooIII,Bootes III,35.4,75.4,47.0,-5.8,,,2,McConnachie2012,
LeoIV,Leo IV,264.4,57.4,154.0,-5.8,4.6,206.0,2,McConnachie2012,
CnVII,Canes Venatici II,113.6,82.7,160.0,-4.9,1.6,74.0,2,McConnachie2012,
LeoV,Leo V,261.9,58.5,178.0,-5.2,2.6,135.0,2,McConnachie2012,
PisII,Pisces II,79.2,-47.1,182.0,-5.0,1.1,58.0,2,McConnachie2012,
