#RA    DEC  D
249.0 +11.0 20. 
249.0 +11.1 20. 
248.9 +11.2 20. 
248.9 +11.3 20. 
248.8 +11.5 20. 
248.8 +11.6 20. 
248.7 +11.7 20. 
248.7 +11.8 20. 
248.6 +11.9 20. 
248.6 +12.0 20. 
248.6 +12.2 20. 
248.5 +12.3 20. 
248.5 +12.4 20. 
248.4 +12.5 20. 
248.4 +12.6 20. 
248.3 +12.7 20. 
248.3 +12.8 20. 
248.2 +13.0 20. 
248.2 +13.1 20. 
248.1 +13.2 20. 
248.1 +13.3 20. 
248.1 +13.4 20. 
248.0 +13.5 20. 
248.0 +13.7 20. 
247.9 +13.8 20. 
247.9 +13.9 20. 
247.8 +14.0 20. 
247.8 +14.1 20. 
247.8 +14.2 20. 
247.7 +14.4 20. 
247.7 +14.5 20. 
247.6 +14.6 20. 
247.6 +14.7 20. 
247.6 +14.8 20. 
247.5 +14.9 20. 
247.5 +15.0 20. 
247.5 +15.2 20. 
247.4 +15.3 20. 
247.4 +15.4 20. 
247.3 +15.5 20. 
247.3 +15.6 20. 
247.3 +15.7 20. 
247.2 +15.9 20. 
247.2 +16.0 20. 
247.2 +16.1 20. 
247.1 +16.2 20. 
247.1 +16.3 20. 
247.1 +16.4 20. 
247.0 +16.5 20. 
247.0 +16.7 20. 
247.0 +16.8 20. 
246.9 +16.9 20. 
246.9 +17.0 20. 
246.9 +17.1 20. 
246.9 +17.2 20. 
246.8 +17.4 20. 
246.8 +17.5 20. 
246.8 +17.6 20. 
246.7 +17.7 20. 
246.7 +17.8 20. 
246.7 +17.9 20. 
246.7 +18.1 20. 
246.6 +18.2 20. 
246.6 +18.3 20. 
246.6 +18.4 20. 
246.6 +18.5 20. 
246.5 +18.6 20. 
246.5 +18.7 20. 
246.5 +18.9 20. 
246.5 +19.0 20. 
246.4 +19.1 20. 
246.4 +19.2 20. 
246.4 +19.3 20. 
246.4 +19.4 20. 
246.3 +19.6 20. 
246.3 +19.7 20. 
246.3 +19.8 20. 
246.3 +19.9 20. 
246.3 +20.0 20. 
246.2 +20.1 20. 
246.2 +20.2 20. 
246.2 +20.4 20. 
246.2 +20.5 20. 
246.2 +20.6 20. 
246.2 +20.7 20. 
246.1 +20.8 20. 
246.1 +20.9 20. 
246.1 +21.1 20. 
246.1 +21.2 20. 
246.1 +21.3 20. 
246.1 +21.4 20. 
246.0 +21.5 20. 
246.0 +21.6 20. 
246.0 +21.7 20. 
246.0 +21.9 20. 
246.0 +22.0 20. 
246.0 +22.1 20. 
246.0 +22.2 20. 
246.0 +22.3 20. 
245.9 +22.4 20. 
245.9 +22.6 20. 
245.9 +22.7 20. 
245.9 +22.8 20. 
245.9 +22.9 20. 
245.9 +23.0 20. 
245.9 +23.1 20. 
245.9 +23.3 20. 
245.9 +23.4 20. 
245.9 +23.5 20. 
245.9 +23.6 20. 
245.8 +23.7 20. 
245.8 +23.8 20. 
245.8 +23.9 20. 
245.8 +24.1 20. 
245.8 +24.2 20. 
245.8 +24.3 20. 
245.8 +24.4 20. 
245.8 +24.5 20. 
245.8 +24.6 20. 
245.8 +24.8 20. 
245.8 +24.9 20. 
245.8 +25.0 20. 
245.8 +25.1 20. 
245.8 +25.2 20. 
245.8 +25.3 20. 
245.8 +25.4 20. 
245.8 +25.6 20. 
245.8 +25.7 20. 
245.8 +25.8 20. 
245.8 +25.9 20. 
245.8 +26.0 20. 
245.8 +26.1 20. 
245.8 +26.3 20. 
245.8 +26.4 20. 
245.8 +26.5 20. 
245.8 +26.6 20. 
245.8 +26.7 20. 
245.8 +26.8 20. 
245.8 +26.9 20. 
245.8 +27.1 20. 
245.8 +27.2 20. 
245.8 +27.3 20. 
245.8 +27.4 20. 
245.9 +27.5 20. 
245.9 +27.6 20. 
245.9 +27.8 20. 
245.9 +27.9 20. 
245.9 +28.0 20. 
245.9 +28.1 20. 
245.9 +28.2 20. 
245.9 +28.3 20. 
245.9 +28.5 20. 
245.9 +28.6 20. 
245.9 +28.7 20. 
246.0 +28.8 20. 
246.0 +28.9 20. 
246.0 +29.0 20. 
246.0 +29.1 20. 
246.0 +29.3 20. 
246.0 +29.4 20. 
246.0 +29.5 20. 
246.0 +29.6 20. 
246.1 +29.7 20. 
246.1 +29.8 20. 
246.1 +30.0 20. 
246.1 +30.1 20. 
246.1 +30.2 20. 
246.1 +30.3 20. 
246.2 +30.4 20. 
246.2 +30.5 20. 
246.2 +30.6 20. 
246.2 +30.8 20. 
246.2 +30.9 20. 
246.2 +31.0 20. 
246.3 +31.1 20. 
246.3 +31.2 20. 
246.3 +31.3 20. 
246.3 +31.5 20. 
246.3 +31.6 20. 
246.4 +31.7 20. 
246.4 +31.8 20. 
246.4 +31.9 20. 
246.4 +32.0 20. 
246.5 +32.2 20. 
246.5 +32.3 20. 
246.5 +32.4 20. 
246.5 +32.5 20. 
246.6 +32.6 20. 
246.6 +32.7 20. 
246.6 +32.8 20. 
246.6 +33.0 20. 
246.7 +33.1 20. 
246.7 +33.2 20. 
246.7 +33.3 20. 
246.7 +33.4 20. 
246.8 +33.5 20. 
246.8 +33.7 20. 
246.8 +33.8 20. 
246.9 +33.9 20. 
246.9 +34.0 20.
